,OR4C6 (219432)
ACH-000881,0.0217564271369
ACH-000882,0.0528229176965
ACH-000884,0.016481118355299997
ACH-000885,-0.08776807518179999
ACH-000887,-0.20711389057399998
ACH-000888,-0.048161570258099994
ACH-000889,0.023068744035999997
ACH-000890,-0.126881344032
ACH-000896,-0.00307696132466
ACH-000898,-0.118949580086
ACH-000900,-0.171116764246
ACH-000901,-0.10228016912799999
ACH-000905,-0.026375835291499998
ACH-000906,0.0259988676717
ACH-000907,0.052840455911099996
ACH-000910,-0.0545762111259
ACH-000911,0.0701897365747
ACH-000912,-0.0177807136445
ACH-000913,-0.0075359986751599994
ACH-000915,-0.00286574746936
ACH-000916,-0.103165646943
ACH-000917,0.0216517623983
ACH-000921,0.046923791070600004
ACH-000924,0.0597437627506
ACH-000926,-0.108182642808
ACH-000928,-0.134976965816
ACH-000929,0.348194848813
ACH-000932,-0.029677688974000003
ACH-000935,-0.246275227621
ACH-000936,-0.043191322107199996
ACH-000937,0.110483316845
ACH-000938,0.125263458127
ACH-000939,-0.0139021286567
ACH-000941,-0.110323584298
ACH-000943,0.0237207517735
ACH-000946,-0.194305354727
ACH-000947,-0.13911239109200002
ACH-000948,-0.126001176574
ACH-000950,-0.0140143952584
ACH-000953,-0.0771085421003
ACH-000957,-0.431006163165
ACH-000958,-0.200724411236
ACH-000960,-0.049092313557699996
ACH-000963,-0.06269565226559999
ACH-000968,0.152958736892
ACH-000969,-0.09456376401620001
ACH-000973,-0.055392965078099994
ACH-000974,-0.0838388530651
ACH-000975,-0.00130281073115
ACH-000976,0.143493959222
ACH-000978,0.2020300637
ACH-000980,0.0014193190312100001
ACH-000984,0.059143861974099994
ACH-000986,-0.019180696589799998
ACH-000988,-0.0195937085673
ACH-000993,0.013344818158799999
ACH-000994,0.0674306026574
ACH-000996,-0.17769083442699998
ACH-001001,-0.05142217660830001
ACH-001020,-0.29653798593
ACH-001028,0.0327207359728
ACH-001031,0.0552644356355
ACH-001038,-0.053308285755599996
ACH-001048,-0.0885379904927
ACH-001050,-0.019568063790500002
ACH-001053,-0.154966461804
ACH-001054,-0.021861669458300002
ACH-001061,-0.105740821019
ACH-001067,-0.222228424663
ACH-001075,-0.0474811013155
ACH-001096,0.0401757311866
ACH-001128,0.0168339112033
ACH-001134,0.033182741674599996
ACH-001151,-0.0244470616913
ACH-001163,-0.09361282655410001
ACH-001164,-0.314162811413
ACH-001173,-0.015095213574899999
ACH-001183,-0.0496886447222
ACH-001184,0.0488852840168
ACH-001190,-0.0954343960788
ACH-001192,0.0615118251687
ACH-001193,0.146134663243
ACH-001196,-0.182609913849
ACH-001197,0.0769162576908
ACH-001205,0.104691615957
ACH-001211,-0.15707303303200001
ACH-001212,-0.018469301576900004
ACH-001228,-0.032881204611299994
ACH-001232,0.043022547179399996
ACH-001239,0.047278960933099995
ACH-001274,0.133481294758
ACH-001275,0.00032162031871799996
ACH-001277,0.0016522952346099999
ACH-001278,-0.0488812884748
ACH-001280,-0.0766052439139
ACH-001283,-0.027458902447900002
ACH-001289,-0.005729946766369999
ACH-001295,0.0251449057412
ACH-001300,0.070426346034
ACH-001301,-0.00925548631679
ACH-001302,-0.0678136935764
ACH-001303,0.12526952537
ACH-001306,-0.0552250411929
ACH-001318,0.029679802868
ACH-001322,-0.0847289988062
ACH-001328,0.0216332773294
ACH-001332,0.155478847651
ACH-001333,-0.17188532111699997
ACH-001336,-0.0752019165361
ACH-001340,-0.078511172802
ACH-001346,-0.139030377816
ACH-001353,-0.142081298833
ACH-001354,-0.210522406977
ACH-001367,0.05413522528
ACH-001368,-0.0857757890913
ACH-001374,-0.00981337535205
ACH-001375,0.06881036712889999
ACH-001377,-0.0672983271215
ACH-001380,-0.145297932978
ACH-001391,-0.336694775246
ACH-001407,-0.0651568404207
ACH-001408,-0.0593765959093
ACH-001413,-0.0870850304872
ACH-001430,-0.190952664113
ACH-001431,0.0979045350406
ACH-001450,0.247187180057
ACH-001496,-0.115770611115
ACH-001500,0.09178698203230001
ACH-001521,0.110797948146
ACH-001523,0.000211659281557
ACH-001532,0.028117004595599997
ACH-001536,0.0551465498224
ACH-001550,-0.125544091107
ACH-001552,0.034134437198700004
ACH-001554,-0.04881524039269999
ACH-001645,0.14419423420299998
ACH-001654,-0.06969606903210002
ACH-001715,0.107637518162
ACH-001735,0.0225698241938
ACH-001736,0.055160841556000005
ACH-001737,-0.531780483674
ACH-001740,-0.0534267187176
ACH-001745,-0.040303262924
ACH-001750,0.15846670484300002
ACH-001765,-0.08453296928860002
ACH-001956,-0.222548865515
ACH-001957,-0.20408215780299999
