,ITK (3702)
ACH-000280,-0.0928324643984
ACH-000281,0.16973968911499998
ACH-000288,0.023598713619499997
ACH-000291,0.0659437746335
ACH-000293,0.0325512916392
ACH-000294,-0.040212880883
ACH-000295,-0.00440092637638
ACH-000296,-0.0346577663286
ACH-000302,0.04717650012519999
ACH-000304,0.208828411156
ACH-000307,-0.058915522081900006
ACH-000308,0.0652881343228
ACH-000310,-0.056078584278499995
ACH-000311,-0.0554251141714
ACH-000312,0.00205502806922
ACH-000315,0.0946309894049
ACH-000316,-0.20607859008
ACH-000317,-0.12042337994899999
ACH-000318,-0.07725997687660001
ACH-000319,-0.023970022777400003
ACH-000320,-0.148146890155
ACH-000322,0.0122665051205
ACH-000323,0.0158316488969
ACH-000324,-0.0034830194537
ACH-000329,-0.110950320534
ACH-000330,-0.037689328017800006
ACH-000331,0.00928199784707
ACH-000332,-0.0595278798623
ACH-000334,-0.10607000508400001
ACH-000335,0.0269473089676
ACH-000336,0.304986081581
ACH-000337,-0.18976349777600002
ACH-000339,-0.0517904563738
ACH-000341,-0.34344608577200003
ACH-000348,0.048727045519000006
ACH-000350,-0.145849431674
ACH-000352,0.0938771801417
ACH-000356,0.0809957945515
ACH-000361,-0.00289177782526
ACH-000362,-0.004596646329649999
ACH-000363,0.0104751102611
ACH-000364,0.124393327613
ACH-000365,-0.03838662901230001
ACH-000366,0.053991424697199995
ACH-000368,-0.09324310790939999
ACH-000374,0.0329602214263
ACH-000375,0.0490609282742
ACH-000376,0.00463774696318
ACH-000381,-0.258492613973
ACH-000383,0.07395693098410001
ACH-000387,0.116667581743
ACH-000389,0.08651541977510002
ACH-000390,-0.059894879827100005
ACH-000393,0.18086502117199998
ACH-000395,0.0220369696609
ACH-000397,-0.0015707040353599999
ACH-000401,-0.34992544908100004
ACH-000402,0.125096731455
ACH-000403,0.047969315667900005
ACH-000404,0.09237519397050001
ACH-000406,-0.0169917801465
ACH-000407,-0.055600639012099995
ACH-000408,0.0711814186675
ACH-000410,0.0911086345819
ACH-000411,-0.04526346789630001
ACH-000414,-0.0932859729527
ACH-000415,0.034863980350000004
ACH-000416,0.0186490249033
ACH-000420,0.34661075861100005
ACH-000421,-0.0457893966553
ACH-000424,0.04869116963430001
ACH-000425,-0.00314685119566
ACH-000426,0.006870936375459999
ACH-000427,0.139957509932
ACH-000433,0.0642291030628
ACH-000436,-0.0820597235314
ACH-000444,-0.11670273541899999
ACH-000445,-0.278459725449
ACH-000448,-0.149253320657
ACH-000450,0.0015100590502899998
ACH-000452,0.0310389706604
ACH-000454,0.217864391981
ACH-000458,-0.040499646666
ACH-000459,-0.06772932119609999
ACH-000460,-0.0336446886149
ACH-000461,-0.0239362824762
ACH-000463,0.0574955068934
ACH-000464,0.0852005970489
ACH-000466,-0.0196727864573
ACH-000467,0.014659473959999999
ACH-000468,0.0412999888087
ACH-000469,0.136992249927
ACH-000470,-0.0407843720348
