,STK31 (56164)
ACH-000459,-0.0588249501374
ACH-000460,0.13237235581700002
ACH-000461,0.356085377927
ACH-000463,0.089233172435
ACH-000464,0.132498816949
ACH-000466,0.194401964549
ACH-000467,0.039624950153
ACH-000468,0.06543068260200001
ACH-000469,0.0775624797256
ACH-000470,0.252668965735
ACH-000471,0.131093844044
ACH-000472,0.175231839322
ACH-000473,0.237078112438
ACH-000475,0.169169051614
ACH-000476,0.253847767909
ACH-000477,-0.0176385493389
ACH-000480,0.40989334492299995
ACH-000481,0.252181000128
ACH-000483,0.30279011813900003
ACH-000484,0.14082968044000002
ACH-000485,0.05899109787119999
ACH-000486,0.202352123737
ACH-000487,0.09080398587460001
ACH-000488,0.163839728684
ACH-000490,0.113123332764
ACH-000491,0.0277845659175
ACH-000495,-0.096301083146
ACH-000496,-0.0385945540861
ACH-000499,0.164159191919
ACH-000500,0.0586824538561
ACH-000502,0.139838681889
ACH-000503,0.127660067221
ACH-000505,0.129261991016
ACH-000507,0.17463990925200001
ACH-000510,0.20205314176
ACH-000511,0.106674182431
ACH-000512,0.378938217874
ACH-000516,0.28791891400499997
ACH-000517,0.175110504756
ACH-000518,0.100725467088
ACH-000520,0.10124561673699999
ACH-000521,0.12034672132000002
ACH-000522,0.131807633806
ACH-000524,0.04109662178
ACH-000527,0.137283764759
ACH-000528,0.138970002891
ACH-000537,0.236578494085
ACH-000541,-0.30815794369399996
ACH-000542,0.113471831422
ACH-000544,0.20667632529
ACH-000545,0.0154472383809
ACH-000547,0.151610141374
ACH-000548,0.038567076800199995
ACH-000549,-0.0573118613394
ACH-000550,0.0167386202578
ACH-000552,0.07981783455
ACH-000556,0.18437936956700002
ACH-000557,0.200759646537
ACH-000570,0.19466748638599998
ACH-000571,0.170011169381
ACH-000573,0.13316818038
ACH-000576,-0.0228879252133
ACH-000580,0.20040746776700002
ACH-000584,0.225976212121
ACH-000585,0.147755441888
ACH-000588,-0.0415503939839
ACH-000589,0.151702773924
ACH-000591,0.022625559836
ACH-000593,0.030089334293299998
ACH-000600,0.0158213828461
ACH-000601,0.105642049594
ACH-000604,0.136105066524
ACH-000605,0.117597417209
ACH-000606,0.24320912235800002
ACH-000608,0.15901297731699998
ACH-000614,-0.0809028873395
ACH-000616,0.14343670298
ACH-000618,0.137054435049
ACH-000619,0.0638580801172
ACH-000620,0.112711953696
ACH-000621,0.11176381051300001
ACH-000622,0.112611511169
ACH-000623,0.0669559436708
ACH-000624,0.19754776602899998
ACH-000627,0.15934972516100002
ACH-000630,0.182619234358
ACH-000632,0.11037279886
ACH-000633,0.175282983156
ACH-000637,0.293790512688
ACH-000638,0.276276608874
ACH-000646,-0.00222342348217
ACH-000647,0.165204100965
ACH-000648,-0.0454291294539
ACH-000649,0.255311866151
ACH-000651,0.180015165654
ACH-000652,0.374031702069
ACH-000653,0.05613176319780001
ACH-000657,0.0874779486992
ACH-000658,0.0122614878749
ACH-000661,-0.0267258453439
ACH-000662,0.461990117844
ACH-000663,-0.025955678702400002
ACH-000665,0.20728577512899998
ACH-000671,0.30407235029
ACH-000673,0.0450198520134
ACH-000676,0.219255101194
ACH-000677,0.0795920312913
ACH-000681,0.058548499245300006
ACH-000682,0.186322346457
ACH-000683,0.249121452903
ACH-000684,0.0319738998812
ACH-000688,0.333989718711
ACH-000693,-0.018929455634400003
ACH-000694,0.246486782648
ACH-000695,0.0878706165346
ACH-000696,0.0209808285502
ACH-000697,-0.0309522142282
ACH-000699,0.20870878388300002
ACH-000701,0.3141379378
ACH-000706,0.0842476515824
ACH-000711,0.100355746392
ACH-000713,0.05645915320309999
ACH-000714,-0.104078164519
ACH-000718,0.167930518361
ACH-000720,0.162532637595
ACH-000721,0.123018933407
ACH-000724,0.06193927066459999
ACH-000725,0.2388483864
ACH-000732,0.21747005322299998
