,RFXANK (8625)
ACH-000753,-0.248926754753
ACH-000756,-0.107274103118
ACH-000757,-0.276772555319
ACH-000758,-0.33702532861400003
ACH-000760,-0.0702693016191
ACH-000763,-0.08541897546970001
ACH-000764,-0.463269614222
ACH-000765,-0.22563880622699997
ACH-000766,-0.249969966576
ACH-000767,-0.119915859001
ACH-000768,-0.238373503411
ACH-000769,-0.348487788182
ACH-000770,-0.261792822785
ACH-000771,-0.129245500224
ACH-000773,-0.0696071951019
ACH-000776,-0.118677144541
ACH-000777,-0.193239000412
ACH-000778,-0.371384400457
ACH-000781,-0.305811506989
ACH-000782,-0.297335718217
ACH-000783,0.0777438649834
ACH-000784,-0.23386604100800001
ACH-000785,-0.258690324452
ACH-000787,-0.199280843336
ACH-000788,-0.2489035268
ACH-000791,-0.28406033068500003
ACH-000792,-0.269622015876
ACH-000794,-0.21956998357500002
ACH-000796,-0.311055456366
ACH-000799,-0.425649366795
ACH-000800,-0.32166715769299997
ACH-000802,-0.346294694421
ACH-000804,-0.5014529783089999
ACH-000805,-0.07458023888330001
ACH-000809,-0.19798235469099998
ACH-000810,-0.128793767762
ACH-000811,-0.168612743515
ACH-000817,-0.11183130742999998
ACH-000819,-0.31868133829399997
ACH-000820,0.148902175262
ACH-000821,-0.09508074115080001
ACH-000822,-0.32099972200599997
ACH-000823,-0.352411367625
ACH-000824,-0.0826178615673
ACH-000827,-0.227645262826
ACH-000829,0.257675013646
ACH-000831,-0.20698218616099998
ACH-000832,-0.199943660139
ACH-000833,-0.267320811289
ACH-000834,-0.205326568941
ACH-000835,-0.142172548446
ACH-000836,-0.398653864303
ACH-000837,-0.332109238265
ACH-000838,-0.256394043178
ACH-000839,-0.279819831013
ACH-000840,-0.234989482605
ACH-000841,-0.43554230432400004
ACH-000843,-0.271749143599
ACH-000846,-0.22316335984700003
ACH-000847,-0.35677165132700006
ACH-000848,-0.165317345319
ACH-000849,-0.0100421968581
ACH-000851,-0.440224053654
ACH-000855,-0.142440439273
ACH-000856,-0.23105593127799998
ACH-000858,-0.333223758101
ACH-000859,-0.44965109169699996
ACH-000861,-0.531514862567
ACH-000862,-0.106724445821
ACH-000865,-0.28084041109499996
ACH-000866,-0.18715758567200003
ACH-000867,-0.250385640683
ACH-000869,-0.275518978076
ACH-000872,-0.24134688501200002
ACH-000873,-0.181410410019
ACH-000876,-0.15783793611
ACH-000878,-0.0856874982553
ACH-000880,-0.254310404951
ACH-000881,-0.271859644125
ACH-000882,-0.10470394393200001
ACH-000884,-0.18869542210499998
ACH-000885,-0.304865789422
ACH-000887,-0.330785094968
ACH-000888,-0.051773923436400006
ACH-000889,-0.0491837336378
ACH-000890,-0.117273693948
ACH-000896,-0.23566456176999998
ACH-000898,-0.108199497294
ACH-000900,-0.317283628938
ACH-000901,-0.188913486156
ACH-000905,-0.22213427483399997
ACH-000906,-0.265633311085
ACH-000907,-0.307195825616
ACH-000910,-0.028596243552299998
ACH-000911,-0.17615395915800003
ACH-000912,-0.121256534109
ACH-000913,-0.10731976214299999
ACH-000915,-0.309331377323
ACH-000916,-0.110150783209
ACH-000917,-0.282372123152
ACH-000921,-0.11670186534600001
ACH-000924,-0.161892162222
ACH-000926,-0.134590202227
ACH-000928,-0.225225750036
ACH-000929,-0.104322288827
ACH-000932,-0.06015676394859999
ACH-000935,-0.25124140691999997
ACH-000936,-0.32300689019900003
ACH-000937,-0.13374681718800002
ACH-000938,-0.035396292262199994
ACH-000939,-0.61582145023
ACH-000941,-0.378773975193
ACH-000943,-0.14323429881
ACH-000946,-0.013475348248100002
ACH-000947,0.0191593517413
ACH-000948,-0.41134816693099996
ACH-000950,-0.33922824502
ACH-000953,-0.17177298847300002
ACH-000957,-0.190135263354
ACH-000958,-0.253202222117
ACH-000960,-0.228308710111
ACH-000963,-0.0377683793396
ACH-000968,-0.294883532136
ACH-000969,-0.34179441430600005
ACH-000973,-0.148524528385
ACH-000974,-0.0756564876003
ACH-000975,-0.474056506035
ACH-000976,-0.189273060698
ACH-000978,-0.313916360978
ACH-000980,-0.204880525546
ACH-000984,-0.47321298948999996
ACH-000986,-0.292817214645
ACH-000988,-0.345131350566
ACH-000993,-0.147046898428
ACH-000994,-0.318785680475
ACH-000996,-0.34003624035999996
ACH-001001,-0.131237557537
ACH-001020,-0.503551817477
ACH-001028,-0.21960606914099998
ACH-001031,0.10288233084699999
ACH-001038,-0.22018187521699997
ACH-001048,-0.267778032507
ACH-001050,-0.21772471809
ACH-001053,-0.06553013264930001
ACH-001054,-0.196370622271
ACH-001061,-0.19952516690699998
ACH-001067,-0.162967553635
ACH-001075,-0.42802655664399997
ACH-001096,-0.31686538726
ACH-001128,-0.19425966261500002
ACH-001134,-0.223229818198
ACH-001151,-0.19529689634
ACH-001163,-0.0636559766546
ACH-001164,-0.0463479022416
ACH-001173,-0.299478405928
ACH-001183,-0.148041618167
ACH-001184,-0.3204822738
ACH-001190,-0.37291676198
ACH-001192,-0.0948525810007
ACH-001193,-0.15330655338
ACH-001196,-0.271092650938
ACH-001197,-0.0319774730714
ACH-001205,-0.34527540891900005
ACH-001211,-0.211717111402
ACH-001212,-0.00632969857631
ACH-001228,-0.209895405328
ACH-001232,-0.22950393048700002
ACH-001239,0.119347132038
ACH-001274,0.0016404618805899997
ACH-001275,-0.08963560048530002
ACH-001277,-0.166774408471
ACH-001278,-0.137659036801
ACH-001280,-0.154669118626
ACH-001283,-0.309700709516
ACH-001289,-0.21371419204199998
ACH-001295,-0.159529167525
ACH-001300,-0.110582568425
ACH-001301,-0.147065716253
ACH-001302,-0.316535303104
ACH-001303,-0.0643177054117
ACH-001306,-0.449271304684
ACH-001318,-0.0559951399294
ACH-001322,-0.049184508420199995
ACH-001328,-0.22833128135000003
ACH-001332,-0.128277170706
ACH-001333,-0.159359143205
ACH-001336,0.0215737041422
ACH-001340,-0.22103686170200001
ACH-001346,-0.315318054091
ACH-001353,-0.334537613143
ACH-001354,0.0328453759297
ACH-001367,-0.22228867879099998
ACH-001368,-0.257167361375
ACH-001374,-0.209387772903
ACH-001375,-0.270174917928
ACH-001377,-0.367248945393
ACH-001380,-0.297802043744
ACH-001391,-0.427755110225
ACH-001407,-0.346902618983
ACH-001408,-0.130943528966
ACH-001413,-0.31736672459000004
ACH-001430,-0.23944782806999995
ACH-001431,-0.259009065211
ACH-001450,-0.0867763598419
ACH-001496,-0.349627377794
ACH-001500,-0.118015076909
ACH-001521,-0.23517070127700002
ACH-001523,-0.343750009696
ACH-001532,-0.22297626725400002
