,SP110 (3431)
ACH-000632,0.059135509333
ACH-000633,-0.0007849692949299999
ACH-000637,0.048162392452
ACH-000638,0.0111384049798
ACH-000646,-0.11303423920499998
ACH-000647,0.109713031513
ACH-000648,0.0543738027266
ACH-000649,0.00567286797796
ACH-000651,0.014578938088
ACH-000652,0.0816752540089
ACH-000653,0.0370060705394
ACH-000657,0.184440696928
ACH-000658,-0.449659766719
ACH-000661,0.0354097751956
ACH-000662,0.0355845100787
ACH-000663,-0.262386193151
ACH-000665,0.039460661538499996
ACH-000671,0.09838030533
ACH-000673,0.0803909153984
ACH-000676,0.0919267991658
ACH-000677,0.06762128683640001
ACH-000681,0.0691843161503
ACH-000682,-0.0072527834158699995
ACH-000683,0.10041674963
ACH-000684,0.0376195596921
ACH-000688,-0.011151083842899999
ACH-000693,0.07281938250850001
ACH-000694,0.0993827921627
ACH-000695,-0.08261744462889999
ACH-000696,0.0143681347763
ACH-000697,0.06128642056030001
ACH-000699,0.022182414249200002
ACH-000701,-0.0665570257889
ACH-000706,0.0327617433521
ACH-000711,0.157103376867
ACH-000713,-0.047056006486900004
ACH-000714,0.0185382888318
ACH-000718,-0.290674313823
ACH-000720,-0.0525274983012
ACH-000721,0.0455688451732
ACH-000724,0.155913768584
ACH-000725,0.058559202061700004
ACH-000732,0.0886478607645
ACH-000734,0.00481925537907
ACH-000735,0.0551178767668
ACH-000736,0.0316397539426
ACH-000738,-0.0209344058642
ACH-000746,0.116962929592
ACH-000747,0.150864169973
ACH-000748,-6.82783854992e-06
ACH-000753,0.0461293330352
ACH-000756,0.13875329233300002
ACH-000757,0.0201349750311
ACH-000758,0.17696854389699998
ACH-000760,0.136767720073
ACH-000763,-0.15528141539999998
ACH-000764,-0.140001479935
ACH-000765,0.0540780074632
ACH-000766,0.00392101421763
ACH-000767,0.0685607381752
ACH-000768,0.08226332285469999
ACH-000769,-0.0189214480271
ACH-000770,0.00393954073046
ACH-000771,-0.36732908672799996
ACH-000773,-0.813154628535
ACH-000776,0.08227423917769999
ACH-000777,-0.0306536456644
ACH-000778,0.131193761133
ACH-000781,0.07147681249219999
ACH-000782,-0.09865136075110001
ACH-000783,0.153170606069
ACH-000784,0.12846829187
ACH-000785,-0.103605122627
ACH-000787,-0.0351367041792
ACH-000788,-0.0300184291487
ACH-000791,0.044833197959
ACH-000792,0.031230983229799995
ACH-000794,-0.07443725115989999
ACH-000796,0.0594613890867
ACH-000799,-0.0423818719496
ACH-000800,0.0376005953697
ACH-000802,0.0771612254287
ACH-000804,0.156619117129
ACH-000805,0.0625880380017
ACH-000809,0.097646985529
ACH-000810,-0.725336805027
ACH-000811,0.18249361162
ACH-000817,-0.26313262906
ACH-000819,0.146856321192
ACH-000820,0.21610812788000003
ACH-000821,0.156558159427
ACH-000822,-0.0226371670216
ACH-000823,0.134610248202
ACH-000824,0.0668414488357
ACH-000827,0.117932237986
ACH-000829,-0.199432020802
ACH-000831,0.0579743045005
ACH-000832,0.021601612489700002
ACH-000833,0.0343118127978
ACH-000834,-0.10691442334
ACH-000835,-0.205547441579
ACH-000836,0.258617570517
ACH-000837,0.11607794282
ACH-000838,-0.16466449269000002
ACH-000839,-0.325187584584
ACH-000840,-0.49509765389700006
ACH-000841,-0.0201469937966
ACH-000843,0.0038217941859699997
ACH-000846,0.103942066953
ACH-000847,0.169986070591
ACH-000848,0.155248631294
ACH-000849,0.181055010698
ACH-000851,0.146011918343
ACH-000855,0.079524832888
ACH-000856,-0.18249198127099997
ACH-000858,0.20388713681099999
ACH-000859,0.07624405019700001
ACH-000861,0.06990791850339999
ACH-000862,0.0442793836366
ACH-000865,-0.040847837936800004
ACH-000866,0.19938075824499998
ACH-000867,0.09800040979589998
ACH-000869,0.014304695058200001
ACH-000872,-0.0258827093692
ACH-000873,0.0664414635362
ACH-000876,0.183841013306
ACH-000878,0.316902771207
ACH-000880,0.283573671132
ACH-000881,0.06985608261580001
ACH-000882,0.19056235998799997
ACH-000884,0.159530067726
ACH-000885,-0.12186009310599999
ACH-000887,0.137128615626
ACH-000888,0.00121275251665
ACH-000889,0.0522585383514
ACH-000890,0.0967382037042
ACH-000896,0.24348483021200001
ACH-000898,0.251155394596
ACH-000900,0.06510211303119999
ACH-000901,0.026927346974900002
ACH-000905,0.108051393432
ACH-000906,0.0669806260625
ACH-000907,0.127860829915
