,OR8D1 (283159)
ACH-000302,0.10109637274700001
ACH-000304,-0.24120189183600002
ACH-000307,0.08167935133830001
ACH-000308,-0.0294159515228
ACH-000310,-0.119320331812
ACH-000311,-0.21220763206
ACH-000312,-0.088358503236
ACH-000315,0.16906464790999998
ACH-000316,0.0254579752024
ACH-000317,0.0777776714271
ACH-000318,0.133016013669
ACH-000319,-0.069617912801
ACH-000320,-0.0401997334013
ACH-000322,-0.150326518022
ACH-000323,0.111397290012
ACH-000324,-0.10944772633199999
ACH-000329,-0.0515725203493
ACH-000330,0.0128947598388
ACH-000331,0.208024898164
ACH-000332,-0.01478669255
ACH-000334,0.229311344395
ACH-000335,0.158651294382
ACH-000336,0.0289040757722
ACH-000337,0.169374791105
ACH-000339,0.0767512039965
ACH-000341,-0.10953727701199999
ACH-000348,0.23744463004799998
ACH-000350,-0.0889230825374
ACH-000352,0.0611643012108
ACH-000356,0.359240406157
ACH-000361,0.100827932467
ACH-000362,0.0649841222061
ACH-000363,0.146280277533
ACH-000364,0.0617371313066
ACH-000365,0.215860598924
ACH-000366,-0.00751972399432
ACH-000368,0.0293956310784
ACH-000374,-0.191917512119
ACH-000375,0.0808835189128
ACH-000376,0.10190819711799999
ACH-000381,0.0587205764422
ACH-000383,0.07662474605860001
ACH-000387,0.0258423244446
ACH-000389,-0.22142037327300002
ACH-000390,0.0307775030687
ACH-000393,-0.0255618784425
ACH-000395,0.0825601196508
ACH-000397,0.200636326123
ACH-000401,0.0519288067126
ACH-000402,0.06257925695330001
ACH-000403,0.116749409134
ACH-000404,0.19494692863200003
ACH-000406,-0.0414978124358
ACH-000407,0.0696131993977
ACH-000408,0.0711694953846
ACH-000410,-0.0596201036647
ACH-000411,0.140875442465
ACH-000414,-0.04031921662369999
ACH-000415,0.099780368704
ACH-000416,0.09957211706760001
ACH-000420,-0.0512727365937
ACH-000421,0.11668285095
ACH-000424,0.0560375419582
ACH-000425,-0.012278958218
ACH-000426,0.18600954454100002
ACH-000427,-0.15645949804
ACH-000433,-0.056699038935199994
ACH-000436,0.0128294797559
ACH-000444,0.0305498041596
ACH-000445,-0.0165031503195
ACH-000448,0.0708335478042
ACH-000450,-0.183951944564
ACH-000452,-0.021163185210099997
ACH-000454,0.0411948821164
ACH-000458,0.110060824792
ACH-000459,-0.07889056760839999
ACH-000460,0.038388409198199996
ACH-000461,-0.23393047889899998
ACH-000463,0.097649146375
ACH-000464,-0.0452631068893
ACH-000466,0.125051307458
ACH-000467,0.121837959679
