,EIF3I (8668)
ACH-000323,-1.51009704379
ACH-000324,-1.06464540575
ACH-000329,-1.44209155095
ACH-000330,-1.4680688100600001
ACH-000331,-1.1508632028799999
ACH-000332,-1.45332277666
ACH-000334,-1.4307758559900001
ACH-000335,-0.913378178624
ACH-000336,-1.35483857562
ACH-000337,-0.981263959049
ACH-000339,-1.3470472800400002
ACH-000341,-1.58045018074
ACH-000348,-1.2722556136
ACH-000350,-1.51582501201
ACH-000352,-1.44123730475
ACH-000356,-1.2496461453899999
ACH-000361,-1.5653814302200002
ACH-000362,-1.29768762115
ACH-000363,-1.43208584847
ACH-000364,-1.33894660854
ACH-000365,-1.3771434096700002
ACH-000366,-1.49172786711
ACH-000368,-1.30089732381
ACH-000374,-0.842425383298
ACH-000375,-1.28723559235
ACH-000376,-1.2199457242
ACH-000381,-1.28231879535
ACH-000383,-1.66950566852
ACH-000387,-1.1838153570999999
ACH-000389,-1.1637133259899999
ACH-000390,-1.4821387362600003
ACH-000393,-1.47681662852
ACH-000395,-1.3252327027
ACH-000397,-1.3156900544299999
ACH-000401,-1.1540801004
ACH-000402,-1.29961745583
ACH-000403,-1.5959436337700001
ACH-000404,-1.04645271545
ACH-000406,-1.1499271201899999
ACH-000407,-1.49390472725
ACH-000408,-1.47403116456
ACH-000410,-1.40198729067
ACH-000411,-1.01957791513
ACH-000414,-1.24996152143
ACH-000415,-0.935348005312
ACH-000416,-1.3758234699899998
ACH-000420,-1.6679335271
ACH-000421,-1.2095255998999999
ACH-000424,-1.47693525255
ACH-000425,-1.34151414058
ACH-000426,-1.08666561229
ACH-000427,-1.37183475355
ACH-000433,-1.1962377962100001
ACH-000436,-1.47509040092
ACH-000444,-1.48416991284
ACH-000445,-1.5962126272
ACH-000448,-1.1796056829200001
ACH-000450,-1.3516148113799997
ACH-000452,-1.41232512524
ACH-000454,-1.25204128809
ACH-000458,-1.25827521979
ACH-000459,-0.814934651824
ACH-000460,-1.32712318398
ACH-000461,-1.3953903496200002
ACH-000463,-1.4620752351299997
ACH-000464,-1.28184836236
ACH-000466,-1.2969913873299999
ACH-000467,-0.9315147728059999
ACH-000468,-1.51334253968
ACH-000469,-1.27107123934
ACH-000470,-1.1998548158700002
ACH-000471,-1.37612342136
ACH-000472,-1.40017835051
ACH-000473,-1.25599066982
ACH-000475,-1.2862588111
ACH-000476,-1.50767743833
ACH-000477,-1.6485301394999998
ACH-000480,-1.3946797821
ACH-000481,-1.30697050816
ACH-000483,-1.19204096013
ACH-000484,-1.44407940428
ACH-000485,-1.4519747361200002
ACH-000486,-1.050396954
ACH-000487,-1.16173796645
ACH-000488,-1.14727243323
ACH-000490,-1.32007461425
ACH-000491,-1.07448743515
ACH-000495,-1.1009254298200002
ACH-000496,-1.24901469204
ACH-000499,-1.22113064861
ACH-000500,-1.60298665729
ACH-000502,-1.34190456288
ACH-000503,-1.5532019397999999
ACH-000505,-1.61142567245
ACH-000507,-1.13060602864
ACH-000510,-1.45267058274
ACH-000511,-1.17148021394
ACH-000512,-1.40878573979
ACH-000516,-1.21865688038
ACH-000517,-1.35615034287
ACH-000518,-1.1698402839700002
ACH-000520,-1.29161336432
ACH-000521,-1.19427110441
ACH-000522,-1.41801947669
ACH-000524,-1.4504631056200001
ACH-000527,-1.12168049384
ACH-000528,-1.18849223755
ACH-000537,-1.04215175235
ACH-000541,-1.4086220267200003
ACH-000542,-1.30447263503
ACH-000544,-1.29769389692
ACH-000545,-1.4757259638799998
ACH-000547,-1.20774241968
ACH-000548,-1.2979577092799999
ACH-000549,-1.1576485766
ACH-000550,-1.6033237818900001
ACH-000552,-1.21323371613
ACH-000556,-1.5310761927899998
ACH-000557,-1.7230958942400003
ACH-000570,-1.39875493914
ACH-000571,-1.6234450151100002
ACH-000573,-1.12147563795
ACH-000576,-1.31884337071
ACH-000580,-1.52772402771
ACH-000584,-1.36355577782
ACH-000585,-1.2637394088299998
ACH-000588,-1.50536611838
ACH-000589,-1.28190319817
ACH-000591,-1.5150091205
ACH-000593,-1.3143489863700002
ACH-000600,-1.26975177369
ACH-000601,-1.26311447221
ACH-000604,-1.5410968567899999
ACH-000605,-1.23033773729
ACH-000606,-1.1883235793
ACH-000608,-2.06020887709
ACH-000614,-1.12775026515
ACH-000616,-1.22863335901
ACH-000618,-1.15192078812
ACH-000619,-1.4479630997100001
ACH-000620,-1.41780135351
ACH-000621,-1.22595592795
ACH-000622,-1.52479309507
ACH-000623,-1.3089432248100001
ACH-000624,-1.19819241639
ACH-000627,-1.3343533297
ACH-000630,-1.12605626096
ACH-000632,-1.49687471255
ACH-000633,-1.9188215951400003
ACH-000637,-1.40124333139
ACH-000638,-1.2627144429100001
ACH-000646,-0.944743421886
ACH-000647,-1.50583126361
ACH-000648,-0.9519107145990001
ACH-000649,-1.2868393219299998
ACH-000651,-1.2087069631999998
ACH-000652,-1.2805510151700001
ACH-000653,-1.35929828868
ACH-000657,-1.3350174853399999
ACH-000658,-1.6821353408200002
ACH-000661,-1.11725859725
ACH-000662,-1.85291324189
ACH-000663,-1.15598451222
ACH-000665,-1.4095155852799999
ACH-000671,-1.39860517461
ACH-000673,-1.4433380526800001
ACH-000676,-1.40960382025
ACH-000677,-1.31817495308
ACH-000681,-1.35750871088
ACH-000682,-1.5744965286700001
ACH-000683,-1.5450394837900001
ACH-000684,-1.2052883413
ACH-000688,-1.1779618909
ACH-000693,-1.2745793486700001
ACH-000694,-1.30285014142
ACH-000695,-1.48879670304
ACH-000696,-1.1824807201899998
ACH-000697,-1.3662759642299998
ACH-000699,-1.29186353911
ACH-000701,-1.02163153689
ACH-000706,-1.34062891831
ACH-000711,-1.22833855181
ACH-000713,-1.50706148171
ACH-000714,-1.6750117347600002
ACH-000718,-1.3331463586299999
ACH-000720,-1.37173888068
ACH-000721,-1.28754518594
ACH-000724,-1.25526456624
ACH-000725,-1.42533062009
ACH-000732,-1.04503059888
ACH-000734,-1.32586936797
ACH-000735,-1.34989550402
ACH-000736,-1.47768782017
ACH-000738,-1.08133440361
ACH-000746,-1.3458520931
ACH-000747,-1.0
ACH-000748,-1.50519706395
ACH-000753,-1.2690870534999998
ACH-000756,-1.4662082039500002
ACH-000757,-1.2119720466
ACH-000758,-1.399044151
ACH-000760,-1.3488062151299998
ACH-000763,-1.3867490165600003
ACH-000764,-1.6712846295200001
ACH-000765,-1.19556566092
ACH-000766,-1.43230768345
ACH-000767,-1.4855073559099998
ACH-000768,-1.12266017301
ACH-000769,-1.31583566368
ACH-000770,-1.4536815974200001
ACH-000771,-1.0651345990999999
ACH-000773,-1.7583941325099999
ACH-000776,-1.19710108912
ACH-000777,-1.16071914266
ACH-000778,-0.800206854399
ACH-000781,-1.0580492525799998
ACH-000782,-1.3701943868200002
ACH-000783,-1.72747093322
ACH-000784,-1.44281966725
ACH-000785,-1.14839932308
ACH-000787,-1.2545879353799998
ACH-000788,-1.26706426324
ACH-000791,-1.27673468582
ACH-000792,-1.3814925810799998
ACH-000794,-1.3035778957
ACH-000796,-1.4285918119
ACH-000799,-1.26108077117
ACH-000800,-1.06323706256
ACH-000802,-1.3136100923899998
ACH-000804,-1.26848027297
ACH-000805,-1.30025456642
ACH-000809,-1.63571240669
ACH-000810,-1.36688817321
ACH-000811,-1.44506220645
ACH-000817,-0.910908952315
ACH-000819,-1.2630850061499999
ACH-000820,-1.5191613252
ACH-000821,-1.14934289905
ACH-000822,-1.88268468735
ACH-000823,-1.3511204720899999
ACH-000824,-1.31819502512
ACH-000827,-1.21401810275
ACH-000829,-1.4016158597600001
ACH-000831,-1.26624133824
ACH-000832,-1.11932399588
ACH-000833,-1.5454509027599999
ACH-000834,-1.22407695427
ACH-000835,-1.37818451311
ACH-000836,-1.60358251036
ACH-000837,-1.21009178345
ACH-000838,-1.58953998618
ACH-000839,-1.28736612818
ACH-000840,-0.995752054586
ACH-000841,-1.16984728047
ACH-000843,-1.1703274401700001
ACH-000846,-1.45266018097
ACH-000847,-1.6409834595700001
ACH-000848,-1.16209358826
ACH-000849,-1.20601368899
ACH-000851,-1.31049591178
ACH-000855,-1.0365449088
ACH-000856,-1.05640306908
ACH-000858,-1.24526157168
ACH-000859,-1.1054872331999999
ACH-000861,-1.47086379061
ACH-000862,-1.26077486361
ACH-000865,-1.31935808795
ACH-000866,-1.2260628545299999
ACH-000867,-1.4403205834700001
ACH-000869,-1.33906920354
ACH-000872,-1.33243142497
ACH-000873,-1.47653400926
ACH-000876,-1.4567629629899999
ACH-000878,-1.15743269161
ACH-000880,-1.19906893175
ACH-000881,-1.24720688214
ACH-000882,-1.25620525451
ACH-000884,-1.2934668900700002
ACH-000885,-1.14327390725
ACH-000887,-1.24753685264
ACH-000888,-1.19670311418
ACH-000889,-1.43683290198
ACH-000890,-1.31659193961
ACH-000896,-0.963554858109
ACH-000898,-1.4314026995700002
ACH-000900,-1.29713418163
ACH-000901,-1.20453638972
ACH-000905,-1.2932787489700002
ACH-000906,-1.43694249468
ACH-000907,-1.49438313461
ACH-000910,-1.42890804103
ACH-000911,-1.20897891151
ACH-000912,-0.9818142630940001
ACH-000913,-1.28774137233
ACH-000915,-1.54830527398
ACH-000916,-1.4820795309099999
ACH-000917,-1.21352220745
ACH-000921,-1.2051230556599999
ACH-000924,-1.32138572581
ACH-000926,-1.55605248909
ACH-000928,-1.12087610305
ACH-000929,-1.2755738896200002
ACH-000932,-1.38269937901
ACH-000935,-1.47280983521
ACH-000936,-1.2400506479100002
ACH-000937,-1.33829240264
ACH-000938,-1.43722434857
ACH-000939,-1.31289828487
ACH-000941,-1.39257198243
ACH-000943,-1.12632007386
ACH-000946,-1.25089799325
ACH-000947,-1.1690894354
ACH-000948,-1.02559482494
ACH-000950,-1.33358503227
ACH-000953,-1.2998649798
ACH-000957,-1.10824837245
ACH-000958,-1.2398147747200001
ACH-000960,-1.45089764468
ACH-000963,-0.88784027076
ACH-000968,-1.58543113843
ACH-000969,-1.29250819356
ACH-000973,-1.30400231276
ACH-000974,-1.3348948723899998
ACH-000975,-1.4634701453299999
ACH-000976,-1.35535583081
ACH-000978,-1.5205743374399998
ACH-000980,-1.44074003659
ACH-000984,-1.6121950557799998
ACH-000986,-1.15305704174
ACH-000988,-1.32044165342
ACH-000993,-1.11917404955
ACH-000994,-1.0337774178399999
ACH-000996,-1.17410846116
ACH-001001,-1.5887524913100002
ACH-001020,-1.5964422094600002
ACH-001028,-1.5279412170200002
ACH-001031,-1.20200217734
ACH-001038,-1.2605361469499998
ACH-001048,-1.5211477392500001
ACH-001050,-1.53627984295
ACH-001053,-1.36776076627
ACH-001054,-1.1871463596
ACH-001061,-1.28978572974
ACH-001067,-1.31907810781
ACH-001075,-1.1160033522700001
ACH-001096,-1.25693142945
ACH-001128,-1.3755836292399999
ACH-001134,-1.4743329312200002
ACH-001151,-1.23963123409
ACH-001163,-1.21525085075
ACH-001164,-1.52563114697
ACH-001173,-1.17815461504
ACH-001183,-1.14052466422
ACH-001184,-1.26366556911
ACH-001190,-1.26651036489
ACH-001192,-1.25133895894
ACH-001193,-1.67181761155
ACH-001196,-1.4568883543200002
ACH-001197,-1.3447342210799997
ACH-001205,-1.1896318735299998
ACH-001211,-1.17383430018
ACH-001212,-1.70872537346
ACH-001228,-1.37002867778
ACH-001232,-1.24823438903
ACH-001239,-1.30124728373
ACH-001274,-1.33867973993
ACH-001275,-1.5317118352799999
ACH-001277,-1.8090241083
ACH-001278,-1.23432261029
ACH-001280,-1.42583013777
ACH-001283,-1.2085223490600001
ACH-001289,-1.3310053337299999
ACH-001295,-1.47473754044
ACH-001300,-1.33833576276
ACH-001301,-1.43411795627
ACH-001302,-1.39288428398
ACH-001303,-1.68104113029
ACH-001306,-1.41870742972
ACH-001318,-1.28445482986
ACH-001322,-1.29768999474
ACH-001328,-0.9994989597949999
ACH-001332,-1.3991140060499998
ACH-001333,-1.13903110075
ACH-001336,-1.28522336898
ACH-001340,-1.2534598327200002
ACH-001346,-1.11542984838
ACH-001353,-1.4821947617700002
ACH-001354,-1.43907178343
ACH-001367,-1.2012550017299999
ACH-001368,-1.19093564681
ACH-001374,-1.02386244208
ACH-001375,-1.48093826179
ACH-001377,-1.53670208359
ACH-001380,-1.2364137897799998
ACH-001391,-1.60333590622
ACH-001407,-1.15932283264
ACH-001408,-1.1160382585200002
ACH-001413,-1.13218248325
ACH-001430,-1.46354571442
ACH-001431,-1.2305787127799999
ACH-001450,-1.2550540240399999
ACH-001496,-1.30270778033
ACH-001500,-1.5662389231
ACH-001521,-1.03292485338
ACH-001523,-1.08626936095
ACH-001532,-1.200435612
ACH-001536,-1.12290006195
ACH-001550,-1.62625184752
ACH-001552,-1.24875008782
ACH-001554,-1.23219551358
ACH-001645,-1.4301037307700002
ACH-001654,-1.31019634014
ACH-001715,-1.09947198331
ACH-001735,-1.45405818377
ACH-001736,-1.29938744724
ACH-001737,-1.57075556572
ACH-001740,-1.2334934606999999
ACH-001745,-1.1785326122
ACH-001750,-1.28661231036
ACH-001765,-1.4275971503600002
ACH-001956,-1.17504575359
ACH-001957,-1.4971296459099999
