,ZCCHC17 (51538)
ACH-000905,-0.21934356758499998
ACH-000906,-0.256953841317
ACH-000907,-0.34279721655
ACH-000910,-0.165455204282
ACH-000911,-0.202790474838
ACH-000912,-0.234477342887
ACH-000913,-0.18994390861
ACH-000915,-0.32230597931
ACH-000916,-8.70856607593e-05
ACH-000917,-0.16949748737599998
ACH-000921,-0.359308404204
ACH-000924,-0.263586844915
ACH-000926,-0.334596060105
ACH-000928,-0.247770857535
ACH-000929,-0.135109364348
ACH-000932,-0.27739415498799996
ACH-000935,-0.37083065515600006
ACH-000936,-0.269516746137
ACH-000937,-0.09191981146810001
ACH-000938,-0.140867283262
ACH-000939,-0.16188497101399998
ACH-000941,0.05949205853680001
ACH-000943,-0.139347929627
ACH-000946,-0.31919512928800003
ACH-000947,-0.207821211772
ACH-000948,-0.142478429553
ACH-000950,-0.25429637197
ACH-000953,-0.24187687854200002
ACH-000957,-0.330097252306
ACH-000958,-0.27565450931499996
ACH-000960,-0.151830899441
ACH-000963,-0.320249150576
ACH-000968,-0.100269258675
ACH-000969,-0.282625464603
ACH-000973,-0.128185771316
ACH-000974,-0.20144931173099997
ACH-000975,-0.427750647034
ACH-000976,-0.36026687171800004
ACH-000978,-0.08623208379360002
ACH-000980,-0.192225197203
ACH-000984,-0.46477656916599996
ACH-000986,-0.323204644642
ACH-000988,-0.17544833488699998
ACH-000993,-0.598480243245
ACH-000994,-0.267246562563
ACH-000996,-0.471958117287
ACH-001001,-0.45556433701399995
ACH-001020,-0.211662942669
ACH-001028,-0.210746568316
ACH-001031,-0.22668364741900002
ACH-001038,-0.197042033552
ACH-001048,-0.252561267383
ACH-001050,-0.381641512237
ACH-001053,-0.385832487439
ACH-001054,-0.281304174563
ACH-001061,-0.434630497823
ACH-001067,-0.20641074818799998
ACH-001075,-0.144911226215
ACH-001096,-0.204445132227
ACH-001128,-0.119206295519
ACH-001134,-0.40283375173299996
ACH-001151,-0.19078259482700002
ACH-001163,-0.0527689165197
ACH-001164,-0.400019414546
ACH-001173,-0.260317024715
ACH-001183,-0.34007773399
ACH-001184,-0.445250272847
ACH-001190,-0.41676267676600004
ACH-001192,-0.330273431261
ACH-001193,-0.19182250168200002
ACH-001196,-0.338181006582
ACH-001197,-0.435287237355
ACH-001205,-0.367949031295
ACH-001211,-0.339704819055
ACH-001212,-0.10353373826500001
ACH-001228,-0.202857881554
ACH-001232,-0.38490047131099997
ACH-001239,-0.26027932796799996
ACH-001274,-0.20560828867800002
ACH-001275,-0.028111281650900002
ACH-001277,-0.0898884263114
ACH-001278,0.0105703710241
ACH-001280,-0.146361212037
ACH-001283,-0.107764394935
ACH-001289,-0.17712449498
ACH-001295,-0.193188003825
ACH-001300,-0.281945052867
ACH-001301,-0.292116441784
ACH-001302,-0.197434004149
ACH-001303,0.022414018729
ACH-001306,-0.358074846804
ACH-001318,-0.308623846712
ACH-001322,-0.264579180382
ACH-001328,-0.20649457306400001
ACH-001332,-0.22874757342399998
ACH-001333,-0.245979419362
ACH-001336,-0.169904395958
ACH-001340,-0.338117095546
ACH-001346,-0.340834829809
ACH-001353,-0.249868156748
ACH-001354,-0.49912706034800003
ACH-001367,-0.20411146104400002
ACH-001368,-0.173919687373
ACH-001374,-0.301707361486
ACH-001375,-0.178235574926
ACH-001377,-0.27453159760400003
ACH-001380,-0.352851776793
ACH-001391,-0.290477985723
ACH-001407,-0.27728544035
ACH-001408,-0.290896229152
ACH-001413,-0.316596517633
ACH-001430,-0.171294374009
ACH-001431,-0.343608375069
ACH-001450,-0.153473296497
ACH-001496,-0.256707364238
ACH-001500,-0.316710803552
ACH-001521,-0.011900527950799999
ACH-001523,-0.35727490952
ACH-001532,-0.317219217612
ACH-001536,-0.313675182837
ACH-001550,-0.243588600978
ACH-001552,-0.10973486170800001
ACH-001554,-0.324730704132
ACH-001645,-0.238591589588
ACH-001654,-0.125304401304
ACH-001715,-0.285825254412
ACH-001735,-0.118820826843
ACH-001736,-0.126965901762
ACH-001737,0.107034642717
ACH-001740,-0.35695844882100003
ACH-001745,-0.334051695614
ACH-001750,-0.337234981294
ACH-001765,-0.30827828124699996
ACH-001956,-0.248897812011
ACH-001957,-0.199824988083
