,TBC1D3H (729877)
ACH-000316,-1.4903567886700002
ACH-000317,-1.5132973568299999
ACH-000318,-1.4545993267200001
ACH-000319,-1.34640804153
ACH-000320,-1.8200070354
ACH-000322,-1.57223882446
ACH-000323,-1.3468310451899999
ACH-000324,-1.4535997124200002
ACH-000329,-1.4946552111899998
ACH-000330,-1.41158545732
ACH-000331,-1.2899221914
ACH-000332,-1.3961354265900001
ACH-000334,-1.88752337837
ACH-000335,-1.33831128363
ACH-000336,-1.5386929208700002
ACH-000337,-1.2774686408
ACH-000339,-1.53204129722
ACH-000341,-1.4800281835100002
ACH-000348,-1.4699611808200002
ACH-000350,-1.6613521976899999
ACH-000352,-1.33550113545
ACH-000356,-1.22970381031
ACH-000361,-1.47893681284
ACH-000362,-1.63336632421
ACH-000363,-1.64398767065
ACH-000364,-1.63856781528
ACH-000365,-1.57404656493
ACH-000366,-1.39282281591
ACH-000368,-1.14676198434
ACH-000374,-1.51894607902
ACH-000375,-1.62498525988
ACH-000376,-1.19883989346
ACH-000381,-1.2883778963899999
ACH-000383,-1.4232659972100001
ACH-000387,-1.4980121846799999
ACH-000389,-1.4119786430899999
ACH-000390,-1.3953899186399998
ACH-000393,-1.38547647616
ACH-000395,-1.4818639539899998
ACH-000397,-1.45815606938
ACH-000401,-1.76318786776
ACH-000402,-1.3544759057799998
ACH-000403,-1.55233005024
ACH-000404,-1.45261621044
ACH-000406,-1.4990405683399999
ACH-000407,-1.35953104367
ACH-000408,-1.40820631926
ACH-000410,-1.3972516643200001
ACH-000411,-1.3979747515799998
ACH-000414,-1.6088144914200002
ACH-000415,-1.63275171099
ACH-000416,-1.3600348019600002
ACH-000420,-1.42850750364
ACH-000421,-1.31870448739
ACH-000424,-1.7916343384400002
ACH-000425,-1.30939560979
ACH-000426,-1.9914706903
ACH-000427,-1.33090795769
ACH-000433,-1.31247274051
ACH-000436,-1.7909464951599998
ACH-000444,-1.32432078333
ACH-000445,-1.3472237308300001
ACH-000448,-1.52686485824
ACH-000450,-1.4054117976499998
ACH-000452,-1.52240748144
ACH-000454,-1.38294278082
ACH-000458,-1.46509839447
ACH-000459,-1.1959402369
ACH-000460,-1.54733659804
ACH-000461,-1.6370559180000002
ACH-000463,-1.50570795497
ACH-000464,-1.59331018167
ACH-000466,-1.67706219739
ACH-000467,-1.40358227915
ACH-000468,-1.60578796285
ACH-000469,-1.5004604406600002
ACH-000470,-1.70376849188
ACH-000471,-1.5643175972299999
ACH-000472,-1.60170391029
ACH-000473,-1.51517828643
ACH-000475,-1.61355484879
ACH-000476,-1.62761821491
ACH-000477,-1.3154718306
ACH-000480,-1.40839546721
ACH-000481,-1.44818574115
ACH-000483,-1.20533235036
ACH-000484,-1.58425945861
ACH-000485,-1.70077399609
ACH-000486,-1.5268783777300001
ACH-000487,-1.59369869271
ACH-000488,-1.4213809836000002
ACH-000490,-1.34185055758
ACH-000491,-1.4738273851600001
ACH-000495,-1.2875407116700002
ACH-000496,-1.68489616979
ACH-000499,-1.5896234311700002
ACH-000500,-1.81388035062
ACH-000502,-1.35920058044
ACH-000503,-1.61649304474
ACH-000505,-1.32772157874
ACH-000507,-1.39196386266
ACH-000510,-1.57705734575
ACH-000511,-1.38096052976
ACH-000512,-1.31962075628
ACH-000516,-1.2704739434899999
ACH-000517,-1.42435175151
ACH-000518,-1.31036875483
ACH-000520,-1.4697974704700003
ACH-000521,-1.56971419808
ACH-000522,-1.4470254974399999
ACH-000524,-1.55725676163
ACH-000527,-1.38549070512
ACH-000528,-1.4365666668700001
ACH-000537,-1.3725913455
ACH-000541,-1.7135377627000001
ACH-000542,-1.48878571398
ACH-000544,-1.6339117496899997
ACH-000545,-1.51589273009
ACH-000547,-1.22692628419
ACH-000548,-1.47896134417
ACH-000549,-1.4636939835499998
ACH-000550,-1.25278280303
ACH-000552,-1.47409382248
ACH-000556,-1.40113157299
ACH-000557,-1.5552521903
ACH-000570,-1.5145397113499999
ACH-000571,-1.8549724812900001
ACH-000573,-1.41716335748
ACH-000576,-1.3822596776700002
ACH-000580,-1.76164331086
ACH-000584,-1.49392708911
ACH-000585,-1.27153267512
ACH-000588,-1.50090393812
ACH-000589,-1.4602780601899998
ACH-000591,-1.5064993894499998
ACH-000593,-1.5400372552500001
ACH-000600,-1.48328541387
ACH-000601,-1.37262550865
ACH-000604,-2.00195181764
ACH-000605,-1.2893594095899998
ACH-000606,-1.4113949668799999
ACH-000608,-1.6002664118099998
ACH-000614,-1.77846058664
ACH-000616,-1.5216258965399998
ACH-000618,-1.25489999359
ACH-000619,-1.5391621155000001
ACH-000620,-1.52540819918
ACH-000621,-1.5717137274200002
ACH-000622,-1.7002729946500001
ACH-000623,-1.50745328686
ACH-000624,-1.4345125590799999
ACH-000627,-1.63045270227
ACH-000630,-1.5546220454
ACH-000632,-1.5600488841
ACH-000633,-1.55154210525
ACH-000637,-1.3823828489200003
ACH-000638,-1.43700784217
ACH-000646,-1.76814656841
ACH-000647,-1.3225018771200001
ACH-000648,-1.6085293389500002
ACH-000649,-1.40609099838
ACH-000651,-1.47185903551
ACH-000652,-1.61706270676
ACH-000653,-1.5244365169999998
ACH-000657,-1.4182929869799998
ACH-000658,-1.5554894592299997
ACH-000661,-1.2715954205700002
ACH-000662,-1.76207550905
ACH-000663,-1.3915197053100001
ACH-000665,-1.32228074166
ACH-000671,-1.56866983785
ACH-000673,-1.53411103248
ACH-000676,-1.5123914665600002
ACH-000677,-1.3164861726700001
ACH-000681,-1.6029946609399999
ACH-000682,-1.50354516678
ACH-000683,-1.3410478076999999
ACH-000684,-1.54670314609
ACH-000688,-1.60368694769
ACH-000693,-1.28427124575
ACH-000694,-1.6290298625100001
ACH-000695,-1.29076708172
ACH-000696,-1.34102573816
ACH-000697,-1.58535457415
ACH-000699,-1.00650773587
ACH-000701,-1.60707619884
ACH-000706,-1.24407626343
ACH-000711,-1.44273675637
ACH-000713,-1.58180124431
ACH-000714,-1.67319284579
ACH-000718,-1.65389688998
ACH-000720,-1.3128014525799998
ACH-000721,-1.5668455084200001
ACH-000724,-1.65535544773
ACH-000725,-1.3529348215700001
ACH-000732,-1.5531593532700003
ACH-000734,-1.6401347744299999
ACH-000735,-1.4356965957799999
ACH-000736,-1.32626071436
ACH-000738,-1.51993571116
ACH-000746,-1.65553100481
ACH-000747,-1.3061701276
ACH-000748,-1.4702279490999999
ACH-000753,-1.3251204178
ACH-000756,-1.70622061023
ACH-000757,-1.69730353574
ACH-000758,-1.4602156411899998
ACH-000760,-1.42228041384
ACH-000763,-1.4118692240200001
ACH-000764,-1.55116159102
ACH-000765,-1.2405082944799999
ACH-000766,-1.7884237224700001
ACH-000767,-1.6403255691499998
ACH-000768,-1.57411735868
ACH-000769,-1.4547452352799999
ACH-000770,-1.68522143435
ACH-000771,-1.4632203070700003
ACH-000773,-1.68754373757
ACH-000776,-1.51102639405
ACH-000777,-1.29965206716
ACH-000778,-1.80887783965
ACH-000781,-1.4550232178799998
ACH-000782,-1.61229327766
ACH-000783,-1.42073987111
ACH-000784,-1.4913985862
ACH-000785,-1.90568099618
ACH-000787,-1.48242633168
ACH-000788,-1.3800696263299999
ACH-000791,-1.4932964345100002
ACH-000792,-1.53118378937
ACH-000794,-1.5206569828799998
ACH-000796,-1.723491972
ACH-000799,-1.3773271347299998
ACH-000800,-1.3416713073
ACH-000802,-1.7762609943099998
ACH-000804,-1.5365711550999999
ACH-000805,-1.25720668901
ACH-000809,-1.6001456034000001
ACH-000810,-1.7288020055200002
ACH-000811,-1.63055397837
ACH-000817,-1.43843576657
ACH-000819,-1.15310526546
ACH-000820,-1.56070530271
ACH-000821,-1.8513979017099997
ACH-000822,-1.37510597191
ACH-000823,-1.27263260894
ACH-000824,-1.55155295272
ACH-000827,-1.38441323472
ACH-000829,-1.46421024493
ACH-000831,-1.58380434194
ACH-000832,-1.44084132045
ACH-000833,-1.69937427928
ACH-000834,-1.62385321398
ACH-000835,-1.44278504671
ACH-000836,-1.63782522727
ACH-000837,-1.4626502976299998
ACH-000838,-1.38104330236
ACH-000839,-1.5992276883599998
ACH-000840,-1.32467325779
ACH-000841,-1.51401523234
ACH-000843,-1.36461952503
ACH-000846,-1.6585348721899997
ACH-000847,-1.4344154978499999
ACH-000848,-1.2848475515200002
ACH-000849,-1.60245238784
ACH-000851,-1.3744125671899998
ACH-000855,-1.4126681358200002
ACH-000856,-1.64178021023
ACH-000858,-1.44399848944
ACH-000859,-1.4857414760699998
ACH-000861,-1.6017619228400002
ACH-000862,-1.46547206432
ACH-000865,-1.44810230576
ACH-000866,-1.2479770002700001
ACH-000867,-1.5184645272100001
ACH-000869,-1.45166317426
ACH-000872,-1.47427062984
ACH-000873,-1.63222428406
ACH-000876,-1.5630691519100002
ACH-000878,-1.2093111605700002
ACH-000880,-1.55843917736
ACH-000881,-1.6319647063499998
ACH-000882,-1.33952060995
ACH-000884,-1.43434275924
ACH-000885,-1.5935101919499999
ACH-000887,-1.45194193624
ACH-000888,-1.33014321914
ACH-000889,-1.61107343998
ACH-000890,-1.37431574629
ACH-000896,-1.4351764007899999
ACH-000898,-1.58706858033
ACH-000900,-1.65712529558
ACH-000901,-1.36024939884
ACH-000905,-1.4335845821200002
ACH-000906,-1.50726384216
ACH-000907,-1.4921210501299997
ACH-000910,-1.48895296669
ACH-000911,-1.02026766684
ACH-000912,-1.31946520901
ACH-000913,-1.33180467835
ACH-000915,-1.31454943013
ACH-000916,-1.62877269871
ACH-000917,-1.48173556729
ACH-000921,-1.6137602506200002
ACH-000924,-1.31633350957
ACH-000926,-1.5945195108399999
ACH-000928,-1.5091631184299998
ACH-000929,-1.58476467909
ACH-000932,-1.44317646628
ACH-000935,-1.61312996834
ACH-000936,-1.4014006987
ACH-000937,-1.63253552895
ACH-000938,-1.25333575895
ACH-000939,-1.4143201184
ACH-000941,-1.52886327102
ACH-000943,-1.4851800444499998
ACH-000946,-1.42221045194
ACH-000947,-1.51864506119
ACH-000948,-1.4574631519699999
ACH-000950,-1.46097390902
ACH-000953,-1.5646166609399998
ACH-000957,-1.4609707439
ACH-000958,-1.3268935639100001
ACH-000960,-1.53528990841
ACH-000963,-1.24977267559
ACH-000968,-1.36760076884
ACH-000969,-1.57555646078
ACH-000973,-1.51783691004
ACH-000974,-1.5211697110100002
ACH-000975,-1.42832199444
ACH-000976,-1.7986625516699999
ACH-000978,-1.15084224133
ACH-000980,-1.35371344046
ACH-000984,-1.41860206215
ACH-000986,-1.37763512709
ACH-000988,-1.18746442815
ACH-000993,-1.44382224805
ACH-000994,-1.3581681312600002
ACH-000996,-1.23830813562
ACH-001001,-1.43294283438
ACH-001020,-1.4902365573700003
ACH-001028,-1.45779859704
ACH-001031,-1.55972829041
ACH-001038,-1.5148051969799998
ACH-001048,-1.60146962988
ACH-001050,-1.47694257655
ACH-001053,-1.43850345331
ACH-001054,-1.4927891660400001
ACH-001061,-1.5703030552700001
ACH-001067,-1.64762124834
ACH-001075,-1.48005757799
ACH-001096,-1.1364743991
ACH-001128,-1.6011024080399998
ACH-001134,-1.3595669731400002
ACH-001151,-1.42275345772
ACH-001163,-1.3040815622600002
ACH-001164,-1.5083558627200002
ACH-001173,-1.56610545396
ACH-001183,-1.7626538614900003
ACH-001184,-1.50547103671
ACH-001190,-1.59392029338
ACH-001192,-1.49170057185
ACH-001193,-1.64912275254
ACH-001196,-1.25447668276
ACH-001197,-1.6587069191
ACH-001205,-1.46097650181
ACH-001211,-1.24982990626
ACH-001212,-1.8694248379599998
ACH-001228,-1.2330745483499999
ACH-001232,-1.4958481827899999
ACH-001239,-1.42044545741
ACH-001274,-1.3692348888299999
ACH-001275,-1.5600374878
ACH-001277,-1.16642176464
ACH-001278,-1.5164543503
ACH-001280,-1.39954702933
ACH-001283,-1.1544227914799998
ACH-001289,-1.79921730651
ACH-001295,-1.32439478849
ACH-001300,-1.45498224713
ACH-001301,-1.44184110744
ACH-001302,-1.7904187443000001
ACH-001303,-1.69888127443
ACH-001306,-1.4923496154299998
ACH-001318,-1.5545773545200001
ACH-001322,-1.2501702078
ACH-001328,-1.3350208104999999
ACH-001332,-1.7613002496099999
ACH-001333,-1.52003039179
ACH-001336,-1.57271604211
ACH-001340,-1.41140312139
ACH-001346,-1.39271739307
ACH-001353,-1.48325426006
ACH-001354,-1.66733654225
ACH-001367,-1.91661770877
ACH-001368,-1.36717650168
ACH-001374,-1.6951909327099999
ACH-001375,-1.3998656947900001
ACH-001377,-1.53190007282
ACH-001380,-1.4922054174700001
ACH-001391,-1.44647380016
ACH-001407,-1.69262790993
ACH-001408,-1.56650494998
ACH-001413,-1.34926779264
ACH-001430,-1.32353036256
ACH-001431,-1.33784528813
ACH-001450,-1.63375474838
ACH-001496,-1.61899371373
ACH-001500,-1.6499784655
ACH-001521,-1.48346618035
ACH-001523,-1.5732373553
ACH-001532,-1.3332585733700002
ACH-001536,-1.5361908996399998
ACH-001550,-1.74117209784
ACH-001552,-1.5383203341299998
ACH-001554,-1.36279174362
ACH-001645,-1.54953376984
ACH-001654,-1.30625766816
ACH-001715,-1.6058967855200001
ACH-001735,-1.3893338327200002
ACH-001736,-1.6305273812299999
ACH-001737,-1.14176122808
ACH-001740,-1.47913184141
ACH-001745,-1.56731999974
ACH-001750,-1.65750437428
ACH-001765,-1.2254741118
ACH-001956,-1.3824066397499999
ACH-001957,-1.5667214591499998
