,OR2Z1 (284383)
ACH-000652,0.049390713273499996
ACH-000653,0.09382979336780001
ACH-000657,0.173923143907
ACH-000658,-0.0508147593507
ACH-000661,-0.0127222563265
ACH-000662,0.443375329641
ACH-000663,0.209513080814
ACH-000665,-0.0828372271456
ACH-000671,0.015436479746
ACH-000673,0.08845708848929999
ACH-000676,-0.09912752713860001
ACH-000677,0.22672945398000002
ACH-000681,-0.0722721924253
ACH-000682,-0.0886118153404
ACH-000683,0.0823320501512
ACH-000684,0.189920978459
ACH-000688,0.124814061957
ACH-000693,0.0276330787593
ACH-000694,0.162109070588
ACH-000695,0.272211706092
ACH-000696,0.00167137186443
ACH-000697,0.259696863027
ACH-000699,0.011814658849
ACH-000701,-0.145352220187
ACH-000706,0.10845553415999999
ACH-000711,0.053436542777399995
ACH-000713,0.170745088512
ACH-000714,0.193732606415
ACH-000718,0.06735958600769999
ACH-000720,0.0980103161456
ACH-000721,0.00895457684729
ACH-000724,0.19346021168400002
ACH-000725,0.0915237491749
ACH-000732,0.279120297761
ACH-000734,0.0061287071031499996
ACH-000735,0.042971739071000006
ACH-000736,0.19919474323300002
ACH-000738,-0.0363487086094
ACH-000746,-0.055705987357999996
ACH-000747,-0.127338355003
ACH-000748,0.06197937741
ACH-000753,0.10573238881100001
ACH-000756,-0.012955491371599999
ACH-000757,0.0874339915475
ACH-000758,0.177134293317
ACH-000760,0.0507288251353
ACH-000763,0.043837757972499995
ACH-000764,-0.286716740316
ACH-000765,0.0560607791169
ACH-000766,0.0567566493508
ACH-000767,0.0554979984237
ACH-000768,-0.10561830137700001
ACH-000769,0.0939622919857
ACH-000770,0.00988157182475
ACH-000771,0.17026110868299998
ACH-000773,0.192301940092
ACH-000776,-0.312808678822
ACH-000777,-0.126749040746
ACH-000778,0.0471603188522
ACH-000781,-0.0147556128726
ACH-000782,-0.141840055711
ACH-000783,0.0463821874395
ACH-000784,0.0683157477178
ACH-000785,-0.15421163188200002
ACH-000787,0.00451025755759
ACH-000788,0.039042001902900005
ACH-000791,-0.00367456454676
ACH-000792,-0.0850097811363
ACH-000794,0.232417830941
ACH-000796,-0.0133560167331
ACH-000799,-0.0015733614338800002
