,WTIP (126374)
ACH-001067,0.11950489609300001
ACH-001075,0.0620163607016
ACH-001096,0.185039414553
ACH-001128,-0.17408556782499998
ACH-001134,0.12118266644799999
ACH-001151,0.141057981196
ACH-001163,0.185852126146
ACH-001164,0.022068628058099997
ACH-001173,0.0232537266041
ACH-001183,0.21439450924400003
ACH-001184,0.205782829308
ACH-001190,0.033738738876400005
ACH-001192,0.097924161915
ACH-001193,0.400008435351
ACH-001196,0.277898668706
ACH-001197,0.021707821959500002
ACH-001205,0.474180350864
ACH-001211,0.0647785316546
ACH-001212,0.301267380662
ACH-001228,0.177459142528
ACH-001232,0.172511933064
ACH-001239,0.269195518129
ACH-001274,-0.106062859488
ACH-001275,0.157745399297
ACH-001277,-0.0390995306552
ACH-001278,0.198582989668
ACH-001280,0.253713851862
ACH-001283,0.105578946393
ACH-001289,0.251816540267
ACH-001295,0.013317741376200001
ACH-001300,0.38906963723300003
ACH-001301,0.00340220664091
ACH-001302,0.330408029235
ACH-001303,0.0359077671619
ACH-001306,0.108032504388
ACH-001318,0.26467405987
ACH-001322,0.0538006131839
ACH-001328,0.161514621936
ACH-001332,-0.205128149217
ACH-001333,0.263423295159
ACH-001336,0.269247254626
ACH-001340,0.11096781350500001
ACH-001346,0.12573986978
ACH-001353,0.059643979697400006
ACH-001354,0.36294204665299995
ACH-001367,0.259452416492
ACH-001368,0.0522008578098
ACH-001374,0.416527118403
ACH-001375,0.0834907629827
ACH-001377,0.188486429802
ACH-001380,0.118440105066
ACH-001391,0.23104738649300002
ACH-001407,0.207363588732
ACH-001408,0.297019782442
ACH-001413,-0.295323817424
ACH-001430,0.2877173523
ACH-001431,0.19150833400400002
ACH-001450,0.130278005123
ACH-001496,0.321648542848
ACH-001500,0.461613854398
ACH-001521,0.066284803202
ACH-001523,0.31308170837099997
ACH-001532,0.0575907752213
ACH-001536,0.703221215553
ACH-001550,0.19609128547899998
ACH-001552,0.19128940422600002
ACH-001554,0.0471987967889
ACH-001645,0.257504169321
ACH-001654,0.19849383657699998
ACH-001715,0.22679666018199998
ACH-001735,0.25242233339299996
ACH-001736,0.15752433957999998
ACH-001737,-0.044417089125199996
ACH-001740,-0.044183211141999995
ACH-001745,-0.07814382375810001
ACH-001750,0.0789429051755
ACH-001765,0.00399625210774
ACH-001956,0.21867917442600002
ACH-001957,0.128526812322
