,MADD (8567)
ACH-001205,-0.033678836376099995
ACH-001211,-0.00839316134
ACH-001212,-0.037404530816
ACH-001228,0.0318785008281
ACH-001232,-0.185148187759
ACH-001239,-0.061955481103400004
ACH-001274,0.0014129974078199998
ACH-001275,-0.110991996121
ACH-001277,-0.129730443907
ACH-001278,-0.05627487076280001
ACH-001280,-0.059669525213
ACH-001283,-0.15102466576999998
ACH-001289,-0.06267898602319999
ACH-001295,-0.0821429224628
ACH-001300,-0.196722964134
ACH-001301,-0.024085210018099996
ACH-001302,0.025183271923700002
ACH-001303,0.251127487239
ACH-001306,-0.0313481977011
ACH-001318,-0.0780535097854
ACH-001322,-0.0820566766233
ACH-001328,-0.125623977783
ACH-001332,-0.0109470129846
ACH-001333,-0.00596290159748
ACH-001336,-0.07917062627610001
ACH-001340,-0.211759190373
ACH-001346,-0.169405407483
ACH-001353,0.0843462622108
ACH-001354,-0.0709828591564
ACH-001367,-0.440237172052
ACH-001368,0.072815775098
ACH-001374,-0.11040260376399999
ACH-001375,-0.0956634857865
ACH-001377,0.00974590168107
ACH-001380,0.038077945693
ACH-001391,-0.115664363503
ACH-001407,-0.07374075491910001
ACH-001408,-0.335736853744
ACH-001413,0.07674930683310001
ACH-001430,-0.12069188779300001
ACH-001431,-0.120377850537
ACH-001450,-0.0573179553367
ACH-001496,-0.100764189485
ACH-001500,-0.049203965359699994
ACH-001521,-0.16892072005999997
ACH-001523,0.027863472404800003
ACH-001532,-0.00022602333669099998
ACH-001536,0.187992360823
ACH-001550,-0.21168820669100002
ACH-001552,-0.11474989684800001
ACH-001554,0.009232076495899999
ACH-001645,-0.0693230095021
ACH-001654,0.0159024203079
ACH-001715,-0.11250445925000001
ACH-001735,-0.260791716771
ACH-001736,-0.0699348651996
ACH-001737,0.028013327260199998
ACH-001740,-0.021409800395499997
ACH-001745,-0.012215690670200003
ACH-001750,0.10098850818800001
ACH-001765,-0.0319979760863
ACH-001956,-0.0335507177866
ACH-001957,-0.127940397561
