,TP53TG5 (27296)
ACH-000591,0.10650372065099999
ACH-000593,0.28970740659
ACH-000600,-0.137236662584
ACH-000601,0.159423575935
ACH-000604,-0.09282802606910001
ACH-000605,-0.234729502468
ACH-000606,0.205678568585
ACH-000608,-0.055459980739400006
ACH-000614,-0.025657098020799997
ACH-000616,0.29931295981
ACH-000618,0.18853763050099998
ACH-000619,0.158472269532
ACH-000620,0.12723114271
ACH-000621,0.217893634433
ACH-000622,0.142228864527
ACH-000623,0.143881615558
ACH-000624,0.037807946374800006
ACH-000627,0.0417612123776
ACH-000630,0.30284648919199997
ACH-000632,0.128006591767
ACH-000633,0.212332324672
ACH-000637,0.167126495469
ACH-000638,0.26820032695
ACH-000646,0.05559303357440001
ACH-000647,0.20665328844099998
ACH-000648,0.120270885355
ACH-000649,0.0711155626598
ACH-000651,0.09258371585410001
ACH-000652,0.17747225284499998
ACH-000653,0.059393984249
ACH-000657,-0.024886437459200002
ACH-000658,-0.119531180397
ACH-000661,0.0845203510464
ACH-000662,0.0916753500161
ACH-000663,0.08434685572339999
ACH-000665,0.0264522798124
ACH-000671,-0.047778658346100004
ACH-000673,0.11718411190400001
ACH-000676,0.14542849494
ACH-000677,0.07482513179389999
ACH-000681,0.0874812153177
ACH-000682,0.075632719954
ACH-000683,0.10954977619799999
ACH-000684,0.251712676061
ACH-000688,-0.08706228073380001
ACH-000693,0.176294544513
ACH-000694,0.290927145923
ACH-000695,0.277850682242
ACH-000696,-0.15558968633
ACH-000697,-0.0829455015548
ACH-000699,0.0689599296986
ACH-000701,0.101182821596
ACH-000706,0.058250610866199995
ACH-000711,-0.07932843225319999
ACH-000713,-0.190214903184
ACH-000714,-0.0223638818185
ACH-000718,0.0102786339629
ACH-000720,0.0224949084491
ACH-000721,-0.247111691437
ACH-000724,0.150964155759
ACH-000725,0.124676135707
ACH-000732,-0.215614920815
ACH-000734,0.278819637537
ACH-000735,0.139874498543
ACH-000736,0.121362901026
ACH-000738,-0.09351388798879999
ACH-000746,0.140759971646
ACH-000747,0.191833305664
ACH-000748,0.191514532031
ACH-000753,0.0895680732292
ACH-000756,0.243442343803
ACH-000757,0.19192325824
ACH-000758,-0.035187576945
ACH-000760,0.283035653511
ACH-000763,0.0414089210559
ACH-000764,0.433867490231
ACH-000765,0.282658579113
ACH-000766,0.304729466034
ACH-000767,0.11813803477700001
ACH-000768,0.255284838948
ACH-000769,0.149460643732
ACH-000770,0.175479038782
ACH-000771,-0.00751566253273
ACH-000773,0.219101374868
ACH-000776,0.164409146467
ACH-000777,0.228601099686
ACH-000778,0.0999095909855
ACH-000781,0.130507123398
ACH-000782,0.15952957843499999
ACH-000783,-0.016104887702799997
ACH-000784,0.160942750193
ACH-000785,0.08333629835739999
ACH-000787,0.08313614888189999
ACH-000788,0.0293286247984
ACH-000791,0.248316854829
ACH-000792,0.256868830343
ACH-000794,0.040711112894699995
ACH-000796,0.050726615295099996
ACH-000799,-0.07638899454489999
ACH-000800,0.206666819794
ACH-000802,0.15792951119999998
ACH-000804,0.0549738694038
ACH-000805,0.133955307485
ACH-000809,0.130307730953
ACH-000810,0.421305623192
ACH-000811,-0.125817590014
ACH-000817,0.265790912611
ACH-000819,0.118523589045
ACH-000820,0.386121232112
ACH-000821,0.0286519945914
ACH-000822,-0.09593792187889999
ACH-000823,-0.00312107916833
ACH-000824,0.255317942503
ACH-000827,0.0761714569372
ACH-000829,0.247989495175
ACH-000831,0.029152387999999998
ACH-000832,0.012039708433
ACH-000833,-0.0304028030153
ACH-000834,0.180820932767
ACH-000835,0.22461682604699998
ACH-000836,-0.0587879061171
ACH-000837,0.18042041932999997
ACH-000838,-0.040940389888699996
ACH-000839,-0.259231086228
ACH-000840,-0.220079450194
ACH-000841,0.25357117608
ACH-000843,0.0565185124405
ACH-000846,0.000993082754675
ACH-000847,-0.0442286662908
ACH-000848,-0.0644204181829
ACH-000849,0.10668377059699999
ACH-000851,-0.244343360364
ACH-000855,0.353292263263
ACH-000856,-0.012562617978100002
ACH-000858,-0.041439866622800005
ACH-000859,0.188505747696
ACH-000861,0.128755331696
ACH-000862,0.130701389337
ACH-000865,0.154850437606
ACH-000866,0.184146663546
ACH-000867,0.0238569899773
ACH-000869,0.08166488282439999
ACH-000872,0.154304420009
ACH-000873,0.11172602595999999
ACH-000876,0.057466451391699994
ACH-000878,0.166316901751
ACH-000880,0.14891305389599999
ACH-000881,0.110133178528
ACH-000882,0.07786842913339999
ACH-000884,-0.0403334959951
ACH-000885,-0.024133767543999998
ACH-000887,0.0130683412662
ACH-000888,0.144289216148
ACH-000889,0.168636690689
ACH-000890,-0.0263068222216
ACH-000896,0.029738216773399998
ACH-000898,0.136776308438
ACH-000900,0.123144551117
ACH-000901,0.0702427192744
ACH-000905,0.22744500911499999
ACH-000906,0.0947692167071
ACH-000907,0.028147718678000002
ACH-000910,0.355126135308
ACH-000911,0.06981721932639999
ACH-000912,0.0108376634458
ACH-000913,0.0476488755963
ACH-000915,0.23346057068300002
ACH-000916,-0.0474447550478
ACH-000917,0.108648030182
