,ARF3 (377)
ACH-000624,-0.316306179664
ACH-000627,-0.321345548904
ACH-000630,-0.559200588343
ACH-000632,-0.190135234582
ACH-000633,-0.748179870987
ACH-000637,-0.245952449619
ACH-000638,-0.274937227776
ACH-000646,-0.367256541904
ACH-000647,-0.304120561726
ACH-000648,-0.206542298559
ACH-000649,-0.34614952726899995
ACH-000651,-0.23853209258000002
ACH-000652,-0.136748235812
ACH-000653,-0.31432571934500003
ACH-000657,-0.382625920552
ACH-000658,-0.197171570258
ACH-000661,-0.186143211958
ACH-000662,-0.06528071727469999
ACH-000663,-0.410962198213
ACH-000665,-0.51106910423
ACH-000671,-0.36315025250699995
ACH-000673,-0.266262206217
ACH-000676,-0.249355598129
ACH-000677,-0.31152455008900004
ACH-000681,-0.389590423559
ACH-000682,-0.433086158105
ACH-000683,-0.152458583226
ACH-000684,-0.194777355779
ACH-000688,-0.263100641163
ACH-000693,-0.290987265584
ACH-000694,-0.35424351259400005
ACH-000695,-0.5836768499639999
ACH-000696,-0.35387726838100003
ACH-000697,-0.395758156691
ACH-000699,-0.21079805155900003
ACH-000701,-0.518730424236
ACH-000706,-0.391824219186
ACH-000711,-0.263068440106
ACH-000713,-0.32532939402600003
ACH-000714,-0.33899416624799994
ACH-000718,-0.211968827368
ACH-000720,-0.21194923987599998
ACH-000721,-0.23583604236699998
ACH-000724,-0.308342130286
ACH-000725,-0.257166270787
ACH-000732,-0.353701379858
ACH-000734,-0.43606670448999996
ACH-000735,-0.26648538655000004
ACH-000736,-0.228007580425
ACH-000738,-0.204333553787
ACH-000746,-0.343064509325
ACH-000747,-0.46507575124399997
ACH-000748,-0.289062793544
ACH-000753,-0.285963599271
ACH-000756,-0.332897640688
ACH-000757,-0.457121504978
ACH-000758,-0.315538365546
ACH-000760,-0.36694767828900005
ACH-000763,-0.146134489843
ACH-000764,-0.672585135494
ACH-000765,-0.384767853569
ACH-000766,-0.264645018422
ACH-000767,-0.11607705187999999
ACH-000768,-0.192119576356
ACH-000769,-0.220408825971
ACH-000770,-0.344817276509
ACH-000771,-0.47961054979400003
ACH-000773,-0.454792933304
ACH-000776,-0.42956053622199997
ACH-000777,-0.149691734626
ACH-000778,-0.0200852820475
ACH-000781,-0.22491627813
ACH-000782,-0.20416173013799999
ACH-000783,-0.498849106172
ACH-000784,-0.325015824249
ACH-000785,-0.539367375039
ACH-000787,-0.44009039261999994
ACH-000788,-0.412560562804
ACH-000791,-0.25790631251999996
ACH-000792,-0.26412434394400003
ACH-000794,-0.106347851737
ACH-000796,-0.29400677913600004
ACH-000799,-0.391058465964
ACH-000800,-0.405411398109
ACH-000802,-0.33118998927099996
ACH-000804,-0.423060282144
ACH-000805,-0.39627448821999994
ACH-000809,-0.539591861568
