,TOP3B (8940)
ACH-000696,-0.15783496469
ACH-000697,-0.451779863248
ACH-000699,-0.186417821772
ACH-000701,-0.047529089147
ACH-000706,0.0601707387729
ACH-000711,-0.107953597746
ACH-000713,0.048304124767500005
ACH-000714,-0.097016014405
ACH-000718,-0.14202154021900001
ACH-000720,-0.150353389352
ACH-000721,-0.44255793126599996
ACH-000724,-0.365381411404
ACH-000725,-0.33505118394
ACH-000732,-0.145383127679
ACH-000734,-0.170276422526
ACH-000735,-0.179589417781
ACH-000736,-0.107068087944
ACH-000738,-0.163572196111
ACH-000746,-0.00609492419748
ACH-000747,-0.18947496654100002
ACH-000748,-0.0477316411063
ACH-000753,-0.169726540428
ACH-000756,-0.054715077887199995
ACH-000757,-0.315115745419
ACH-000758,0.0684900749318
ACH-000760,-0.226335445907
ACH-000763,-0.228515406849
ACH-000764,-0.34226554157600003
ACH-000765,-0.11347849553200001
ACH-000766,-0.23239492324900002
ACH-000767,-0.0605865522249
ACH-000768,-0.08835100212269999
ACH-000769,-0.0372399939743
ACH-000770,-0.245550553162
ACH-000771,-0.0742793772042
ACH-000773,-0.120751452258
ACH-000776,-0.161139517691
ACH-000777,-0.23744738361499998
ACH-000778,-0.729955149675
ACH-000781,-0.279432797806
ACH-000782,-0.0374193329248
ACH-000783,-0.012497837734700002
ACH-000784,-0.171192893335
ACH-000785,-0.10639020478
ACH-000787,-0.19096515545200002
ACH-000788,-0.28931632245
ACH-000791,-0.33400583928000005
ACH-000792,-0.264285626961
ACH-000794,-0.150930911296
ACH-000796,-0.104802211013
ACH-000799,-0.452847070123
ACH-000800,-0.398499294467
ACH-000802,-0.287500087229
ACH-000804,0.0635334434126
ACH-000805,-0.5413602551560001
ACH-000809,-0.08535771782719999
ACH-000810,0.30217466594000003
ACH-000811,-0.058727809092199997
ACH-000817,0.10337693335300001
ACH-000819,-0.0286078866495
ACH-000820,-0.257998179078
ACH-000821,-0.165933166172
ACH-000822,-0.200422421444
ACH-000823,-0.18986756636799998
ACH-000824,-0.198284445769
ACH-000827,-0.0257983871891
ACH-000829,-0.178958503422
ACH-000831,-0.171663002661
ACH-000832,-0.18999902500399998
ACH-000833,-0.330200638871
ACH-000834,-0.165577407112
ACH-000835,-0.09228599164239999
ACH-000836,-0.144031730899
ACH-000837,-0.0867478085532
ACH-000838,0.09753031680289999
ACH-000839,-0.14070687581900002
ACH-000840,-0.509122143221
ACH-000841,-0.19323428772999998
ACH-000843,-0.34588613887599995
ACH-000846,-0.520495130504
ACH-000847,-0.13253599452
ACH-000848,-0.049210467957699996
ACH-000849,-0.22451906928800003
ACH-000851,-0.108823065023
ACH-000855,-0.16713943615399998
ACH-000856,0.0344119030305
ACH-000858,-0.373322911646
ACH-000859,-0.367333152051
ACH-000861,-0.270357801905
ACH-000862,-0.235801701926
ACH-000865,-0.14866632596100002
ACH-000866,-0.0495884335694
ACH-000867,-0.232035792514
ACH-000869,-0.35845346823299995
ACH-000872,-0.600283129366
ACH-000873,-0.232646860517
ACH-000876,-0.24825464873300002
ACH-000878,-0.287451998405
ACH-000880,-0.131453239342
ACH-000881,-0.246648488075
ACH-000882,-0.18300186314300002
ACH-000884,-0.225247177419
ACH-000885,-0.021696894292900004
ACH-000887,-0.40136855545100003
ACH-000888,-0.165770508278
ACH-000889,-0.08992840231799999
ACH-000890,-0.37765710890199994
ACH-000896,-0.302020450002
ACH-000898,-0.23511435357500002
ACH-000900,-0.18293949821199998
ACH-000901,-0.48979992997500005
ACH-000905,0.0199189283883
ACH-000906,-0.15054155848
ACH-000907,-0.542598455547
ACH-000910,-0.161855289824
ACH-000911,-0.217077604758
ACH-000912,-0.267266023415
ACH-000913,-0.166083382225
ACH-000915,0.126117561868
ACH-000916,0.07788103103539999
ACH-000917,-0.0778767395968
ACH-000921,-0.200510217742
ACH-000924,-0.25961747040600003
ACH-000926,-0.165859946229
ACH-000928,-0.037519671993
ACH-000929,0.0211740448707
ACH-000932,-0.016972491527100002
ACH-000935,-0.20533886002500001
ACH-000936,-0.2131365909
ACH-000937,-0.35121051332900005
ACH-000938,-0.24023734821999998
ACH-000939,0.0168633579312
ACH-000941,-0.29647043588599997
ACH-000943,-0.0820960898863
ACH-000946,-0.10548774290400001
ACH-000947,-0.12126386791200001
ACH-000948,-0.18147929548500003
ACH-000950,-0.263180611282
ACH-000953,-0.36833979146799994
ACH-000957,-0.210023470737
ACH-000958,-0.301924141632
ACH-000960,-0.15479602377
ACH-000963,-0.0819091068142
ACH-000968,-0.00932474083932
ACH-000969,-0.264434097291
ACH-000973,0.032829865523599996
ACH-000974,-0.221544549452
ACH-000975,-0.155735930803
ACH-000976,-0.19798058683400002
ACH-000978,-0.15928832640499999
ACH-000980,-0.151761542935
ACH-000984,0.119840622348
ACH-000986,-0.134813753865
ACH-000988,-0.148933060359
ACH-000993,-0.098167410917
ACH-000994,-0.356985968484
ACH-000996,-0.08944110333139998
ACH-001001,-0.0678203231386
ACH-001020,0.14176423084200002
ACH-001028,-0.181917899353
ACH-001031,-0.118238717301
ACH-001038,-0.204107671868
ACH-001048,-0.0348654933506
ACH-001050,-0.0715290801721
ACH-001053,0.138363293582
ACH-001054,-0.278345499522
ACH-001061,-0.09731755153999999
ACH-001067,-0.272603896387
ACH-001075,0.18652020762600002
ACH-001096,-0.0203387720588
ACH-001128,-0.311368078381
ACH-001134,-0.268161246927
ACH-001151,-0.207643328643
ACH-001163,-0.146841453269
ACH-001164,-0.34686658595700004
ACH-001173,-0.131510656378
ACH-001183,-0.20018353167199998
ACH-001184,-0.30896488850000003
ACH-001190,-0.26144506552499996
ACH-001192,-0.20908439959199998
ACH-001193,0.153348488995
ACH-001196,-0.0578969591493
ACH-001197,-0.25701233219700004
ACH-001205,-0.09936467416339999
ACH-001211,-0.24327922912799999
ACH-001212,-0.0978633922384
ACH-001228,-0.10209943352499999
ACH-001232,-0.11321880241599999
ACH-001239,-0.304498763082
ACH-001274,-0.06669215113730001
ACH-001275,-0.241171604401
ACH-001277,-0.220569109752
ACH-001278,-0.10679131327
ACH-001280,-0.11061119215700001
ACH-001283,-0.192350152096
ACH-001289,-0.286636745009
ACH-001295,-0.20470003802700001
ACH-001300,-0.172805984523
ACH-001301,-0.263001829106
ACH-001302,0.21980020770599998
ACH-001303,-0.379559465393
ACH-001306,-0.33296902702
ACH-001318,-0.29368436728
ACH-001322,-0.19986640196
ACH-001328,0.0836443916675
ACH-001332,-0.331375865955
ACH-001333,-0.16666044660499998
ACH-001336,-0.129631270456
ACH-001340,-0.124830350925
ACH-001346,-0.372153267878
ACH-001353,-0.0978907906914
ACH-001354,-0.222323663339
ACH-001367,-0.530811046253
ACH-001368,-0.20755146327500001
ACH-001374,4.25827631607e-05
ACH-001375,-0.242842889702
ACH-001377,0.10055512567
ACH-001380,0.0429700690391
ACH-001391,-0.19037293922
ACH-001407,-0.320117761078
ACH-001408,-0.309182209029
ACH-001413,-0.225550308706
ACH-001430,0.0678838145499
ACH-001431,-0.175282597309
ACH-001450,-0.210043374972
ACH-001496,-0.116244594346
ACH-001500,0.061204216306300005
ACH-001521,-0.017553641052400003
ACH-001523,-0.0556983555913
ACH-001532,-0.195492564489
ACH-001536,-0.210037516367
ACH-001550,-0.224241202487
ACH-001552,-0.125818432918
ACH-001554,-0.190888256353
ACH-001645,-0.140728551557
ACH-001654,-0.16682908752
ACH-001715,-0.360805540977
ACH-001735,-0.132538490842
ACH-001736,-0.24137952866999998
ACH-001737,-0.7786598045919999
ACH-001740,0.035836683176699996
ACH-001745,-0.061388447968699994
ACH-001750,-0.08748841590289999
ACH-001765,-0.20896194638
ACH-001956,-0.12452883791899999
ACH-001957,-0.144143512949
