,KLRF2 (100431172)
ACH-000694,0.231643001914
ACH-000695,0.171644805037
ACH-000696,0.05603712682999999
ACH-000697,0.110555710689
ACH-000699,-0.0949037566942
ACH-000701,0.0709409883125
ACH-000706,0.160368180748
ACH-000711,0.0888017679359
ACH-000713,0.125700731574
ACH-000714,0.0100617142
ACH-000718,-0.08030079850119999
ACH-000720,0.14276920821
ACH-000721,0.143653398669
ACH-000724,0.183057329482
ACH-000725,0.22540338753699998
ACH-000732,0.43004588016199996
ACH-000734,-0.0380042964614
ACH-000735,-0.0699482807323
ACH-000736,0.307601938526
ACH-000738,0.19583230291700002
ACH-000746,-0.019013258609
ACH-000747,0.0764326665052
ACH-000748,0.0754640912443
ACH-000753,0.10051689981300001
ACH-000756,0.36275467395000005
ACH-000757,-0.24412253292599997
ACH-000758,0.0867505405692
ACH-000760,0.13122437131
ACH-000763,-0.012177339380700002
ACH-000764,0.0603683231026
ACH-000765,0.0876833907781
ACH-000766,0.0162747474938
ACH-000767,0.0352188775167
ACH-000768,-0.00111596208162
ACH-000769,-0.13333450931399998
ACH-000770,-0.012194656099700002
ACH-000771,0.19392352417800002
ACH-000773,0.158859563778
ACH-000776,0.278585298996
ACH-000777,0.09773157251319999
ACH-000778,0.0843667096715
ACH-000781,-0.0216544560431
ACH-000782,0.23096540200500001
ACH-000783,0.196273132823
ACH-000784,0.06486393056369999
ACH-000785,-0.0316942386509
ACH-000787,0.00559385985295
ACH-000788,0.110692495834
ACH-000791,-0.0017357536491600003
ACH-000792,0.275720180022
ACH-000794,0.134468833027
ACH-000796,0.210242287873
ACH-000799,0.027405593012099997
ACH-000800,0.23417118804900003
ACH-000802,-0.008810941096229999
ACH-000804,-0.0548363166852
ACH-000805,0.123770722743
ACH-000809,0.12729472666799999
ACH-000810,-0.0870056918581
ACH-000811,0.0698238563316
ACH-000817,0.131884232363
ACH-000819,0.154350391173
ACH-000820,0.6022783788270001
ACH-000821,0.288554641398
ACH-000822,0.323717057504
ACH-000823,0.09071377601019999
ACH-000824,0.251147949963
ACH-000827,0.104434347632
ACH-000829,0.15268632402
ACH-000831,-0.0172959262421
ACH-000832,0.274753304709
ACH-000833,0.30047635037500003
ACH-000834,0.168949766582
ACH-000835,0.160079343987
ACH-000836,0.161380383802
ACH-000837,-0.0531478755585
ACH-000838,0.0534456506551
ACH-000839,0.37532370803599996
ACH-000840,-0.17153080895
ACH-000841,-0.12118781564200001
ACH-000843,0.0696331484004
ACH-000846,0.230609064189
ACH-000847,0.229721806001
ACH-000848,0.163398418971
ACH-000849,0.24293073994699999
ACH-000851,-0.119091159429
ACH-000855,0.189095147194
ACH-000856,0.19811341728700002
ACH-000858,0.192406982021
ACH-000859,0.228566174361
ACH-000861,-0.108139630278
ACH-000862,0.138894082757
ACH-000865,0.202042165095
ACH-000866,0.182480826375
ACH-000867,0.111914856741
ACH-000869,-0.017321450791900003
ACH-000872,0.15944684280500002
ACH-000873,-0.007783931295020001
ACH-000876,-0.0669287494785
ACH-000878,0.23382841226599999
ACH-000880,-0.0207123206348
ACH-000881,0.0820709727513
ACH-000882,0.156434502337
ACH-000884,0.0057055207499
ACH-000885,-0.03192670025
ACH-000887,0.20824818116500002
ACH-000888,0.15830143141
ACH-000889,0.0352509718338
ACH-000890,0.17529299449000002
ACH-000896,0.215993059144
ACH-000898,0.10911905851600001
ACH-000900,0.0491978932389
ACH-000901,-0.0768197073218
ACH-000905,0.0362292866797
ACH-000906,0.0223734725852
ACH-000907,0.161740880145
ACH-000910,-0.137355522064
ACH-000911,0.042464363468000005
ACH-000912,0.0410583615394
ACH-000913,0.08227175741710001
ACH-000915,0.052748218471999994
ACH-000916,-0.478822454414
ACH-000917,0.120077960963
ACH-000921,-0.0279688185176
ACH-000924,0.15786322066
ACH-000926,0.027729107358400003
ACH-000928,0.269975150974
ACH-000929,0.240439725528
ACH-000932,-0.0256447604274
ACH-000935,0.326389513498
ACH-000936,0.29996554093899996
ACH-000937,0.288140565008
ACH-000938,0.117903241986
ACH-000939,-0.030478012824699998
ACH-000941,0.0565742550529
ACH-000943,0.13394217698
ACH-000946,-0.0646186787044
ACH-000947,0.0149268581905
ACH-000948,0.0267303673628
ACH-000950,0.164497060481
ACH-000953,0.126453967109
ACH-000957,0.144615145661
ACH-000958,0.160689719539
ACH-000960,0.307602956077
ACH-000963,0.159269781687
ACH-000968,0.33790650266000005
ACH-000969,0.052429347463100004
ACH-000973,0.022689656781900002
ACH-000974,0.0868139179819
ACH-000975,-0.04474336947319999
ACH-000976,0.28708968779
ACH-000978,0.05591261244180001
ACH-000980,0.16969051259
ACH-000984,-0.06899288355989999
ACH-000986,-0.100525260691
ACH-000988,0.10923733749299999
ACH-000993,-0.22280934372400002
ACH-000994,0.0606821877048
ACH-000996,0.35330046149800004
ACH-001001,0.101487601587
ACH-001020,0.136978696839
ACH-001028,0.12086640709100001
ACH-001031,-0.016791640939700002
ACH-001038,0.0439568109952
ACH-001048,0.0743878101185
ACH-001050,0.2333636066
ACH-001053,0.017219244845200002
ACH-001054,0.26746263999000003
ACH-001061,0.19411014346900002
ACH-001067,0.057479372901
ACH-001075,0.0012746069866
ACH-001096,0.251992305056
ACH-001128,0.207135863309
ACH-001134,0.186752788154
ACH-001151,0.0977317815317
ACH-001163,0.145943843855
ACH-001164,0.044110000764800004
ACH-001173,0.0328775925755
ACH-001183,0.33731432231499997
ACH-001184,0.0507288072633
ACH-001190,0.120892154453
ACH-001192,-0.0782715828138
ACH-001193,0.42135863284900005
ACH-001196,-0.11610174427999999
ACH-001197,-0.222172387771
ACH-001205,-0.09470907356460001
ACH-001211,0.0800172171315
ACH-001212,-0.10304810518999999
ACH-001228,0.394291705519
ACH-001232,0.0824273667127
ACH-001239,0.215882788408
ACH-001274,-0.09936707647230002
ACH-001275,-0.116180509801
ACH-001277,-0.194661783913
ACH-001278,-0.000447626739329
ACH-001280,0.265046261399
ACH-001283,0.202317159546
ACH-001289,0.022768359839900002
ACH-001295,0.0959836780591
ACH-001300,0.0938358507274
ACH-001301,0.012065613264899999
ACH-001302,-0.17523187618900002
ACH-001303,0.524678919238
ACH-001306,0.167409697234
ACH-001318,0.01707462936
ACH-001322,0.23695909967099998
ACH-001328,0.09404863911219999
ACH-001332,0.332511496314
ACH-001333,0.194633600309
ACH-001336,0.18045998275
ACH-001340,0.0896204382569
ACH-001346,0.136850682483
ACH-001353,0.105712411113
ACH-001354,-0.07998615894460001
ACH-001367,0.500709515342
ACH-001368,-0.00243113565473
ACH-001374,-0.079708625857
ACH-001375,0.11643706992000001
ACH-001377,0.115971803359
ACH-001380,0.141432263412
ACH-001391,-0.10589050028100001
ACH-001407,0.0669976256171
ACH-001408,0.120720903326
ACH-001413,0.261616013066
ACH-001430,0.593836185207
ACH-001431,0.0347029183189
ACH-001450,0.09610566057880002
ACH-001496,0.285010234182
ACH-001500,0.136302600699
ACH-001521,0.151684285325
ACH-001523,0.09311816835010002
ACH-001532,0.138329809378
ACH-001536,0.362258865533
ACH-001550,0.116952684318
ACH-001552,0.36668623269
ACH-001554,0.017277715429
ACH-001645,-0.0487075585735
ACH-001654,0.101867119957
ACH-001715,0.074283428927
ACH-001735,0.18358048597600002
ACH-001736,0.287819230907
ACH-001737,0.070096686977
ACH-001740,0.313326921662
ACH-001745,-0.009605432599920001
ACH-001750,0.0917176471858
ACH-001765,0.125395272971
ACH-001956,0.0803361674547
ACH-001957,0.196086458448
