,MRPL53 (116540)
ACH-000907,-0.923831336259
ACH-000910,-1.09633395403
ACH-000911,-0.844856527618
ACH-000912,-0.864856485134
ACH-000913,-1.08323101282
ACH-000915,-1.15456492541
ACH-000916,-0.342685912935
ACH-000917,-0.883531256207
ACH-000921,-1.0023175664700001
ACH-000924,-1.19911737594
ACH-000926,-0.826873041651
ACH-000928,-0.9223698889890001
ACH-000929,-0.8885438272799998
ACH-000932,-1.1908518704100002
ACH-000935,-0.9721143753589999
ACH-000936,-1.0032416958700001
ACH-000937,-0.91358279719
ACH-000938,-0.7872034999009999
ACH-000939,-1.1690958766600001
ACH-000941,-0.8755554658679999
ACH-000943,-1.42541118902
ACH-000946,-1.04084361814
ACH-000947,-1.1538421547600002
ACH-000948,-1.0521205299299998
ACH-000950,-0.924384097661
ACH-000953,-0.7011895912489999
ACH-000957,-1.36388051086
ACH-000958,-0.878531825511
ACH-000960,-0.6714231082809999
ACH-000963,-1.5433756298899999
ACH-000968,-1.1213785156899998
ACH-000969,-1.11371198811
ACH-000973,-1.06500050852
ACH-000974,-0.727751656894
ACH-000975,-0.965603466071
ACH-000976,-0.6747244416760001
ACH-000978,-0.909530434418
ACH-000980,-1.03527501685
ACH-000984,-1.1435344090100001
ACH-000986,-0.9695058255329999
ACH-000988,-0.662880118708
ACH-000993,-0.712866355765
ACH-000994,-1.83391816697
ACH-000996,-0.807998325177
ACH-001001,-1.0358985731700001
ACH-001020,-0.86717690449
ACH-001028,-0.979261157236
ACH-001031,-0.818435231252
ACH-001038,-1.21892127526
ACH-001048,-0.738479107558
ACH-001050,-0.6054472855690001
ACH-001053,-0.8457950844040001
ACH-001054,-0.7356574548549999
ACH-001061,-1.16069587557
ACH-001067,-0.8393535738619999
ACH-001075,-0.866438867774
ACH-001096,-0.646609136548
ACH-001128,-0.829481622088
ACH-001134,-0.93592046656
ACH-001151,-0.69763347846
ACH-001163,-1.18403226529
ACH-001164,-1.03856280234
ACH-001173,-0.9826842194650001
ACH-001183,-1.13995226176
ACH-001184,-0.639933324354
ACH-001190,-0.9899119275220001
ACH-001192,-0.762653104667
ACH-001193,-0.6778123029090001
ACH-001196,-0.960563142137
ACH-001197,-0.7974226019399999
ACH-001205,-0.569807638625
ACH-001211,-0.6108606581889999
ACH-001212,-0.630593333563
ACH-001228,-0.97427553964
ACH-001232,-0.840965229726
ACH-001239,-1.0164788938
ACH-001274,-0.8328878920899999
ACH-001275,-0.773478132369
ACH-001277,-1.24545558693
ACH-001278,-1.24330256924
ACH-001280,-0.861073665731
ACH-001283,-0.8739206147290001
ACH-001289,-0.8165497697640001
ACH-001295,-0.49271863998899995
ACH-001300,-0.8392155187289999
ACH-001301,-0.623498482529
ACH-001302,-0.755460433079
ACH-001303,-1.05343483373
ACH-001306,-0.802336195254
ACH-001318,-1.15678327005
ACH-001322,-0.94803722794
ACH-001328,-0.980984507752
ACH-001332,-1.09209706406
ACH-001333,-1.25632006243
ACH-001336,-1.07697825704
ACH-001340,-0.768792118417
ACH-001346,-0.9112189202359999
ACH-001353,-0.568379084571
ACH-001354,-0.49097185389799997
ACH-001367,-1.0774137045
ACH-001368,-1.02351363195
ACH-001374,-0.566687806571
ACH-001375,-0.571503727667
ACH-001377,-1.22492939198
ACH-001380,-0.944451961041
ACH-001391,-0.599132534012
ACH-001407,-0.962004828794
ACH-001408,-1.05591619877
ACH-001413,-0.587553780282
ACH-001430,-0.849335366907
ACH-001431,-0.7296945979009999
ACH-001450,-1.05000807615
ACH-001496,-0.916705079017
ACH-001500,-1.14222559832
ACH-001521,-0.81093425897
ACH-001523,-1.14221017503
ACH-001532,-0.959312995924
ACH-001536,-0.8257246281139999
ACH-001550,-1.15588492465
ACH-001552,-0.85876124742
ACH-001554,-0.875677676723
ACH-001645,-0.8712457437369999
ACH-001654,-0.7601587514920001
ACH-001715,-0.465743677449
ACH-001735,-0.6480035433300001
ACH-001736,-0.962214679911
ACH-001737,-0.5953680035610001
ACH-001740,-0.617339465218
ACH-001745,-0.449736484045
ACH-001750,-0.7823919897920001
ACH-001765,-0.813040872961
ACH-001956,-0.5115706907500001
ACH-001957,-0.62132615885
