,DSCR3 (10311)
ACH-000657,-0.004734390469
ACH-000658,-0.0688622512271
ACH-000661,-0.07829055318530001
ACH-000662,-0.216045604364
ACH-000663,-0.154021712265
ACH-000665,-0.00128263216836
ACH-000671,0.08890160417410001
ACH-000673,-0.071306531644
ACH-000676,0.019956400664900002
ACH-000677,0.21323531030200002
ACH-000681,-0.17356730286
ACH-000682,-0.08686245918610001
ACH-000683,0.0334620787265
ACH-000684,0.154645401537
ACH-000688,-0.19942179049000003
ACH-000693,-0.0665648313919
ACH-000694,-0.0359986729037
ACH-000695,-0.118507830698
ACH-000696,-0.0222273275178
ACH-000697,-0.0380511683993
ACH-000699,0.03571264516
ACH-000701,-0.205483551757
ACH-000706,-0.15331185122899998
ACH-000711,-0.118748429273
ACH-000713,-0.35190226060199997
ACH-000714,-0.0496927677816
ACH-000718,-0.201193594855
ACH-000720,-0.203446699954
ACH-000721,0.0569887492203
ACH-000724,0.0921354898395
ACH-000725,-0.0456673436434
ACH-000732,0.0510668685869
ACH-000734,-0.053016413645
ACH-000735,-0.33005894319699997
ACH-000736,-0.087421566027
ACH-000738,-0.037646746397000004
ACH-000746,0.0656261376945
ACH-000747,0.0468447159568
ACH-000748,-0.046803117513199995
ACH-000753,-0.03809449861230001
ACH-000756,-0.027144700287
ACH-000757,-0.139035627094
ACH-000758,0.169704093527
ACH-000760,-0.019664030973599998
ACH-000763,0.020986105386200004
ACH-000764,-0.09322420400689999
ACH-000765,-0.0841588043339
ACH-000766,0.00825278548995
ACH-000767,0.234836372047
ACH-000768,0.264144632238
ACH-000769,-0.0378893565155
ACH-000770,-0.12699886740900002
ACH-000771,-0.231791210438
ACH-000773,-0.00832149686857
ACH-000776,0.133837947273
ACH-000777,-0.212310163286
ACH-000778,-0.0487459571787
ACH-000781,-0.018979578234700003
ACH-000782,-0.07294461884839999
ACH-000783,-0.139635608181
ACH-000784,0.0010142978326499999
ACH-000785,-0.284502889937
ACH-000787,-0.159141224791
ACH-000788,-0.126668092278
ACH-000791,-0.0199412535875
ACH-000792,-0.0245260069088
ACH-000794,0.12966674521
ACH-000796,-0.191479107962
ACH-000799,0.0016014115591300002
ACH-000800,-0.115361405702
ACH-000802,-0.31906622820999997
ACH-000804,-0.222201852753
ACH-000805,0.282587520051
ACH-000809,-0.213447168276
ACH-000810,0.07425966490989999
ACH-000811,-0.0772161178747
ACH-000817,0.0353952430736
ACH-000819,-0.0360011251266
ACH-000820,-0.165535452906
ACH-000821,-0.22078268482900001
ACH-000822,0.0346842574446
ACH-000823,-0.025100971592200004
ACH-000824,-0.0246723667293
ACH-000827,-0.04721981953940001
ACH-000829,-0.12403073998299999
ACH-000831,0.167047810819
ACH-000832,-0.0143971529665
ACH-000833,-0.162561114566
ACH-000834,-0.397950673214
ACH-000835,-0.14503284369799999
ACH-000836,-0.49159239983900005
ACH-000837,0.0156629236306
ACH-000838,-0.212268006795
ACH-000839,-0.07653138268660001
ACH-000840,-0.357275856198
ACH-000841,-0.17139288427000002
ACH-000843,-0.0584390326839
ACH-000846,-0.08718955136989999
ACH-000847,0.129666248235
ACH-000848,0.09977194123639999
ACH-000849,0.029951132783400003
ACH-000851,-0.0368098609
ACH-000855,-0.076804359772
ACH-000856,-0.161751224181
