,EIF3CL (728689)
ACH-000484,-1.5666802562200002
ACH-000485,-1.47769849816
ACH-000486,-1.27138969436
ACH-000487,-1.4968935288
ACH-000488,-1.34827791625
ACH-000490,-1.4012142963999998
ACH-000491,-1.3235849824200001
ACH-000495,-1.3856332226199999
ACH-000496,-1.4637023730399998
ACH-000499,-1.25500790344
ACH-000500,-1.5379697140200002
ACH-000502,-1.32909901321
ACH-000503,-1.50059901021
ACH-000505,-1.53356921085
ACH-000507,-1.27420864294
ACH-000510,-1.53661626773
ACH-000511,-1.54175985847
ACH-000512,-1.5045014005200001
ACH-000516,-1.5011531758399999
ACH-000517,-1.50675170129
ACH-000518,-1.0634210394499999
ACH-000520,-1.46022918796
ACH-000521,-1.34401430361
ACH-000522,-1.53020351442
ACH-000524,-1.46149044683
ACH-000527,-1.46092239197
ACH-000528,-1.29140075472
ACH-000537,-1.3088994385100001
ACH-000541,-1.46535967725
ACH-000542,-1.44225146102
ACH-000544,-1.29374709755
ACH-000545,-1.23088302032
ACH-000547,-1.2161786606
ACH-000548,-1.29031253331
ACH-000549,-1.41069594741
ACH-000550,-1.39624866949
ACH-000552,-1.3626149580899998
ACH-000556,-1.51538056399
ACH-000557,-1.4742971123500002
ACH-000570,-1.43515272335
ACH-000571,-1.7255423679
ACH-000573,-1.3531556630000001
ACH-000576,-1.3941201752599999
ACH-000580,-1.7534270102200002
ACH-000584,-1.4718903416999998
ACH-000585,-1.29553310276
ACH-000588,-1.37223104198
ACH-000589,-1.3102716767799998
ACH-000591,-1.68573338565
ACH-000593,-1.32826912373
ACH-000600,-1.4813823482799997
ACH-000601,-1.47450012322
ACH-000604,-1.37065398592
ACH-000605,-1.2022156491
ACH-000606,-1.28971142697
ACH-000608,-1.7357829382299998
ACH-000614,-1.55466966775
ACH-000616,-1.33670923944
ACH-000618,-1.18959240819
ACH-000619,-1.3557787402200001
ACH-000620,-1.47562728089
ACH-000621,-1.99503597842
ACH-000622,-1.4600008262200002
ACH-000623,-1.57761408193
ACH-000624,-1.55434145435
ACH-000627,-1.64238266634
ACH-000630,-1.17460994059
ACH-000632,-1.35733948624
ACH-000633,-1.60011063931
ACH-000637,-1.05498745027
ACH-000638,-1.23103275457
ACH-000646,-1.64845928685
ACH-000647,-1.47860396031
ACH-000648,-1.28683800854
ACH-000649,-1.31465962356
ACH-000651,-1.2737807719499998
ACH-000652,-0.951379078023
ACH-000653,-1.50999409292
ACH-000657,-1.4964242691799998
ACH-000658,-1.4376922129499998
ACH-000661,-1.40492599283
ACH-000662,-1.7086087545100002
ACH-000663,-1.4580995992899999
ACH-000665,-1.5245890227599999
ACH-000671,-1.5300826393200002
ACH-000673,-1.41527810731
ACH-000676,-1.54965986185
ACH-000677,-1.37547533991
ACH-000681,-1.48756888183
ACH-000682,-1.3439898559299999
ACH-000683,-1.4440188814100001
ACH-000684,-1.6231421601
ACH-000688,-1.6062045972499999
ACH-000693,-1.21541100963
ACH-000694,-1.2373304840700001
ACH-000695,-1.57435867981
ACH-000696,-1.4848082951800001
ACH-000697,-1.5489252701700003
ACH-000699,-1.46499496674
ACH-000701,-1.54274924741
ACH-000706,-1.20710573665
ACH-000711,-1.5515410993099998
ACH-000713,-1.4516285572299998
ACH-000714,-1.2534828008299999
ACH-000718,-1.5101048798899999
ACH-000720,-1.35491052722
ACH-000721,-1.4712322387799999
ACH-000724,-1.6768726502899998
ACH-000725,-1.2993317194399998
ACH-000732,-1.23815701579
ACH-000734,-1.4531527946899998
ACH-000735,-1.29514228308
ACH-000736,-1.3869747335
ACH-000738,-1.41459913816
ACH-000746,-1.03714262587
ACH-000747,-1.3073971872399999
ACH-000748,-1.3818139476
ACH-000753,-1.22643152265
ACH-000756,-1.6744008382799997
ACH-000757,-1.4130100188699999
ACH-000758,-1.32563363656
ACH-000760,-1.3737309163799998
ACH-000763,-1.42908590066
ACH-000764,-1.6701879368700001
ACH-000765,-1.41843697462
ACH-000766,-1.52218756144
ACH-000767,-1.3604655911899999
ACH-000768,-1.29355723911
ACH-000769,-1.20401317234
ACH-000770,-1.39379814683
ACH-000771,-1.34206483685
ACH-000773,-1.47950186238
ACH-000776,-1.25927994889
ACH-000777,-1.23434237923
ACH-000778,-1.1835190424700002
ACH-000781,-1.22169076709
ACH-000782,-1.64576628442
ACH-000783,-1.6549189709399998
ACH-000784,-1.6202553839700002
ACH-000785,-1.5693749196899998
ACH-000787,-1.24844655907
ACH-000788,-1.40724783384
ACH-000791,-1.4737640829499998
ACH-000792,-1.3608413323500002
ACH-000794,-1.36157757636
ACH-000796,-1.36437347951
ACH-000799,-1.68421497241
ACH-000800,-1.31435593088
ACH-000802,-1.24300581169
ACH-000804,-1.4255407245299998
ACH-000805,-1.5806787107299998
ACH-000809,-1.4787346262399998
ACH-000810,-1.4939347632
ACH-000811,-1.3370731251
ACH-000817,-1.1742407226
ACH-000819,-1.1780456593700002
ACH-000820,-1.0324159467799998
ACH-000821,-1.2329618631100001
ACH-000822,-1.9544802717299998
ACH-000823,-1.3884965030899998
ACH-000824,-1.43752704259
ACH-000827,-1.34196416974
ACH-000829,-1.23598947347
ACH-000831,-1.3528664011000002
ACH-000832,-1.39268493691
ACH-000833,-1.38458252691
ACH-000834,-1.38479535882
ACH-000835,-1.28608681627
ACH-000836,-1.39542917883
ACH-000837,-1.14950726761
ACH-000838,-1.5738366222
ACH-000839,-1.60255660964
ACH-000840,-1.0762499488
ACH-000841,-1.2623097727200001
ACH-000843,-1.25217664305
ACH-000846,-1.32182624226
ACH-000847,-1.24618411342
ACH-000848,-1.3803465106400001
ACH-000849,-1.56397585285
ACH-000851,-1.3079310152899999
ACH-000855,-1.39403852638
ACH-000856,-1.4490046329
ACH-000858,-1.53848658693
ACH-000859,-1.5108333618399998
ACH-000861,-1.4476631957799997
ACH-000862,-1.20322132479
ACH-000865,-1.47699513705
ACH-000866,-1.4380698377
ACH-000867,-1.31967151071
ACH-000869,-1.18809344867
ACH-000872,-1.27615559317
ACH-000873,-1.37685526721
ACH-000876,-1.64482058197
ACH-000878,-1.23294336611
ACH-000880,-1.41010479613
ACH-000881,-1.41378794773
ACH-000882,-1.3870928788299999
ACH-000884,-1.34499779773
ACH-000885,-1.5537870977700001
ACH-000887,-1.4568889908200002
ACH-000888,-1.4359248824700002
ACH-000889,-1.4390641274899998
ACH-000890,-1.4801879369600002
ACH-000896,-1.3348243465
ACH-000898,-1.29386548001
ACH-000900,-1.63200264504
ACH-000901,-1.69289872416
ACH-000905,-1.40470479915
ACH-000906,-1.35188568329
ACH-000907,-1.67609271596
ACH-000910,-1.5013283424500001
ACH-000911,-1.29805311794
ACH-000912,-1.28247029581
ACH-000913,-1.3113030720999999
ACH-000915,-1.5280174155700001
ACH-000916,-1.96984915342
ACH-000917,-1.24913823045
ACH-000921,-1.22929323929
ACH-000924,-1.59177243777
ACH-000926,-1.8033578214
ACH-000928,-1.77737428913
ACH-000929,-1.3260257010299998
ACH-000932,-1.74193663887
ACH-000935,-1.37776723076
ACH-000936,-1.3504320745200002
ACH-000937,-1.44455315855
ACH-000938,-1.29756801979
ACH-000939,-1.3964957063299999
ACH-000941,-1.36753989622
ACH-000943,-1.39186146572
ACH-000946,-1.16480488068
ACH-000947,-1.4489774753600002
ACH-000948,-1.1688695183700002
ACH-000950,-1.48453362975
ACH-000953,-1.48015512753
ACH-000957,-1.26453987933
ACH-000958,-1.58293151242
ACH-000960,-1.4350605224200002
ACH-000963,-1.4184982382299998
ACH-000968,-1.23583021138
ACH-000969,-1.4131282662399998
ACH-000973,-1.5504440950999998
ACH-000974,-1.50484843396
ACH-000975,-1.7252083463999999
ACH-000976,-1.3955027921399998
ACH-000978,-1.01149267684
ACH-000980,-1.25623915451
ACH-000984,-1.7034310406
ACH-000986,-1.29827934674
ACH-000988,-1.18060263267
ACH-000993,-1.35151733908
ACH-000994,-1.7453394576599996
ACH-000996,-1.5156927014300001
ACH-001001,-1.3327617204200002
ACH-001020,-1.3779818253100002
ACH-001028,-1.40263179088
ACH-001031,-1.4288723940399999
ACH-001038,-1.69277225139
ACH-001048,-1.46484306919
ACH-001050,-1.61267345987
ACH-001053,-1.25863248077
ACH-001054,-1.45134152171
ACH-001061,-1.44836875062
ACH-001067,-1.61032636452
ACH-001075,-1.20410012965
ACH-001096,-1.17377377281
ACH-001128,-1.8687384548700001
ACH-001134,-1.3666342491299999
ACH-001151,-1.25778706139
ACH-001163,-1.35112901239
ACH-001164,-1.24313737639
ACH-001173,-1.29742336285
ACH-001183,-1.28408192445
ACH-001184,-1.35158791632
ACH-001190,-1.42113944607
ACH-001192,-1.43330243318
ACH-001193,-1.51174233304
ACH-001196,-1.37350603037
ACH-001197,-1.49596823174
ACH-001205,-1.39687483494
ACH-001211,-1.3727429788999999
ACH-001212,-1.5153462178400001
ACH-001228,-1.4478074829799998
ACH-001232,-1.53209593368
ACH-001239,-1.6605014292299998
ACH-001274,-1.2575523745700001
ACH-001275,-1.39382197446
ACH-001277,-1.6710691315000001
ACH-001278,-1.64794688884
ACH-001280,-1.6598122771200001
ACH-001283,-1.1120762037
ACH-001289,-1.02074831392
ACH-001295,-1.2492590744299998
ACH-001300,-1.26263606387
ACH-001301,-1.39066355414
ACH-001302,-1.48431575713
ACH-001303,-1.3900477823
ACH-001306,-1.53268089419
ACH-001318,-1.28125640796
ACH-001322,-1.4129389133899999
ACH-001328,-1.34079097589
ACH-001332,-1.4672185138999998
ACH-001333,-1.4737331840299999
ACH-001336,-1.57234109033
ACH-001340,-1.36510460631
ACH-001346,-1.18701953869
ACH-001353,-1.36809974731
ACH-001354,-1.34413678427
ACH-001367,-1.4305677618500001
ACH-001368,-1.32942503598
ACH-001374,-1.5803106136000002
ACH-001375,-1.3067147975
ACH-001377,-1.48437004856
ACH-001380,-1.53932314398
ACH-001391,-1.3773619468
ACH-001407,-1.36323647123
ACH-001408,-1.1190965179299999
ACH-001413,-1.33719512364
ACH-001430,-1.6104816707
ACH-001431,-1.44840670223
ACH-001450,-1.24078715559
ACH-001496,-1.30578481129
ACH-001500,-1.58494732166
ACH-001521,-1.2641103376799998
ACH-001523,-1.18220867177
ACH-001532,-1.3546538035
ACH-001536,-1.42429373095
ACH-001550,-1.1916552570399999
ACH-001552,-1.3624922897299998
ACH-001554,-1.2450928693899999
ACH-001645,-1.6863045489700002
ACH-001654,-1.40060770044
ACH-001715,-1.59356908758
ACH-001735,-1.30741403876
ACH-001736,-1.58111664929
ACH-001737,-1.12677636825
ACH-001740,-1.3317448111399999
ACH-001745,-1.3549462308000002
ACH-001750,-1.65240424518
ACH-001765,-1.4261115628799999
ACH-001956,-1.4056449730200002
ACH-001957,-1.6529520697
