,PCDHGA8 (9708)
ACH-001061,0.0197784378279
ACH-001067,-0.0954885061343
ACH-001075,0.254748609192
ACH-001096,0.0379613049499
ACH-001128,0.0542645236168
ACH-001134,-0.117297404037
ACH-001151,0.0766932523719
ACH-001163,0.00264952675406
ACH-001164,-0.103866764811
ACH-001173,-0.171844836877
ACH-001183,-0.192594595592
ACH-001184,0.046655771430800005
ACH-001190,0.161802622497
ACH-001192,-0.13320096119000002
ACH-001193,-0.112380447744
ACH-001196,-0.106665244876
ACH-001197,0.040485328594
ACH-001205,0.0264750644763
ACH-001211,-0.29742939904599996
ACH-001212,-0.227160562628
ACH-001228,-0.033278249416
ACH-001232,0.062193942354800004
ACH-001239,0.008658583585690001
ACH-001274,0.0360376126642
ACH-001275,0.144366643263
ACH-001277,-0.09704825113500001
ACH-001278,0.18701327296
ACH-001280,-0.0298224169631
ACH-001283,-0.00284814919735
ACH-001289,-0.0192150680962
ACH-001295,-0.022818240505900002
ACH-001300,-0.0380438877017
ACH-001301,-0.306533944264
ACH-001302,-0.21832439852699997
ACH-001303,-0.167486094412
ACH-001306,-0.079837445052
ACH-001318,-0.036392258897
ACH-001322,0.18186978202799997
ACH-001328,-0.014509549349200002
ACH-001332,-0.179962799342
ACH-001333,-0.187283592736
ACH-001336,-0.0477184171788
ACH-001340,-0.104890318307
ACH-001346,-0.106412670505
ACH-001353,-0.118803055341
ACH-001354,-0.00211143411542
ACH-001367,-0.13073807367100002
ACH-001368,-0.0034263951834099995
ACH-001374,0.219543951439
ACH-001375,-0.135819720415
ACH-001377,0.064963117113
ACH-001380,-0.30374800745
ACH-001391,-0.15427746941099998
ACH-001407,0.0193679205657
ACH-001408,0.0877532947908
ACH-001413,0.06435146351269999
ACH-001430,-0.330956807935
ACH-001431,-0.119877905403
ACH-001450,-0.163500364225
ACH-001496,-0.0860862482522
ACH-001500,-0.134439781398
ACH-001521,0.0560213003964
ACH-001523,0.005244342762009999
ACH-001532,-0.12486005677300001
ACH-001536,-0.081387696646
ACH-001550,-0.127399486826
ACH-001552,-0.07025080552400001
ACH-001554,-0.028051842525499998
ACH-001645,-0.31068310212699995
ACH-001654,-0.177006534736
ACH-001715,-0.025894094431
ACH-001735,-0.013473760930800001
ACH-001736,-0.20330096613200002
ACH-001737,0.0825320873559
ACH-001740,-0.220613333325
ACH-001745,-0.16581484405
ACH-001750,-0.121971910774
ACH-001765,0.011493315816600002
ACH-001956,-0.033946581353
ACH-001957,-0.175401950546
