,MEX3C (51320)
ACH-001232,-0.0812833145362
ACH-001239,-0.0977820656151
ACH-001274,-0.00603210466679
ACH-001275,0.0216509938684
ACH-001277,0.0677055316712
ACH-001278,0.0124309249295
ACH-001280,-0.160435596155
ACH-001283,0.0522426495972
ACH-001289,-0.026165205608599997
ACH-001295,-0.420966700635
ACH-001300,-0.163763988555
ACH-001301,-0.0528499633185
ACH-001302,-0.242309133768
ACH-001303,0.07316949759239999
ACH-001306,-0.00394964032781
ACH-001318,-0.178933587017
ACH-001322,-0.283541607356
ACH-001328,-0.00648547878088
ACH-001332,-0.251255783445
ACH-001333,-0.13543719314400002
ACH-001336,-0.0727609370627
ACH-001340,-0.319940688527
ACH-001346,-0.24047721798
ACH-001353,-0.26256632744
ACH-001354,-0.345530226015
ACH-001367,-0.14093289113500002
ACH-001368,-0.07882847340929999
ACH-001374,-0.224291125077
ACH-001375,-0.0953517969114
ACH-001377,-0.0910561226602
ACH-001380,0.0637045669222
ACH-001391,0.0720529707719
ACH-001407,-0.312585594644
ACH-001408,-0.0501348456219
ACH-001413,-0.317793355651
ACH-001430,0.15787225052999998
ACH-001431,-0.008537419159
ACH-001450,0.08184578294639999
ACH-001496,-0.144712137987
ACH-001500,0.159976416929
ACH-001521,-0.34663207258400003
ACH-001523,-0.253762657035
ACH-001532,-0.159236918478
ACH-001536,-0.028388897058700003
ACH-001550,0.0718481404061
ACH-001552,-0.44904018909500004
ACH-001554,-0.08441369666539998
ACH-001645,-0.0315654133956
ACH-001654,-0.231900385333
ACH-001715,-0.30725759108399997
ACH-001735,-0.06671242287569999
ACH-001736,-0.252682694472
ACH-001737,-0.497389567808
ACH-001740,-0.12468548200400001
ACH-001745,0.0328711106016
ACH-001750,-0.487807372612
ACH-001765,-0.125523687436
ACH-001956,-0.20153278834000002
ACH-001957,-0.0484687727319
