,MYH14 (79784)
ACH-000978,-0.17296801589400002
ACH-000980,-0.15753722590500002
ACH-000984,-0.0208267282523
ACH-000986,0.0170453766277
ACH-000988,-0.11650646809000001
ACH-000993,-0.125248652632
ACH-000994,-0.0581357324307
ACH-000996,-0.233812732506
ACH-001001,-0.161744846416
ACH-001020,0.008818508384510001
ACH-001028,-0.170638802126
ACH-001031,-0.147435937688
ACH-001038,-0.129110004614
ACH-001048,-0.332820876877
ACH-001050,-0.14358771677
ACH-001053,-0.125534074577
ACH-001054,-0.09379824618310001
ACH-001061,-0.130196098869
ACH-001067,-0.17127066287300002
ACH-001075,-0.158739144226
ACH-001096,-0.351752841742
ACH-001128,-0.269085695462
ACH-001134,-0.144051732634
ACH-001151,-0.189871490852
ACH-001163,-0.156041768149
ACH-001164,-0.175088280646
ACH-001173,-0.28670645184
ACH-001183,-0.126819444754
ACH-001184,-0.154616080606
ACH-001190,-0.23743853971700002
ACH-001192,0.0560164180259
ACH-001193,-0.13925706718800002
ACH-001196,0.021423060592799997
ACH-001197,-0.223567286409
ACH-001205,-0.18671337610199998
ACH-001211,0.011588340329100002
ACH-001212,-0.47649966528399995
ACH-001228,-0.24486065768800003
ACH-001232,-0.257626523494
ACH-001239,0.0869897653876
ACH-001274,-0.200385621401
ACH-001275,-0.201507588834
ACH-001277,-0.22827904258099999
ACH-001278,-0.158413427997
ACH-001280,-0.155828042731
ACH-001283,-0.237019347703
ACH-001289,-0.347715977925
ACH-001295,-0.29326474641399997
ACH-001300,-0.22983621014299999
ACH-001301,-0.382818806368
ACH-001302,-0.35170540027900005
ACH-001303,-0.339868390753
ACH-001306,-0.16293096148
ACH-001318,-0.0717604297057
ACH-001322,-0.1149327764
ACH-001328,-0.277239606721
ACH-001332,-0.31683469866700004
ACH-001333,-0.265019422768
ACH-001336,-0.0607339077081
ACH-001340,-0.161023939017
ACH-001346,-0.0723307592251
ACH-001353,-0.0461899518578
ACH-001354,-0.0217705238612
ACH-001367,-0.0444946709588
ACH-001368,-0.13957720875600002
ACH-001374,-0.04380718570830001
ACH-001375,-0.0488212669386
ACH-001377,-0.179888725383
ACH-001380,-0.0682818471891
ACH-001391,-0.08820232304719999
ACH-001407,-0.169069947643
ACH-001408,-0.224409332696
ACH-001413,-0.143307374235
ACH-001430,0.000495292307624
ACH-001431,-0.168537797755
ACH-001450,-0.09003945927369998
ACH-001496,-1.5826988668000002
ACH-001500,-0.376014588165
ACH-001521,-0.027063577870099997
ACH-001523,-0.216544242648
ACH-001532,-0.135435523001
ACH-001536,-0.292466617795
ACH-001550,-0.106610637523
ACH-001552,-0.45367495172600003
ACH-001554,0.000852905329219
ACH-001645,-0.305940091342
ACH-001654,-0.20724233082899998
ACH-001715,0.0550492209012
ACH-001735,-0.16550214148700002
ACH-001736,-0.183222265949
ACH-001737,-0.102691558624
ACH-001740,-0.106450388879
ACH-001745,-0.24042461757800002
ACH-001750,-0.10987544421800001
ACH-001765,-0.09814854823719998
ACH-001956,-0.194126043833
ACH-001957,-0.136266472385
