,MIP (4284)
ACH-000627,0.0308308790288
ACH-000630,-0.0191537019255
ACH-000632,-0.23037492044
ACH-000633,-0.0103977339227
ACH-000637,-0.0952516481768
ACH-000638,-0.26290553178599996
ACH-000646,-0.08930018779589999
ACH-000647,-0.17076423233100002
ACH-000648,0.009193945239479999
ACH-000649,-0.173767397995
ACH-000651,-0.25854014097
ACH-000652,-0.248333182753
ACH-000653,-0.13753368615
ACH-000657,-0.0476400809505
ACH-000658,-0.173264071998
ACH-000661,-0.131278725583
ACH-000662,-0.199996798496
ACH-000663,0.0025817028254699996
ACH-000665,-0.155604328233
ACH-000671,-0.09109421234819999
ACH-000673,-0.119222301199
ACH-000676,-0.266920685108
ACH-000677,-0.305599897841
ACH-000681,-0.010831981380499999
ACH-000682,-0.175072379883
ACH-000683,-0.0899864695112
ACH-000684,0.015766095874399998
ACH-000688,-0.062272192991199994
ACH-000693,-0.180361568098
ACH-000694,-0.14902542120999998
ACH-000695,-0.520911699807
ACH-000696,-0.10452216922900001
ACH-000697,-0.09115561301160001
ACH-000699,0.0667598389068
ACH-000701,0.11224859347100001
ACH-000706,-0.103219535935
ACH-000711,-0.111884220808
ACH-000713,-0.288021502351
ACH-000714,-0.460867011074
ACH-000718,-0.104285842326
ACH-000720,-0.045047697306699996
ACH-000721,-0.0145085452731
ACH-000724,0.137991266065
ACH-000725,0.0306206234316
ACH-000732,-0.147098618887
ACH-000734,-0.07345884569069999
ACH-000735,-0.131185056086
ACH-000736,-0.18312220977200003
ACH-000738,-0.324950004662
ACH-000746,-0.246919717562
ACH-000747,-0.118301823356
ACH-000748,-0.212382004926
ACH-000753,-0.251014507366
ACH-000756,-0.238789827258
ACH-000757,-0.27234517166
ACH-000758,-0.047838104406399996
ACH-000760,-0.16689539884000001
ACH-000763,-0.008307046865789999
ACH-000764,-0.208642478334
ACH-000765,-0.37789749031099995
ACH-000766,-0.00878405670751
ACH-000767,-0.114418020109
ACH-000768,-0.252640711626
