,NDUFAF4 (29078)
ACH-000781,-0.05984694188680001
ACH-000782,-0.521916238134
ACH-000783,-0.221057346672
ACH-000784,-0.304394644045
ACH-000785,-0.256114368835
ACH-000787,-0.3223801968
ACH-000788,-0.166762650041
ACH-000791,-0.265048798552
ACH-000792,-0.181813435229
ACH-000794,-0.11689283556399999
ACH-000796,-0.580442549844
ACH-000799,-0.279836941981
ACH-000800,-0.950779494425
ACH-000802,-0.275287980411
ACH-000804,-0.487237921532
ACH-000805,-0.437110952095
ACH-000809,-0.18375153291700003
ACH-000810,-0.0750760980051
ACH-000811,-0.204649207513
ACH-000817,-0.238293728805
ACH-000819,-0.15069390615800002
ACH-000820,-0.5719764459100001
ACH-000821,-0.295103775374
ACH-000822,-0.501340343546
ACH-000823,-0.386727306933
ACH-000824,-0.09850692932980001
ACH-000827,-0.0673453862185
ACH-000829,0.234398258744
ACH-000831,-0.6137914750869999
ACH-000832,-0.019743586925700003
ACH-000833,-0.582943954807
ACH-000834,-0.56585510094
ACH-000835,-0.19020219881900002
ACH-000836,-0.129334574453
ACH-000837,-0.330686982509
ACH-000838,-0.125419646112
ACH-000839,0.0118962229608
ACH-000840,-0.334086161899
ACH-000841,0.164035456094
ACH-000843,-0.64177213986
ACH-000846,-0.395942443156
ACH-000847,-0.45486500655
ACH-000848,-0.459615210326
ACH-000849,-0.240393832982
ACH-000851,-0.571224208834
ACH-000855,-0.5922607607670001
ACH-000856,-0.38873858015199997
ACH-000858,-0.7835670953749999
ACH-000859,-0.47183790773699996
ACH-000861,-0.312641764453
ACH-000862,-0.455340014133
ACH-000865,-0.328241435585
ACH-000866,-0.39565896965999997
ACH-000867,-0.24049671630600003
ACH-000869,-0.151553217719
ACH-000872,-0.109860565017
ACH-000873,-0.45568252558600003
ACH-000876,-0.7417025958
ACH-000878,0.22937717255600001
ACH-000880,-0.292264770241
ACH-000881,-0.235668367867
ACH-000882,-0.343591743078
ACH-000884,-0.382715696879
ACH-000885,-0.7117776145870001
ACH-000887,-0.345618869586
ACH-000888,-0.497214543467
ACH-000889,-0.8632751524600001
ACH-000890,-0.11491011622500001
ACH-000896,-0.09283886963539999
ACH-000898,-0.663945450677
ACH-000900,-0.432931791888
ACH-000901,-0.13482665696499999
ACH-000905,-0.308831771854
ACH-000906,-0.34004111635
ACH-000907,-0.354483266567
ACH-000910,-1.06566404386
ACH-000911,-0.414579678801
ACH-000912,-0.00220942383307
ACH-000913,-0.37381649192500005
ACH-000915,-0.39528461759800004
ACH-000916,0.07443896039039999
ACH-000917,-0.370608624572
ACH-000921,-0.166933181865
ACH-000924,-0.6491640956520001
ACH-000926,-0.155823437969
ACH-000928,-0.53838382823
ACH-000929,-0.278381011699
ACH-000932,-0.30728123885
ACH-000935,-0.7960925865080001
ACH-000936,-0.196047050654
ACH-000937,-0.108150947831
ACH-000938,-0.43205248389
ACH-000939,-0.463267148174
ACH-000941,-0.33095809904
ACH-000943,-0.5612730868119999
ACH-000946,-0.287065116253
ACH-000947,-0.922040684646
ACH-000948,-0.5769294474960001
ACH-000950,-0.050570932817900004
ACH-000953,-0.119584615952
ACH-000957,-0.633418105546
ACH-000958,-0.194214295924
ACH-000960,-0.100640957159
ACH-000963,-0.160246936183
ACH-000968,-0.8313210596770001
ACH-000969,-0.6167880302359999
ACH-000973,-0.162941908927
ACH-000974,-0.308705324628
ACH-000975,-0.617144112386
ACH-000976,-0.0543141173335
ACH-000978,-0.891954483152
ACH-000980,-0.46398784867
ACH-000984,-0.17737519263700002
ACH-000986,-0.26488161733300003
ACH-000988,-0.280390180919
ACH-000993,-0.123168884543
ACH-000994,-0.8882623864910001
ACH-000996,-0.170185079785
ACH-001001,-1.02177674059
ACH-001020,0.178961142899
ACH-001028,-0.359255345764
ACH-001031,-0.44722733359
ACH-001038,-0.720486751417
ACH-001048,-0.209632527899
ACH-001050,0.132168149397
ACH-001053,-0.123481287077
ACH-001054,-0.050938087204400004
ACH-001061,-0.28207928814
ACH-001067,-0.08821767237639999
ACH-001075,-0.445980431433
ACH-001096,-0.420756032998
ACH-001128,0.12688385295600002
ACH-001134,-0.191123702699
ACH-001151,-0.13379412058700002
ACH-001163,-0.488543915278
ACH-001164,-0.5524769248879999
ACH-001173,-0.537115082393
ACH-001183,-0.270671471811
ACH-001184,-0.322746749212
ACH-001190,-0.216489303532
ACH-001192,-0.215083441804
ACH-001193,-0.22912115034400002
ACH-001196,0.0482921928125
ACH-001197,-0.123975047996
ACH-001205,-0.575198266389
ACH-001211,-0.228258928764
ACH-001212,-0.250243010654
ACH-001228,-0.148649782076
ACH-001232,-0.0696360208278
ACH-001239,-0.365220222338
ACH-001274,0.0764328129276
ACH-001275,-0.464470973052
ACH-001277,0.123833158128
ACH-001278,-0.561809646206
ACH-001280,-0.0969493230232
ACH-001283,-0.41993531055
ACH-001289,-0.286276494179
ACH-001295,-0.0360506005205
ACH-001300,-0.370494283283
ACH-001301,-0.0535655246724
ACH-001302,0.275998660298
ACH-001303,-0.181182591969
ACH-001306,-0.24291265954900002
ACH-001318,-0.34506695119999997
ACH-001322,-0.19171234487
ACH-001328,0.00159233194475
ACH-001332,-0.258423212157
ACH-001333,-0.6345460151519999
ACH-001336,-0.30107349259
ACH-001340,-0.05179680435240001
ACH-001346,-0.213989083988
ACH-001353,0.011944577476
ACH-001354,0.0113235990694
ACH-001367,-0.381175611219
ACH-001368,-0.282939437779
ACH-001374,0.142285224434
ACH-001375,-0.362615033542
ACH-001377,-0.355748452298
ACH-001380,-0.553185957135
ACH-001391,-0.43621926713500003
ACH-001407,-0.0352448097557
ACH-001408,-0.0062296202756800005
ACH-001413,-0.10645571905099999
ACH-001430,-0.49515382837099997
ACH-001431,-0.163930413976
ACH-001450,-0.0783867064549
ACH-001496,-0.32496212418299997
ACH-001500,-0.48428865141800004
ACH-001521,-0.360634224216
ACH-001523,-0.265085220624
ACH-001532,-0.382081455457
ACH-001536,-0.0334298061432
ACH-001550,-0.49410251046899994
ACH-001552,-0.306768350708
ACH-001554,-0.445654160382
ACH-001645,-0.16383432838099998
ACH-001654,-0.11382738497000001
ACH-001715,-0.236807104502
ACH-001735,-0.0664085613177
ACH-001736,-0.305220121913
ACH-001737,-0.3776473525
ACH-001740,-0.21902485456999998
ACH-001745,-0.33128256030299996
ACH-001750,-0.202014645044
ACH-001765,-0.148541142371
ACH-001956,0.00831700831321
ACH-001957,-0.235718670632
