,P2RY6 (5031)
ACH-000913,-0.106187137532
ACH-000915,-0.0814293488437
ACH-000916,-0.5935328840649999
ACH-000917,-0.5401432136909999
ACH-000921,-0.177100964814
ACH-000924,-0.133951857756
ACH-000926,-0.37970593124799995
ACH-000928,0.0330826424713
ACH-000929,-0.209010717712
ACH-000932,-0.155198933093
ACH-000935,-0.454058631762
ACH-000936,-0.156636226439
ACH-000937,-0.154997521527
ACH-000938,-0.22131223815900003
ACH-000939,-0.41888542650399996
ACH-000941,-0.40554454608
ACH-000943,-0.21265405410100002
ACH-000946,-0.21433801183200002
ACH-000947,-0.170598430453
ACH-000948,-0.311433944064
ACH-000950,-0.293560270131
ACH-000953,-0.0136237551347
ACH-000957,-0.367121432114
ACH-000958,-0.101749937721
ACH-000960,-0.268025221095
ACH-000963,-0.40928999092600005
ACH-000968,-0.30078408823
ACH-000969,-0.327068887683
ACH-000973,-0.187271720116
ACH-000974,-0.200625167919
ACH-000975,-0.00333994640938
ACH-000976,-0.190204098508
ACH-000978,-0.258454334547
ACH-000980,-0.201502418504
ACH-000984,-0.282037476037
ACH-000986,-0.306434216117
ACH-000988,-0.30433659948
ACH-000993,-0.125473624932
ACH-000994,-0.110556441745
ACH-000996,-0.0376327767289
ACH-001001,-0.0812069557991
ACH-001020,-0.19681950903
ACH-001028,-0.106194025097
ACH-001031,-0.00900388935061
ACH-001038,-0.106006559321
ACH-001048,-0.0235065672263
ACH-001050,-0.119104388971
ACH-001053,-0.286221389149
ACH-001054,-0.201265834317
ACH-001061,-0.27542126150199997
ACH-001067,-0.141924811746
ACH-001075,-0.154486291503
ACH-001096,-0.418068843575
ACH-001128,-0.154356736039
ACH-001134,-0.215454459827
ACH-001151,-0.158018321253
ACH-001163,-0.128452035669
ACH-001164,0.050429168972800004
ACH-001173,-0.148724537031
ACH-001183,-0.137996839061
ACH-001184,-0.17393573230700002
ACH-001190,-0.111709114544
ACH-001192,-0.30494257319400003
ACH-001193,-0.278378402074
ACH-001196,-0.17844372752700002
ACH-001197,-0.007991680933640001
ACH-001205,-0.0650661836135
ACH-001211,-0.111413569569
ACH-001212,-0.10890964289999999
ACH-001228,-0.280628323807
ACH-001232,-0.17799064391600003
ACH-001239,-0.036903397773
ACH-001274,-0.038155381680900005
ACH-001275,-0.25991413240600003
ACH-001277,-0.104485428906
ACH-001278,-0.096670294494
ACH-001280,-0.0197173384987
ACH-001283,-0.292533322049
ACH-001289,-0.155720038586
ACH-001295,-0.0795098882186
ACH-001300,-0.138970021458
ACH-001301,-0.254301135324
ACH-001302,-0.0853840875707
ACH-001303,-0.010828208808600002
ACH-001306,-0.292701155864
ACH-001318,0.125947471265
ACH-001322,-0.105426625781
ACH-001328,-0.258605061171
ACH-001332,0.041711641698800005
ACH-001333,-0.149750828506
ACH-001336,-0.372131064947
ACH-001340,-0.23519341166299998
ACH-001346,-0.580800317611
ACH-001353,-0.16122005371200002
ACH-001354,-0.276314165137
ACH-001367,-0.342926608995
ACH-001368,-0.146230784323
ACH-001374,-0.22165476013799998
ACH-001375,-0.258767088673
ACH-001377,-0.141056780781
ACH-001380,-0.20819820963100003
ACH-001391,-0.17881497383499997
ACH-001407,-0.15168477214099998
ACH-001408,-0.449489548751
ACH-001413,-0.38831421306599995
ACH-001430,-0.021914220038
ACH-001431,-0.16316579839
ACH-001450,-0.419965901667
ACH-001496,-0.395619481673
ACH-001500,0.0115965175144
ACH-001521,-0.327116562407
ACH-001523,-0.112543608585
ACH-001532,-0.187994900536
ACH-001536,-0.188950854498
ACH-001550,-0.44934261888599997
ACH-001552,-0.28758708404100003
ACH-001554,-0.134000869576
ACH-001645,-0.338450612803
ACH-001654,-0.20389122030999998
ACH-001715,0.153461076854
ACH-001735,-0.252514877709
ACH-001736,-0.21420899801100002
ACH-001737,0.147457731595
ACH-001740,-0.012095589412
ACH-001745,-0.177560183849
ACH-001750,-0.289755568759
ACH-001765,-0.19193214635000003
ACH-001956,-0.174543788092
ACH-001957,-0.361528258115
