,PRDM1 (639)
ACH-000766,0.313117805762
ACH-000767,-0.205328567304
ACH-000768,0.10988894179099999
ACH-000769,0.22295980869000004
ACH-000770,-0.038851585956
ACH-000771,-0.09113440875590001
ACH-000773,-0.27837459752300003
ACH-000776,-0.142025312097
ACH-000777,0.07518471887999999
ACH-000778,-0.062109474774199994
ACH-000781,-0.038397477152199995
ACH-000782,-0.0437361346672
ACH-000783,-0.0727619036971
ACH-000784,-0.026641891766400003
ACH-000785,0.0526206459363
ACH-000787,-0.018822010072
ACH-000788,0.0239959693995
ACH-000791,0.0422012280957
ACH-000792,-0.09194587261610002
ACH-000794,-0.0550500173366
ACH-000796,0.0446957364928
ACH-000799,0.0849660525811
ACH-000800,0.00953227021092
ACH-000802,-0.0038503297239499998
ACH-000804,0.0231419734601
ACH-000805,0.00421480109139
ACH-000809,-0.17664379701900002
ACH-000810,-0.133892784806
ACH-000811,-0.058645920108199995
ACH-000817,0.255156319881
ACH-000819,-0.141251502566
ACH-000820,0.005989944907380001
ACH-000821,-1.0991781951700001
ACH-000822,-0.265214213044
ACH-000823,-0.396639923335
ACH-000824,-0.0383533104822
ACH-000827,0.0804233512929
ACH-000829,-0.24954247211
ACH-000831,0.0292270833972
ACH-000832,0.0861260820572
ACH-000833,0.06424386945180001
ACH-000834,-0.18098729235599997
ACH-000835,-0.0133472031522
ACH-000836,-0.0631916182787
ACH-000837,-0.0436511463518
ACH-000838,-1.3802172345700001
ACH-000839,0.195166159406
ACH-000840,0.091152758896
ACH-000841,-0.011328442985399999
ACH-000843,-0.158670949863
ACH-000846,-0.0175923576659
ACH-000847,-0.15843121302000002
ACH-000848,-0.0232571639592
ACH-000849,-0.258670539539
ACH-000851,-0.0973921635334
ACH-000855,-0.071565356952
ACH-000856,0.0881321502813
ACH-000858,-0.076995979877
ACH-000859,0.11299276413499999
ACH-000861,0.0110587426927
ACH-000862,-0.0032028622055100004
ACH-000865,-0.0574995679752
ACH-000866,-0.11903588599
ACH-000867,-0.08859750815850001
ACH-000869,-0.047354702992900004
ACH-000872,-0.0456809601837
ACH-000873,-0.06144843084149999
ACH-000876,-0.143758556374
ACH-000878,-0.0586080526573
ACH-000880,-0.131070675643
ACH-000881,0.031264675090400006
ACH-000882,-0.117549515257
ACH-000884,-0.10040832924000001
ACH-000885,0.007971960059299999
ACH-000887,-0.0765075586151
ACH-000888,-0.087568920387
ACH-000889,-0.689559021512
ACH-000890,-0.14005163089199998
ACH-000896,-0.139519257235
ACH-000898,-0.005246065647069999
ACH-000900,-0.127098157994
ACH-000901,-0.0652399867024
ACH-000905,0.212389534769
ACH-000906,-0.167354114703
ACH-000907,0.0674226759581
ACH-000910,-0.0905920889426
ACH-000911,-0.0169412333703
ACH-000912,-0.104900509995
ACH-000913,-0.187583496092
ACH-000915,0.124798915552
ACH-000916,-0.12548122194
ACH-000917,-0.0325585682014
ACH-000921,-0.053359419722800006
ACH-000924,-0.141446856837
ACH-000926,-0.0694949747789
ACH-000928,0.17635586446600002
ACH-000929,-0.09118112589880001
ACH-000932,-0.0322007832718
ACH-000935,-0.146800563594
ACH-000936,-0.17183798958000002
ACH-000937,0.0593942503627
ACH-000938,-0.0679504606992
ACH-000939,0.0976402491646
ACH-000941,-0.174136580905
ACH-000943,-0.22003323228799998
ACH-000946,-0.05563625359680001
ACH-000947,-0.06231330939669999
ACH-000948,-0.117087860341
ACH-000950,0.0922933273017
ACH-000953,-0.047635285254300004
ACH-000957,-0.0583286619487
ACH-000958,0.102845390372
ACH-000960,-0.028028519339900002
ACH-000963,-0.163405461361
ACH-000968,-0.0469242224286
ACH-000969,-0.010532478803000001
ACH-000973,-0.121796731351
ACH-000974,-0.027967208048799996
ACH-000975,-0.153814583792
ACH-000976,-0.06995438434560002
ACH-000978,-0.182624705343
ACH-000980,-0.137326854496
ACH-000984,-0.17137151166099998
ACH-000986,-0.143841787779
ACH-000988,-0.0424501715534
ACH-000993,-0.0340984212969
ACH-000994,-0.075949114632
ACH-000996,-0.013151370596200002
ACH-001001,-0.0535157760486
ACH-001020,-0.027155809556999998
ACH-001028,-0.08453124120210001
ACH-001031,0.05455990912380001
ACH-001038,-0.167370199074
ACH-001048,0.03791544302119999
ACH-001050,-0.0974448942942
ACH-001053,-0.104808846934
ACH-001054,-0.126442855606
ACH-001061,-0.140620285081
ACH-001067,0.0375383043595
ACH-001075,-0.149389965656
ACH-001096,-0.040968745901999996
ACH-001128,0.404799276789
ACH-001134,-0.141185534119
ACH-001151,-0.10236914687000001
ACH-001163,-0.109232094261
ACH-001164,-0.23222330351599998
ACH-001173,-0.0354395265254
ACH-001183,0.0677453781293
ACH-001184,-0.04702196477369999
ACH-001190,-0.046063559819599996
ACH-001192,-0.0243736800655
ACH-001193,0.14470221045
ACH-001196,0.022288243261599998
ACH-001197,-0.655865591692
ACH-001205,0.0197060427745
ACH-001211,-0.131028082159
ACH-001212,0.11867111518100001
ACH-001228,-0.17489204222100002
ACH-001232,0.084080690398
ACH-001239,0.0457691820214
ACH-001274,-0.09945459325969999
ACH-001275,-0.17398504141899998
ACH-001277,-0.249969458186
ACH-001278,-0.0475484319385
ACH-001280,0.0149001042299
ACH-001283,-0.162108024079
ACH-001289,-0.142518573346
ACH-001295,-0.0138413351088
ACH-001300,0.094952576604
ACH-001301,0.123336916751
ACH-001302,0.039273063443
ACH-001303,-0.161402032293
ACH-001306,-0.06362779735349999
ACH-001318,-0.0453856363813
ACH-001322,-0.21576182711599998
ACH-001328,-0.00892716849639
ACH-001332,0.376635659155
ACH-001333,0.0542865611274
ACH-001336,-0.12302188336200001
ACH-001340,0.0478571209124
ACH-001346,-0.0679317078677
ACH-001353,-0.0656373871265
ACH-001354,-0.189353597549
ACH-001367,-0.144290841561
ACH-001368,-0.142014231302
ACH-001374,0.0567489142291
ACH-001375,0.060729414297199996
ACH-001377,0.096269002376
ACH-001380,-0.11944279062999999
ACH-001391,-0.298581998468
ACH-001407,-0.10935536189600001
ACH-001408,-0.13355541598200002
ACH-001413,0.0915191340722
ACH-001430,-0.0152310423971
ACH-001431,-0.16107472366800002
ACH-001450,0.0008748747466030001
ACH-001496,0.026287669790500002
ACH-001500,-0.0246440580762
ACH-001521,-0.0368360733609
ACH-001523,-0.00484978629966
ACH-001532,-0.0169931941137
ACH-001536,0.349025675778
ACH-001550,-0.221474393301
ACH-001552,-0.055506288729600006
ACH-001554,0.0278164666553
ACH-001645,-0.10845448601
ACH-001654,0.037775516950400004
ACH-001715,-0.0404627475316
ACH-001735,-0.0618418299079
ACH-001736,-0.0602444820387
ACH-001737,0.232496286948
ACH-001740,-0.116890566927
ACH-001745,0.0664472756457
ACH-001750,-0.0996476290661
ACH-001765,0.015408439636799998
ACH-001956,0.0122217843565
ACH-001957,-0.149417863507
