,TPD52L3 (89882)
ACH-000336,-0.18878673530600001
ACH-000337,0.048435775540199996
ACH-000339,0.0614946870026
ACH-000341,-0.0118767795859
ACH-000348,0.0781810727297
ACH-000350,-0.153935787573
ACH-000352,0.100732874015
ACH-000356,0.11201434895300001
ACH-000361,0.123192095217
ACH-000362,-0.07998420036739999
ACH-000363,0.032763921327800004
ACH-000364,0.0152337628137
ACH-000365,0.0121571939526
ACH-000366,-0.007197683765
ACH-000368,0.07047463252889999
ACH-000374,-0.0398848128923
ACH-000375,-0.0731277463386
ACH-000376,0.116861444335
ACH-000381,0.0161788330787
ACH-000383,0.00793579646771
ACH-000387,-0.0387097913295
ACH-000389,-0.0336551269823
ACH-000390,-0.014773228870600001
ACH-000393,-0.119562746577
ACH-000395,0.244181359699
ACH-000397,0.09052061018410001
ACH-000401,0.0615270010479
ACH-000402,0.160436071064
ACH-000403,-0.0879314150177
ACH-000404,-0.026167199925599998
ACH-000406,-0.0707990561306
ACH-000407,0.0451048848336
ACH-000408,0.274693880519
ACH-000410,0.0444364297185
ACH-000411,-0.166203337575
ACH-000414,0.129236638331
ACH-000415,0.130983310213
ACH-000416,0.00952755594538
ACH-000420,-0.10045414642999999
ACH-000421,-0.0432045314259
ACH-000424,0.108298528897
ACH-000425,0.108547113562
ACH-000426,0.102506012569
ACH-000427,0.133976142965
ACH-000433,0.0797882569142
ACH-000436,0.129819899595
ACH-000444,0.07541421306599999
ACH-000445,-0.178474580341
ACH-000448,0.013498259286799999
ACH-000450,0.17749144535999997
ACH-000452,0.118992253795
ACH-000454,0.0938554917663
ACH-000458,0.113130933664
ACH-000459,0.0038412298615999995
ACH-000460,-0.0659371286486
ACH-000461,0.315216935954
ACH-000463,-0.0031555936532899997
ACH-000464,0.204603577125
ACH-000466,0.108385337156
ACH-000467,-0.0034727514737700003
ACH-000468,0.0992893045721
ACH-000469,-0.0816887400193
ACH-000470,-0.00237269333095
ACH-000471,0.0844650141302
ACH-000472,-0.0875412350914
ACH-000473,0.0300025732467
ACH-000475,-0.0141656834632
ACH-000476,0.184766676171
ACH-000477,-0.173087016879
ACH-000480,0.007852249869460001
ACH-000481,0.09295711858830001
ACH-000483,-0.0397605149175
ACH-000484,-0.027610673292099996
ACH-000485,0.032885554873599995
ACH-000486,0.129983668374
ACH-000487,0.0499771339069
ACH-000488,-0.031167971674900003
ACH-000490,0.107539407206
ACH-000491,0.11196364771
ACH-000495,-0.09113838237289999
ACH-000496,0.182851695539
ACH-000499,0.057387586134599995
ACH-000500,-0.310511642974
ACH-000502,-0.00889079413828
ACH-000503,0.12056242151499999
ACH-000505,0.049801581722
ACH-000507,0.026279904422900003
ACH-000510,0.0322504010274
ACH-000511,0.043604732402599995
ACH-000512,-0.0193799954272
ACH-000516,0.0443801847788
ACH-000517,0.0416256407617
ACH-000518,0.0318147570336
ACH-000520,0.145719998946
ACH-000521,-0.130675308485
ACH-000522,0.17323590119100002
ACH-000524,0.0488228972205
ACH-000527,0.08259323766139999
ACH-000528,-0.0952256208932
ACH-000537,0.0872781027534
ACH-000541,-0.139651427105
ACH-000542,-0.009337661589750001
ACH-000544,0.036745127132199996
ACH-000545,0.137935060463
ACH-000547,0.0761097179177
ACH-000548,0.134241067717
ACH-000549,0.0775327509062
ACH-000550,0.138306265546
ACH-000552,0.19453208881499998
ACH-000556,-0.014472456188399999
ACH-000557,-0.126745314843
ACH-000570,0.130803791286
ACH-000571,0.026816627325599997
ACH-000573,-0.0416903824572
ACH-000576,-0.10849137081700001
ACH-000580,-0.033846256257199996
ACH-000584,0.011963938304700002
ACH-000585,0.0380330813191
ACH-000588,0.125614185338
ACH-000589,0.0952609795661
ACH-000591,0.12687459388
ACH-000593,-0.108349631911
ACH-000600,-0.027489607256900004
ACH-000601,-0.07596133704689999
ACH-000604,0.127420451771
ACH-000605,0.09842385738199999
ACH-000606,0.0817940963116
ACH-000608,0.0254989604123
ACH-000614,-0.116476458649
ACH-000616,-0.04293330387950001
ACH-000618,0.027478056406799997
ACH-000619,0.00547575637582
ACH-000620,0.0357598551614
ACH-000621,0.0391900584827
ACH-000622,-0.10149144793199999
ACH-000623,-0.020470279618500002
ACH-000624,-0.0832462786855
ACH-000627,0.210795007128
ACH-000630,0.12290155751399999
ACH-000632,0.203717530315
ACH-000633,0.040084485295699995
ACH-000637,-0.24951257489999998
ACH-000638,0.22906684214099998
ACH-000646,0.021502800732900004
ACH-000647,0.0482516695404
ACH-000648,-0.143369613556
ACH-000649,0.0300223649677
ACH-000651,-0.0199685469151
ACH-000652,0.116204754492
ACH-000653,0.0383002058296
ACH-000657,0.105880466127
ACH-000658,-0.128725534287
ACH-000661,0.103179601248
ACH-000662,0.0673542305976
ACH-000663,-0.032583333357099994
ACH-000665,0.08112337591089999
ACH-000671,0.0858167329308
ACH-000673,0.09403574171839998
ACH-000676,-0.0530692920687
ACH-000677,0.050803592928800004
ACH-000681,-0.175233431828
ACH-000682,-0.051588155698300005
ACH-000683,0.0180121583698
ACH-000684,0.055654327598699996
ACH-000688,-0.164978243211
ACH-000693,0.0195705177205
ACH-000694,0.10839393385299999
ACH-000695,0.025336781729399998
ACH-000696,0.10992038750399999
ACH-000697,0.262727642575
ACH-000699,0.0147328407575
ACH-000701,-0.07879729802239999
ACH-000706,0.102951281646
ACH-000711,0.0579615046786
ACH-000713,0.0825856325697
ACH-000714,0.0357311103646
ACH-000718,0.157691970086
ACH-000720,0.0180195511124
ACH-000721,0.121757143132
ACH-000724,-0.00804047872516
ACH-000725,-0.00156205533566
ACH-000732,-0.048107848464
ACH-000734,0.0255831761307
ACH-000735,0.0519479083451
ACH-000736,-0.0419448390234
ACH-000738,-0.0347481449529
ACH-000746,0.113369693257
ACH-000747,-0.0122489121319
ACH-000748,-0.10762077015999999
ACH-000753,0.08575257135339999
ACH-000756,0.0377927131301
ACH-000757,0.0712850823677
ACH-000758,0.059987848898999996
ACH-000760,-0.036628587307699995
ACH-000763,-0.00200754108237
ACH-000764,0.151590657928
ACH-000765,-0.101973720053
ACH-000766,0.059166583203499996
ACH-000767,-0.0249062075236
ACH-000768,-0.0727910269073
ACH-000769,-0.09358524615660001
ACH-000770,0.0248116426479
ACH-000771,0.0
ACH-000773,0.0389529397624
ACH-000776,-0.0438023872897
ACH-000777,-0.131180287104
ACH-000778,0.196528430768
ACH-000781,-0.00312314413025
ACH-000782,-0.0518982144526
ACH-000783,0.0839675719894
ACH-000784,-0.0978629611207
ACH-000785,0.111166311884
ACH-000787,0.0619194308327
ACH-000788,0.0452577338856
ACH-000791,0.146558321012
ACH-000792,-0.512207203658
ACH-000794,0.15563102223
ACH-000796,0.0713956991818
ACH-000799,-0.0682576356585
ACH-000800,0.0197502948619
ACH-000802,0.04778303873380001
ACH-000804,0.0583830891642
