,SPDL1 (54908)
ACH-000720,-0.7438693485529999
ACH-000721,-0.9242598162019999
ACH-000724,-0.709453784747
ACH-000725,-0.9942489372679999
ACH-000732,-0.876340105979
ACH-000734,-0.730639107828
ACH-000735,-0.89217939017
ACH-000736,-0.78970977832
ACH-000738,-0.858938680024
ACH-000746,-0.734025404753
ACH-000747,-0.8438097934119999
ACH-000748,-0.669804873279
ACH-000753,-0.9338309867219999
ACH-000756,-0.873334599491
ACH-000757,-0.0645127830531
ACH-000758,-0.770788556649
ACH-000760,-0.736266577123
ACH-000763,-1.02137667194
ACH-000764,-0.7284694296449999
ACH-000765,-0.634650444795
ACH-000766,-0.6375479648160001
ACH-000767,-1.20977478307
ACH-000768,-0.6817105308210001
ACH-000769,-0.783266016672
ACH-000770,-0.867468596679
ACH-000771,-0.8646256725910001
ACH-000773,-0.7655284697920001
ACH-000776,-1.0134546157200002
ACH-000777,-0.744205904665
ACH-000778,-1.0573655675700002
ACH-000781,-0.9924818718449999
ACH-000782,-0.748685233185
ACH-000783,-0.9881636555
ACH-000784,-0.615220051381
ACH-000785,-1.3036491615799999
ACH-000787,-0.824085566213
ACH-000788,-0.7892455852600001
ACH-000791,-0.6137691196
ACH-000792,-0.7022251029350001
ACH-000794,-0.7849498633650001
ACH-000796,-0.853164142087
ACH-000799,-1.0848995037
ACH-000800,-0.605210468932
ACH-000802,-1.23646742232
ACH-000804,-0.661801254292
ACH-000805,-0.800111783074
ACH-000809,-0.7674239204340001
ACH-000810,-0.640206999724
ACH-000811,-1.41625297159
ACH-000817,-1.0
ACH-000819,-0.9009073027410001
ACH-000820,-1.2351416933
ACH-000821,-0.833619707225
ACH-000822,-0.8832296450139999
ACH-000823,-0.7347598527320001
ACH-000824,-1.1091315225799998
ACH-000827,-0.7726802766850001
ACH-000829,-0.795625762153
ACH-000831,-0.644289166851
ACH-000832,-0.8946615538889999
ACH-000833,-0.578618668024
ACH-000834,-0.686132562446
ACH-000835,-0.601502193683
ACH-000836,-1.27123712828
ACH-000837,-0.794843083894
ACH-000838,-0.890409880458
ACH-000839,-1.04512005253
ACH-000840,-0.928708623588
ACH-000841,-0.6056606793689999
ACH-000843,-0.86179927966
ACH-000846,-0.907366545247
ACH-000847,-0.932557908688
ACH-000848,-0.7362776321979999
ACH-000849,-0.788604108211
ACH-000851,-0.752791722863
ACH-000855,-0.599834812588
ACH-000856,-0.786260443947
ACH-000858,-0.832392172981
ACH-000859,-0.727991528388
ACH-000861,-0.796345069357
ACH-000862,-1.16541106078
ACH-000865,-0.7651201704039999
ACH-000866,-0.733106167138
ACH-000867,-0.968591089138
ACH-000869,-1.06657463964
ACH-000872,-0.6571169110980001
ACH-000873,-0.682549918327
ACH-000876,-1.281964482
ACH-000878,-0.928011484552
ACH-000880,-1.08747273463
ACH-000881,-0.542840491958
