,ACYP2 (98)
ACH-000882,0.0996345617997
ACH-000884,0.110041060744
ACH-000885,0.0318415478818
ACH-000887,0.09800488907230001
ACH-000888,0.08060991415680001
ACH-000889,0.010782612646
ACH-000890,0.0848086911201
ACH-000896,-0.0881954760707
ACH-000898,-0.0891140469678
ACH-000900,0.172597960356
ACH-000901,0.022516742587900002
ACH-000905,0.0699948999109
ACH-000906,0.00763848825877
ACH-000907,0.253643569491
ACH-000910,0.046915528948999995
ACH-000911,0.0029779785944
ACH-000912,0.045984646181
ACH-000913,0.261141375425
ACH-000915,0.20466376284899998
ACH-000916,0.0442297146075
ACH-000917,0.10650931667500001
ACH-000921,0.121693501435
ACH-000924,0.0160311123322
ACH-000926,-0.018417689759700002
ACH-000928,0.0459569532689
ACH-000929,0.177188160598
ACH-000932,0.0180753495841
ACH-000935,0.060267947930300006
ACH-000936,0.0475938895834
ACH-000937,0.100211859083
ACH-000938,0.304421619024
ACH-000939,0.09777788662669999
ACH-000941,0.196954536252
ACH-000943,0.09252700941749999
ACH-000946,-0.0145813787449
ACH-000947,0.216667922186
ACH-000948,0.131551563512
ACH-000950,0.290604704906
ACH-000953,0.0772683590098
ACH-000957,0.123740677634
ACH-000958,0.154763436441
ACH-000960,-0.00954079613611
ACH-000963,0.157576337203
ACH-000968,0.168171848904
ACH-000969,0.0729805109191
ACH-000973,0.0211125093002
ACH-000974,0.169502403758
ACH-000975,-0.0401729350258
ACH-000976,0.0684736530339
ACH-000978,0.290864239171
ACH-000980,0.0782858449478
ACH-000984,0.0935118636532
ACH-000986,0.10257578050100001
ACH-000988,0.0347285373366
ACH-000993,0.374396146205
ACH-000994,0.07795102092339999
ACH-000996,0.16953138075100002
ACH-001001,0.00349792604793
ACH-001020,-0.284356381739
ACH-001028,0.119983894346
ACH-001031,0.161661159211
ACH-001038,0.12246964498
ACH-001048,0.111224749461
ACH-001050,0.04787665404059999
ACH-001053,-0.00591638199915
ACH-001054,0.0643202304055
ACH-001061,0.0780081719656
ACH-001067,0.0403692934942
ACH-001075,0.0951841345768
ACH-001096,0.164601260351
ACH-001128,-0.18374652132599997
ACH-001134,0.199593328501
ACH-001151,0.03711324797959999
ACH-001163,0.0378900464546
ACH-001164,0.116731111335
ACH-001173,0.0977580598378
ACH-001183,0.0264235643179
ACH-001184,-0.0762763942648
ACH-001190,0.252388370752
ACH-001192,0.342070589343
ACH-001193,0.00952420176315
ACH-001196,0.06898469478510001
ACH-001197,0.14571707899800002
ACH-001205,0.0384417972384
ACH-001211,0.13141107516
ACH-001212,-0.0898056423549
ACH-001228,-0.130328768005
ACH-001232,-0.014336311391200002
ACH-001239,0.063008010644
ACH-001274,0.39533433067900003
ACH-001275,0.235785740199
ACH-001277,0.0757539499279
ACH-001278,0.319384943945
ACH-001280,0.296958618006
ACH-001283,0.17417354201299998
ACH-001289,0.139055574536
ACH-001295,0.07951490732939999
ACH-001300,0.121266004308
ACH-001301,0.0847198731261
ACH-001302,-0.24146061239799999
ACH-001303,-0.184789036879
ACH-001306,0.0497767613838
ACH-001318,0.0946993130397
ACH-001322,0.18125069913
ACH-001328,0.09056078050699999
ACH-001332,-0.247358668798
ACH-001333,0.100721733474
ACH-001336,0.22940504927400002
ACH-001340,-0.010487423542
ACH-001346,0.212288772161
ACH-001353,0.131964368645
ACH-001354,0.064197992439
ACH-001367,-0.042608470876400004
ACH-001368,0.041758062459
ACH-001374,-0.00990423267205
ACH-001375,0.11589525210400001
ACH-001377,0.168474017024
ACH-001380,-0.00449671895758
ACH-001391,0.10043696457800001
ACH-001407,-0.000799358187916
ACH-001408,0.029269452941
ACH-001413,0.06829103328769999
ACH-001430,-0.0044114753449
ACH-001431,0.110180729487
ACH-001450,0.06378724905330001
ACH-001496,0.09411347995089998
ACH-001500,0.0016210551524100001
ACH-001521,0.108670455636
ACH-001523,0.175301724811
ACH-001532,0.145957539797
ACH-001536,0.124425346711
ACH-001550,0.111938117071
ACH-001552,0.057315293318800004
ACH-001554,0.037916884920600004
ACH-001645,0.0461103636739
ACH-001654,0.0986128092357
ACH-001715,0.184000035204
ACH-001735,0.24015269116500002
ACH-001736,0.0551773315862
ACH-001737,0.0201575167878
ACH-001740,0.0628163388938
ACH-001745,-0.0817925058822
ACH-001750,0.135500442243
ACH-001765,0.133014269
ACH-001956,0.033175236892400005
ACH-001957,0.146759106197
