,PRSS45 (377047)
ACH-000557,0.106910269645
ACH-000570,0.00838781208362
ACH-000571,0.0091409338404
ACH-000573,0.0513623247902
ACH-000576,0.118166646092
ACH-000580,-0.018793506603000002
ACH-000584,-0.0548712119534
ACH-000585,0.10827007073799999
ACH-000588,0.161322642524
ACH-000589,0.12324849571799999
ACH-000591,0.0671067773564
ACH-000593,0.0264702907417
ACH-000600,0.0809537658779
ACH-000601,-0.010702732840499999
ACH-000604,0.21334175953099999
ACH-000605,-0.007163884731930001
ACH-000606,0.07299958982810001
ACH-000608,-0.0706817183313
ACH-000614,0.159153180552
ACH-000616,0.195917019414
ACH-000618,0.17473284432100003
ACH-000619,0.0489567951822
ACH-000620,0.021644977700299998
ACH-000621,0.12318314503799999
ACH-000622,0.241282391518
ACH-000623,0.08907375655619999
ACH-000624,0.14133655328199998
ACH-000627,0.143861687421
ACH-000630,0.0409515885313
ACH-000632,0.10081816555199999
ACH-000633,0.00477622148762
ACH-000637,0.22563106941999997
ACH-000638,0.0170454803621
ACH-000646,-0.147752220557
ACH-000647,0.13350558660700002
ACH-000648,0.266004405442
ACH-000649,-0.0167920965718
ACH-000651,0.005518369387109999
ACH-000652,0.0279548071618
ACH-000653,-0.056057580572
ACH-000657,0.0803947214732
ACH-000658,-0.048140829113900004
ACH-000661,-0.0648408803064
ACH-000662,0.280499936987
ACH-000663,0.00449422368064
ACH-000665,0.137136411987
ACH-000671,-0.215104654889
ACH-000673,0.0555680756444
ACH-000676,0.17346271888700002
ACH-000677,-0.010330576813200001
ACH-000681,0.17738987347500002
ACH-000682,0.07922385277039999
ACH-000683,0.111773563307
ACH-000684,0.111212807664
ACH-000688,0.15986400370999998
ACH-000693,0.0831459829312
ACH-000694,0.19259736023
ACH-000695,0.21343387619100002
ACH-000696,0.10127479543199999
ACH-000697,0.154082519925
ACH-000699,-0.018974209596299998
ACH-000701,-0.0649049146919
ACH-000706,0.0159796443325
ACH-000711,0.10614037022600001
ACH-000713,-0.0467922190847
ACH-000714,0.012089132628600001
ACH-000718,0.0757941774913
ACH-000720,0.06986100062060001
ACH-000721,-0.106307337295
ACH-000724,0.335395266805
ACH-000725,0.273403071792
ACH-000732,0.0152525172143
ACH-000734,0.09899512326729999
ACH-000735,-0.0753180490741
ACH-000736,0.17349683172000002
ACH-000738,-0.0545023569783
ACH-000746,-0.24565250532900001
ACH-000747,0.0009261955512060001
ACH-000748,0.044001867611300004
ACH-000753,0.120295358891
ACH-000756,0.0794498041977
ACH-000757,0.07432044753339999
ACH-000758,0.042016342702699994
ACH-000760,0.07232231851149999
ACH-000763,0.139904197005
ACH-000764,-0.077439352833
ACH-000765,0.137913435337
ACH-000766,0.098640003473
ACH-000767,0.13140661691400002
ACH-000768,-0.08279555292219999
ACH-000769,0.125279859974
ACH-000770,0.120080496827
ACH-000771,0.200195105749
ACH-000773,-0.036818799511800004
ACH-000776,0.023905184857400005
ACH-000777,0.08363372546410001
ACH-000778,0.15915749152
ACH-000781,0.0393555757045
ACH-000782,0.000584952301987
ACH-000783,-0.00875840395051
ACH-000784,0.11791233515699999
ACH-000785,-0.0681949687416
ACH-000787,0.147483834759
ACH-000788,0.11893890666
ACH-000791,-0.05715909447869999
ACH-000792,0.0749840121748
ACH-000794,-0.10801307149700001
ACH-000796,0.0121154242012
ACH-000799,0.100736149747
ACH-000800,-0.09239883002350001
ACH-000802,0.031064131285900003
ACH-000804,-0.048614396836900005
ACH-000805,-0.10307871547599999
ACH-000809,-0.00600396877293
ACH-000810,0.0407732445428
ACH-000811,-0.06260437666299999
ACH-000817,-0.300581818986
ACH-000819,0.106521094987
ACH-000820,0.28910956054000003
ACH-000821,-0.035375554173499996
ACH-000822,-0.12799100665899998
ACH-000823,0.0413413521625
ACH-000824,0.160274856917
ACH-000827,0.028530079877299996
ACH-000829,0.09186199285730001
ACH-000831,-0.00366497367666
ACH-000832,-0.0327583739351
ACH-000833,-0.049758635048
ACH-000834,0.0338253537763
ACH-000835,0.196337084563
ACH-000836,-0.0040365087126799995
ACH-000837,0.138487712761
ACH-000838,0.07398422301799999
ACH-000839,0.121846860955
ACH-000840,0.150605355832
ACH-000841,0.0703501371237
ACH-000843,0.12612792177999999
ACH-000846,0.130241945625
ACH-000847,-0.10837222519300001
ACH-000848,0.000445603657511
ACH-000849,0.06991258856970001
ACH-000851,0.106711378676
ACH-000855,0.0382480135747
ACH-000856,0.10303943083999999
ACH-000858,0.166776928005
ACH-000859,0.25082596726
ACH-000861,0.234610277392
ACH-000862,0.0838105814856
ACH-000865,0.115305543086
ACH-000866,0.100576933889
ACH-000867,0.12460946925000001
ACH-000869,0.136488406261
ACH-000872,0.0622454234687
ACH-000873,0.29242380448000005
ACH-000876,-0.0235820907145
ACH-000878,0.0666436846272
ACH-000880,0.253487150335
ACH-000881,0.131920664057
ACH-000882,0.116335454334
ACH-000884,0.06358088776269999
ACH-000885,0.138208185896
ACH-000887,0.032779512364300004
ACH-000888,0.00724108903434
ACH-000889,0.150751614942
ACH-000890,0.320536484094
ACH-000896,0.0863176239291
ACH-000898,0.0288763776761
ACH-000900,0.12027344254599999
ACH-000901,0.23389545639400003
ACH-000905,-0.00668519738976
ACH-000906,0.0629785981154
ACH-000907,-0.183368868948
ACH-000910,0.037307563663400004
ACH-000911,0.11064388474400001
ACH-000912,-0.0007628069584380002
ACH-000913,0.06948286673160001
ACH-000915,0.117281525
ACH-000916,-0.058439949544199996
ACH-000917,0.10036578291300001
ACH-000921,-0.023974219227800003
ACH-000924,0.0838939130298
ACH-000926,0.0199069629224
ACH-000928,0.172224886552
ACH-000929,0.170418934934
ACH-000932,-0.0995479868071
ACH-000935,0.169233786616
ACH-000936,0.14821812177100002
ACH-000937,-0.00803618775176
ACH-000938,0.0704022934938
ACH-000939,-0.0330771758999
ACH-000941,0.23589463072900002
ACH-000943,0.10697682891799999
ACH-000946,0.129721944519
ACH-000947,0.010521702324200001
ACH-000948,0.117220247313
ACH-000950,0.0795232245647
ACH-000953,0.0501437774699
ACH-000957,0.27116281419
ACH-000958,0.315098868583
ACH-000960,0.112844922397
ACH-000963,-0.107200775996
ACH-000968,0.0486171556647
ACH-000969,0.163365363219
ACH-000973,0.0412072757591
ACH-000974,0.156667089152
ACH-000975,0.210754602909
ACH-000976,0.0281056265879
ACH-000978,-0.140621768111
ACH-000980,0.133166988376
ACH-000984,0.206981690572
ACH-000986,0.137125085183
ACH-000988,0.249714667927
ACH-000993,0.292571625237
ACH-000994,-0.19972674802499998
ACH-000996,-0.0722840049072
ACH-001001,0.087429573047
ACH-001020,0.441161754146
ACH-001028,0.024059744813
ACH-001031,0.11070690564
ACH-001038,-0.0970851079663
ACH-001048,0.0453424056941
ACH-001050,0.19009098026000001
ACH-001053,-0.021358692476599998
ACH-001054,0.0978364962548
ACH-001061,0.0846417617235
ACH-001067,-0.19406360729400002
ACH-001075,0.041462396314800004
ACH-001096,0.11048111089700001
ACH-001128,-0.48561323671400003
ACH-001134,0.08486104743239999
ACH-001151,0.0365211731437
ACH-001163,-0.035128104235699995
ACH-001164,0.41309739026500003
ACH-001173,0.124654154166
ACH-001183,0.056668773787000006
ACH-001184,0.21295786350499998
ACH-001190,0.0601376199684
ACH-001192,-0.112048767928
ACH-001193,0.148787865847
ACH-001196,0.428010958585
ACH-001197,-0.11164344822000001
ACH-001205,-0.07970444908510001
ACH-001211,0.17949637014800002
ACH-001212,0.0401930191486
ACH-001228,0.124666704856
ACH-001232,-0.0738481514943
ACH-001239,0.07856741926500001
ACH-001274,-0.0355022118071
ACH-001275,-0.030247955316499996
ACH-001277,0.20247321974100002
ACH-001278,-0.0297322108464
ACH-001280,0.00620871145775
ACH-001283,0.08160743235000001
ACH-001289,0.076648788698
ACH-001295,0.109353930231
ACH-001300,-0.13622443461
ACH-001301,0.103051651227
ACH-001302,-0.23633236573600003
ACH-001303,0.16858631596299997
ACH-001306,0.12187085852499999
ACH-001318,-0.0778574850383
ACH-001322,0.0430276912094
ACH-001328,0.103909264915
ACH-001332,0.19734123388099997
ACH-001333,0.030726809367900003
ACH-001336,-0.0531052039872
ACH-001340,0.034919951848900004
ACH-001346,-0.052807632122300004
ACH-001353,0.0583982451008
ACH-001354,-0.250807487256
ACH-001367,-0.18646085906800003
ACH-001368,0.0908687151495
ACH-001374,-0.0463174115869
ACH-001375,0.0845241199558
ACH-001377,0.0485439513151
ACH-001380,-0.05512135310480001
ACH-001391,-0.031049269833900002
ACH-001407,0.0380253540617
ACH-001408,0.07898733172960001
ACH-001413,0.246378998311
ACH-001430,0.197987436127
ACH-001431,-0.0494360287509
ACH-001450,-0.0797694493837
ACH-001496,0.0444337418761
ACH-001500,-0.0232695786154
ACH-001521,0.0329729690258
ACH-001523,0.037236840658900004
ACH-001532,0.205155813272
ACH-001536,0.121613865084
ACH-001550,0.12609716702999998
ACH-001552,0.0304778482763
ACH-001554,0.08666770384500001
ACH-001645,0.177714982725
ACH-001654,0.0416883062203
ACH-001715,0.0521614565422
ACH-001735,-0.0291654604513
ACH-001736,-0.0912558559548
ACH-001737,-0.106786144483
ACH-001740,0.0654436771432
ACH-001745,0.06016582434519999
ACH-001750,0.058215137498900005
ACH-001765,0.10958225143400001
ACH-001956,-0.0463213641491
ACH-001957,0.0454242954249
