,OR8B12 (219858)
ACH-000632,-0.287785302643
ACH-000633,-0.17604994842799998
ACH-000637,-0.244088063022
ACH-000638,-0.0498887874658
ACH-000646,-0.124664235885
ACH-000647,-0.060307958646400005
ACH-000648,-0.0981300282533
ACH-000649,-0.272876862108
ACH-000651,0.048780459569800004
ACH-000652,-0.303786981613
ACH-000653,0.333668589916
ACH-000657,-0.22183824026700003
ACH-000658,-0.252500872824
ACH-000661,-0.13745131975
ACH-000662,-0.205798405464
ACH-000663,0.0354445301614
ACH-000665,-0.129119171462
ACH-000671,-0.110917771498
ACH-000673,-0.339700347246
ACH-000676,-0.130680807082
ACH-000677,0.0224820559313
ACH-000681,0.004483926811029999
ACH-000682,-0.052114073864299996
ACH-000683,-0.07268082005410001
ACH-000684,-0.329855290664
ACH-000688,-0.302547224306
ACH-000693,-0.0276158459437
ACH-000694,-0.209189737029
ACH-000695,-0.128102349879
ACH-000696,-0.255695611682
ACH-000697,-0.1682484068
ACH-000699,-0.21586798744199998
ACH-000701,-0.07957772549049999
ACH-000706,-0.13244078970200002
ACH-000711,0.0092981777596
ACH-000713,-0.18564043476
ACH-000714,-0.20810486691100002
ACH-000718,-0.0801289994796
ACH-000720,-0.250539537127
ACH-000721,-0.0548486593389
ACH-000724,-0.25032612660799997
ACH-000725,0.0088903569302
ACH-000732,0.17720224975
ACH-000734,-0.23824654665
ACH-000735,-0.192716324918
ACH-000736,0.0243087563843
ACH-000738,-0.09705011484380001
ACH-000746,-0.143414175111
ACH-000747,-0.0553689021269
ACH-000748,-0.217140475362
ACH-000753,-0.181759888584
ACH-000756,-0.12399227580999998
ACH-000757,-0.034076794651799996
ACH-000758,-0.0278843610447
ACH-000760,-0.0915196311448
ACH-000763,-0.122419495451
ACH-000764,-0.10654972572999999
ACH-000765,-0.263719440884
ACH-000766,-0.0111138118838
ACH-000767,-0.162738187939
ACH-000768,-0.0701165094894
ACH-000769,-0.20225832773400002
ACH-000770,-0.127316925824
ACH-000771,-0.131422306433
ACH-000773,-0.170017824362
ACH-000776,-0.309714970514
ACH-000777,-0.200152462216
ACH-000778,0.0655744949656
ACH-000781,-0.039175311718900006
ACH-000782,-0.1834957061
ACH-000783,-0.212149725913
ACH-000784,-0.138917479889
ACH-000785,0.009824106629989999
ACH-000787,0.00573195136398
ACH-000788,-0.0690008257687
ACH-000791,-0.0055743298494399995
ACH-000792,-0.225781547435
ACH-000794,-0.277969586278
ACH-000796,-0.332761084626
ACH-000799,-0.186687220652
ACH-000800,-0.0155947660491
ACH-000802,0.07865036626569999
ACH-000804,-0.151810942498
ACH-000805,-0.284663674146
ACH-000809,-0.125135787893
ACH-000810,-0.391195528675
ACH-000811,-0.35924599489200004
ACH-000817,0.08377033841310001
ACH-000819,-0.252362880452
ACH-000820,-0.09406239120349999
ACH-000821,-0.0473629794856
ACH-000822,-0.110573273467
ACH-000823,-0.153972103233
ACH-000824,-0.19384454248799998
ACH-000827,-0.018332147603099997
ACH-000829,-0.174889336011
ACH-000831,0.0952332406662
ACH-000832,-0.28192168237
ACH-000833,-0.18791691809900002
ACH-000834,-0.249589960055
ACH-000835,-0.057950944726800006
ACH-000836,-0.36153114403700004
ACH-000837,-0.10675502464600001
ACH-000838,-0.11036271841499999
ACH-000839,-0.007010637585050001
ACH-000840,-0.023695597451299996
ACH-000841,-0.23089795369199997
ACH-000843,-0.16876836379500001
ACH-000846,-0.13442553566600002
ACH-000847,-0.0477562494852
ACH-000848,-0.207634744891
ACH-000849,-0.08420562589870001
ACH-000851,-0.207282728995
ACH-000855,-0.0314616857865
ACH-000856,-0.142617393615
ACH-000858,-0.100751844427
ACH-000859,0.014737483541600002
ACH-000861,-0.227377640381
ACH-000862,-0.0947834077623
ACH-000865,-0.303658602667
ACH-000866,-0.08797346664410001
ACH-000867,-0.27441015593
ACH-000869,-0.117309891311
ACH-000872,-0.24530033890500003
ACH-000873,-0.0995695010208
ACH-000876,0.013216748396100002
ACH-000878,-0.146824685287
ACH-000880,-0.0820383289565
ACH-000881,-0.0498369604985
ACH-000882,-0.0296915270741
ACH-000884,-0.061094128126099996
ACH-000885,-0.213046575962
ACH-000887,-0.10399149760700001
ACH-000888,-0.243038267065
ACH-000889,-0.225819026162
ACH-000890,0.036749759611
ACH-000896,-0.16737805529799998
ACH-000898,-0.1098578555
ACH-000900,0.198117720158
ACH-000901,-0.0656462823635
ACH-000905,0.0803373716625
ACH-000906,-0.226821630836
ACH-000907,-0.04779973349259999
ACH-000910,-0.11450655477499999
ACH-000911,-0.214043196407
ACH-000912,-0.0257269729929
ACH-000913,-0.26270672471900003
ACH-000915,-0.020339116070700002
ACH-000916,0.181331091457
ACH-000917,-0.19686773014199999
ACH-000921,-0.23556485315200001
ACH-000924,-0.034782454351
ACH-000926,-0.272113172381
ACH-000928,-0.037371134191
ACH-000929,-0.409725068799
ACH-000932,-0.137009922084
ACH-000935,-0.281478438706
ACH-000936,0.100333808144
ACH-000937,-0.055683529913400004
ACH-000938,-0.299154542126
ACH-000939,0.0514361268518
ACH-000941,-0.21018752077999997
ACH-000943,-0.15387543263800002
ACH-000946,-0.185286789631
ACH-000947,-0.09032087432080001
ACH-000948,-0.0841349682958
ACH-000950,-0.0706879962348
ACH-000953,-0.165261357521
ACH-000957,-0.352326679829
ACH-000958,0.14622180455800002
ACH-000960,-0.225808000642
ACH-000963,-0.0828326552068
ACH-000968,-0.16303623454399999
ACH-000969,0.053699815479
ACH-000973,-0.228099141961
ACH-000974,-0.156052024933
ACH-000975,-0.20703968747600002
ACH-000976,-0.118087859501
ACH-000978,0.0685323358832
ACH-000980,-0.17820487712400002
ACH-000984,-0.15631543791
ACH-000986,-0.028550251173000002
ACH-000988,-0.0942641177038
ACH-000993,0.02885784065
ACH-000994,-0.213084738697
ACH-000996,-0.37387709203599995
ACH-001001,-0.13857686046599998
ACH-001020,-0.19463773055599998
ACH-001028,-0.121929055734
ACH-001031,-0.11060279883199998
ACH-001038,-0.0786704737512
ACH-001048,-0.145773221778
ACH-001050,-0.170846265588
ACH-001053,-0.23110400062300002
