,MCM4 (4173)
ACH-000851,-1.16890007706
ACH-000855,-0.8949704644069999
ACH-000856,-1.0694061208
ACH-000858,-1.10028152692
ACH-000859,-0.8475731011390001
ACH-000861,-1.1342868608299999
ACH-000862,-1.05285832244
ACH-000865,-1.40949832643
ACH-000866,-1.21084871172
ACH-000867,-1.3873749304499998
ACH-000869,-1.00698087626
ACH-000872,-1.19913075911
ACH-000873,-1.17369716177
ACH-000876,-1.85770971001
ACH-000878,-1.15448463362
ACH-000880,-1.19908325624
ACH-000881,-1.48853814776
ACH-000882,-0.8378238779739999
ACH-000884,-1.17046947293
ACH-000885,-1.30266474417
ACH-000887,-1.0716497673899998
ACH-000888,-1.39414831536
ACH-000889,-1.13134114276
ACH-000890,-1.35824717383
ACH-000896,-1.09131442737
ACH-000898,-1.44738062455
ACH-000900,-1.1893946047700001
ACH-000901,-1.3244436798499999
ACH-000905,-0.9598684690729999
ACH-000906,-1.37590340682
ACH-000907,-1.59634686432
ACH-000910,-1.20014509104
ACH-000911,-1.3234345002799999
ACH-000912,-1.36987700167
ACH-000913,-1.17694304261
ACH-000915,-1.17750022636
ACH-000916,-1.6189139733000002
ACH-000917,-1.1126634394
ACH-000921,-1.13156713832
ACH-000924,-1.27192759915
ACH-000926,-1.4902369292700002
ACH-000928,-1.4154427867
ACH-000929,-1.39193148723
ACH-000932,-1.23850369997
ACH-000935,-1.2227585327700001
ACH-000936,-1.23359075634
ACH-000937,-1.3639385130000001
ACH-000938,-1.1434508689299998
ACH-000939,-1.2508064863200001
ACH-000941,-0.9318499617479999
ACH-000943,-1.0245104960100002
ACH-000946,-1.20204034538
ACH-000947,-1.25856736644
ACH-000948,-1.18104986608
ACH-000950,-1.11913725531
ACH-000953,-1.38210517303
ACH-000957,-1.3304647638299998
ACH-000958,-1.2352338292799998
ACH-000960,-1.24396113483
ACH-000963,-0.9772081100419999
ACH-000968,-0.7475769630239999
ACH-000969,-1.32453068126
ACH-000973,-1.4210757112299999
ACH-000974,-1.0622570604600001
ACH-000975,-1.25043265364
ACH-000976,-1.29830186559
ACH-000978,-1.0186557574700001
ACH-000980,-1.20607598935
ACH-000984,-1.3763883385299998
ACH-000986,-1.3224442464
ACH-000988,-1.08702538546
ACH-000993,-1.31401025857
ACH-000994,-0.9354035371639999
ACH-000996,-1.24132114036
ACH-001001,-1.12467055077
ACH-001020,-1.2146135223799999
ACH-001028,-1.5075889898800001
ACH-001031,-1.1111042338600001
ACH-001038,-1.34644021945
ACH-001048,-1.12182754422
ACH-001050,-1.0200915884100001
ACH-001053,-1.30693211207
ACH-001054,-1.2266048367
ACH-001061,-1.20638604181
ACH-001067,-1.0245929083
ACH-001075,-1.4111319981000001
ACH-001096,-1.2500439642899999
ACH-001128,-1.11957868852
ACH-001134,-1.08152188161
ACH-001151,-1.16637310736
ACH-001163,-0.9871154575069999
ACH-001164,-1.24718314346
ACH-001173,-1.21498640846
ACH-001183,-1.0594805236799998
ACH-001184,-1.3655507452000002
ACH-001190,-1.62702790371
ACH-001192,-1.05005474484
ACH-001193,-1.3892578613
ACH-001196,-1.27055995458
ACH-001197,-1.22451221512
ACH-001205,-1.06017733089
ACH-001211,-1.42084920015
ACH-001212,-1.27763436213
ACH-001228,-1.0308713569399999
ACH-001232,-1.15793350622
ACH-001239,-1.3722317857799997
ACH-001274,-1.4784096443
ACH-001275,-1.1906762974
ACH-001277,-1.20013632386
ACH-001278,-1.4003949822200001
ACH-001280,-1.15036409969
ACH-001283,-1.23627287691
ACH-001289,-1.26099932296
ACH-001295,-1.34732255949
ACH-001300,-1.42722160425
ACH-001301,-1.3340698359299998
ACH-001302,-1.3501722423500002
ACH-001303,-1.08839237107
ACH-001306,-1.19490498515
ACH-001318,-1.1727508015299999
ACH-001322,-1.2165885789700002
ACH-001328,-1.07555083949
ACH-001332,-1.27672138655
ACH-001333,-1.46369286871
ACH-001336,-1.28410210038
ACH-001340,-1.16306387922
ACH-001346,-1.22817447432
ACH-001353,-1.18886015013
ACH-001354,-1.29301972264
ACH-001367,-0.7177033586560001
ACH-001368,-1.30564819772
ACH-001374,-1.00998879569
ACH-001375,-1.20058325506
ACH-001377,-1.08800527679
ACH-001380,-0.992926627059
ACH-001391,-1.6129012368900002
ACH-001407,-1.31548124987
ACH-001408,-1.3312477628000001
ACH-001413,-1.0675100910200002
ACH-001430,-1.19005935435
ACH-001431,-1.4541953517700001
ACH-001450,-1.09409073239
ACH-001496,-1.3313559264700001
ACH-001500,-1.35883019292
ACH-001521,-1.07711357837
ACH-001523,-1.03779895065
ACH-001532,-1.19846670222
ACH-001536,-1.33759538297
ACH-001550,-1.31223574513
ACH-001552,-1.2885441008
ACH-001554,-1.2011066909
ACH-001645,-1.22737115005
ACH-001654,-1.21969759956
ACH-001715,-1.35063650945
ACH-001735,-1.1424481150399999
ACH-001736,-1.14776262812
ACH-001737,-1.0672287416700001
ACH-001740,-1.1898753068799999
ACH-001745,-1.2594406297299998
ACH-001750,-0.92057660713
ACH-001765,-1.26162978331
ACH-001956,-1.12369691875
ACH-001957,-1.22037560611
