,SHOC2 (8036)
ACH-000975,-0.420363221163
ACH-000976,-0.32580156715799996
ACH-000978,0.00973113144923
ACH-000980,-0.302156382849
ACH-000984,0.00622419074055
ACH-000986,-0.148514749648
ACH-000988,-0.46433463962800003
ACH-000993,-0.04229156084959999
ACH-000994,-0.24657499357700002
ACH-000996,0.227795213581
ACH-001001,0.101160187772
ACH-001020,-0.255080173664
ACH-001028,0.0704533969866
ACH-001031,-0.276585438763
ACH-001038,-0.036357577277500004
ACH-001048,-0.651973136501
ACH-001050,-0.687650151965
ACH-001053,0.16659150549
ACH-001054,9.66178725375e-05
ACH-001061,-0.036606673752599996
ACH-001067,-0.6263283539360001
ACH-001075,-0.29712735443300003
ACH-001096,-0.115511184465
ACH-001128,-0.542677789683
ACH-001134,-0.128033286066
ACH-001151,-0.479676355126
ACH-001163,0.22840292579500002
ACH-001164,0.023749907369999997
ACH-001173,-0.443927910182
ACH-001183,-0.158551981023
ACH-001184,0.18304431844799998
ACH-001190,-1.04598863012
ACH-001192,-0.16739303375700001
ACH-001193,-0.162240733
ACH-001196,-0.555105680084
ACH-001197,-0.030621053717900002
ACH-001205,-0.232588448871
ACH-001211,-0.212207099304
ACH-001212,-0.00304681540133
ACH-001228,0.16669128037699998
ACH-001232,-0.41122093208599997
ACH-001239,-0.00149503206813
ACH-001274,-0.0240445537619
ACH-001275,-0.188993626985
ACH-001277,-0.250073143923
ACH-001278,-0.384418888615
ACH-001280,-0.305455908995
ACH-001283,-0.0936857442239
ACH-001289,-0.07026678230410001
ACH-001295,0.0135335362617
ACH-001300,-0.100449986523
ACH-001301,-0.803390657333
ACH-001302,-0.130886978303
ACH-001303,-0.15054061592
ACH-001306,-0.038017037549199995
ACH-001318,-0.310306666483
ACH-001322,-0.24424627966899998
ACH-001328,-0.102049547305
ACH-001332,-0.283502225742
ACH-001333,-0.00302653645984
ACH-001336,-0.0636430276121
ACH-001340,-0.506405700876
ACH-001346,-0.144528253013
ACH-001353,-0.524670692341
ACH-001354,-0.101496645725
ACH-001367,-0.0760769939602
ACH-001368,-0.0724085913897
ACH-001374,-0.0008423633052849999
ACH-001375,-0.5364323746199999
ACH-001377,-0.142680525399
ACH-001380,-0.031211553100299997
ACH-001391,-0.018636958254099997
ACH-001407,-0.37180371953900004
ACH-001408,-0.0804050277287
ACH-001413,-0.392710817362
ACH-001430,0.0509430525397
ACH-001431,0.0723512175425
ACH-001450,-0.388237270159
ACH-001496,0.013703047738399999
ACH-001500,0.14248309343499999
ACH-001521,-0.538190388373
ACH-001523,-0.3752760417
ACH-001532,-0.527421859922
ACH-001536,-0.20762878735399998
ACH-001550,0.150075104138
ACH-001552,-0.5829194584040001
ACH-001554,-0.571689316601
ACH-001645,0.18158609418699997
ACH-001654,-0.397240617128
ACH-001715,-0.30417238437800004
ACH-001735,0.00638249422411
ACH-001736,-0.274615256339
ACH-001737,-0.37634951644500003
ACH-001740,-0.0237075634606
ACH-001745,0.12407296109799999
ACH-001750,-0.499378490539
ACH-001765,-0.017276147025099997
ACH-001956,-0.0190260617904
ACH-001957,-0.385073128325
