,SHD (56961)
ACH-000937,-0.15731380900800002
ACH-000938,-0.0308602549579
ACH-000939,0.027120264773
ACH-000941,-0.233274439346
ACH-000943,-0.151209786637
ACH-000946,-0.17241154891399998
ACH-000947,-0.026251338404000003
ACH-000948,-0.0958877591584
ACH-000950,-0.164424711884
ACH-000953,-0.34632973989200005
ACH-000957,0.126315879774
ACH-000958,0.010898828259000001
ACH-000960,-0.020328667731599998
ACH-000963,-0.165558847729
ACH-000968,-0.085983015863
ACH-000969,-0.0571052570705
ACH-000973,-0.08714164891119999
ACH-000974,-0.0778019480456
ACH-000975,0.0141081777929
ACH-000976,0.0071146795244499995
ACH-000978,0.484153394172
ACH-000980,-0.127848276186
ACH-000984,-0.13608339351600002
ACH-000986,-0.09026127884560001
ACH-000988,-0.0223047623945
ACH-000993,-0.22744340148699999
ACH-000994,-0.217302201045
ACH-000996,-0.145492600427
ACH-001001,-0.135061535643
ACH-001020,-0.301373714103
ACH-001028,-0.12363942246300001
ACH-001031,-0.23118106366900001
ACH-001038,-0.11588967622600001
ACH-001048,-0.226156362207
ACH-001050,-0.10035262918
ACH-001053,0.03666631090880001
ACH-001054,0.010243398590100001
ACH-001061,-0.121416543067
ACH-001067,-0.140280824112
ACH-001075,-0.0587516552042
ACH-001096,-0.229661348028
ACH-001128,-0.118084114654
ACH-001134,-0.17513505372699997
ACH-001151,-0.172085703772
ACH-001163,0.014372557278499998
ACH-001164,0.08876867636230001
ACH-001173,-0.149958215602
ACH-001183,0.08124899155830001
ACH-001184,-0.0752696615229
ACH-001190,-0.19489887132599998
ACH-001192,0.11198321120400001
ACH-001193,-0.294672302236
ACH-001196,0.137988529092
ACH-001197,-0.265316578322
ACH-001205,-0.464699642654
ACH-001211,-0.318095374931
ACH-001212,0.127866663683
ACH-001228,-0.162264602702
ACH-001232,0.00617591147563
ACH-001239,0.07543345726160001
ACH-001274,-0.230169240278
ACH-001275,-0.260217499539
ACH-001277,-0.16039547489
ACH-001278,0.168473328756
ACH-001280,0.0758202257995
ACH-001283,0.02975914682
ACH-001289,-0.08707930390799999
ACH-001295,-0.0674578179752
ACH-001300,-0.20203355164500003
ACH-001301,-0.0788400194698
ACH-001302,0.041445336126599994
ACH-001303,-0.0233095220584
ACH-001306,-0.150324985917
ACH-001318,-0.0721328350055
ACH-001322,-0.06107158205680001
ACH-001328,-0.15501873254
ACH-001332,0.060309838627699994
ACH-001333,-0.0373784012086
ACH-001336,-0.0199870207752
ACH-001340,-0.0893234222218
ACH-001346,-0.130379843789
ACH-001353,-0.12211457498
ACH-001354,-0.146403719883
ACH-001367,0.0739634770141
ACH-001368,-0.132567482621
ACH-001374,-0.10515224655
ACH-001375,-0.165866075032
ACH-001377,-0.00912188509923
ACH-001380,-0.084719689123
ACH-001391,-0.131540033518
ACH-001407,-0.17909732486299998
ACH-001408,-0.193466561322
ACH-001413,0.0905745666657
ACH-001430,0.0062229388725799995
ACH-001431,-0.141495727786
ACH-001450,0.05855643057519999
ACH-001496,-0.173473821596
ACH-001500,-0.17100405932999999
ACH-001521,-0.13969553745899999
ACH-001523,-0.145931763235
ACH-001532,-0.0422687598004
ACH-001536,-0.08374665041639999
ACH-001550,0.0255447041525
ACH-001552,-0.038226743032699996
ACH-001554,-0.019054631587400003
ACH-001645,-0.206372633934
ACH-001654,-0.07981099625230001
ACH-001715,-0.247638679248
ACH-001735,-0.175287903789
ACH-001736,-0.21883994516600003
ACH-001737,-0.058784885016199995
ACH-001740,-0.08035781695569999
ACH-001745,-0.11300527575899999
ACH-001750,-0.046862372418599994
ACH-001765,-0.151519479579
ACH-001956,-0.112187105119
ACH-001957,-0.0128885840362
