,POLD2 (5425)
ACH-000657,-0.976291018419
ACH-000658,-0.908433233527
ACH-000661,-0.769352781344
ACH-000662,-1.32531852892
ACH-000663,-0.787617094578
ACH-000665,-0.8359858495270001
ACH-000671,-0.898499875098
ACH-000673,-0.8208467906460001
ACH-000676,-0.883215692471
ACH-000677,-0.676757047202
ACH-000681,-0.8269658787749999
ACH-000682,-0.876549459684
ACH-000683,-0.865214145465
ACH-000684,-0.7412124366349999
ACH-000688,-1.00839252509
ACH-000693,-0.8150862211609999
ACH-000694,-1.0601833058499999
ACH-000695,-1.1888724340299999
ACH-000696,-1.04900456325
ACH-000697,-0.812667572237
ACH-000699,-0.988377554738
ACH-000701,-0.687137048038
ACH-000706,-0.770687475404
ACH-000711,-0.9017655454889999
ACH-000713,-1.07192315288
ACH-000714,-0.824166296338
ACH-000718,-0.6644305181660001
ACH-000720,-1.10349343121
ACH-000721,-0.850274664851
ACH-000724,-1.44438683428
ACH-000725,-0.598577976744
ACH-000732,-1.0703666831
ACH-000734,-0.629821210568
ACH-000735,-1.00889504141
ACH-000736,-1.04884989586
ACH-000738,-0.66855827735
ACH-000746,-0.9156528734970001
ACH-000747,-0.9064110825130001
ACH-000748,-1.07351268816
ACH-000753,-1.0250541551299999
ACH-000756,-0.732000811753
ACH-000757,-0.615430202166
ACH-000758,-1.1396465747600002
ACH-000760,-0.83683438466
ACH-000763,-0.782581601582
ACH-000764,-0.999215143308
ACH-000765,-0.781987170945
ACH-000766,-0.847836146528
ACH-000767,-1.08262586521
ACH-000768,-0.954209035016
ACH-000769,-0.9620706668529999
ACH-000770,-0.8710917405580001
ACH-000771,-0.932771637837
ACH-000773,-0.912835412274
ACH-000776,-1.07818662828
ACH-000777,-0.7183718266429999
ACH-000778,-0.9870676496490001
ACH-000781,-0.718400039684
ACH-000782,-1.0631772747700001
ACH-000783,-0.9317898585340001
ACH-000784,-0.8532783006229999
ACH-000785,-0.966985552095
ACH-000787,-0.8194269538619999
ACH-000788,-0.7881885567829999
ACH-000791,-0.69586029526
ACH-000792,-0.595594853672
ACH-000794,-0.893153092193
ACH-000796,-1.01509698491
ACH-000799,-0.635442028357
ACH-000800,-1.00375889735
