,MUC6 (4588)
ACH-000896,0.013893202423100002
ACH-000898,0.08308423932310001
ACH-000900,-0.0688974601328
ACH-000901,0.0128543611455
ACH-000905,0.069657974067
ACH-000906,-0.0820584559654
ACH-000907,-0.217537937075
ACH-000910,-0.193128143913
ACH-000911,-0.103764730011
ACH-000912,-0.07203017466310001
ACH-000913,-0.0937308732211
ACH-000915,-0.20311184979400002
ACH-000916,-0.015416706184499999
ACH-000917,0.10979694973899999
ACH-000921,-0.050958538632
ACH-000924,0.0914409916562
ACH-000926,0.0581620835538
ACH-000928,-0.00277671894227
ACH-000929,-0.20738825794
ACH-000932,0.04454668717640001
ACH-000935,-0.08121785918489999
ACH-000936,-0.11415302172399999
ACH-000937,-0.07524395856289999
ACH-000938,-0.119901520282
ACH-000939,0.0471216536502
ACH-000941,-0.21744388503000003
ACH-000943,-0.05878767899230001
ACH-000946,0.0860009153245
ACH-000947,-0.24805649925599998
ACH-000948,0.15491576367999998
ACH-000950,-0.110941824772
ACH-000953,-0.108534021509
ACH-000957,0.059263921486300004
ACH-000958,0.032604456521799996
ACH-000960,-0.15237045395999999
ACH-000963,-0.304941726894
ACH-000968,-0.103787042676
ACH-000969,0.167489309544
ACH-000973,0.0452542700662
ACH-000974,-0.183471717689
ACH-000975,-0.0316940398466
ACH-000976,0.31100699082100003
ACH-000978,0.444585291715
ACH-000980,-0.143180244422
ACH-000984,-0.0258710701994
ACH-000986,0.0719042623731
ACH-000988,-0.147717192169
ACH-000993,-0.0860058443678
ACH-000994,-0.24625616426600003
ACH-000996,0.053423348337400006
ACH-001001,0.019766368742500002
ACH-001020,-0.24043222641399997
ACH-001028,0.09861437201230001
ACH-001031,-0.0879536141422
ACH-001038,0.07713617553180001
ACH-001048,-0.00223392961225
ACH-001050,-0.00422535564665
ACH-001053,-0.050436284503300004
ACH-001054,0.0676269295292
ACH-001061,-0.0706214325072
ACH-001067,-0.0056052030955600005
ACH-001075,-0.158755966853
ACH-001096,-0.103304375649
ACH-001128,-0.0119335294461
ACH-001134,-0.30299753747200003
ACH-001151,-0.0752688162347
ACH-001163,0.0149999183014
ACH-001164,-0.5679330197770001
ACH-001173,-0.032177668788099995
ACH-001183,0.15349819449000002
ACH-001184,-0.0253489779374
ACH-001190,0.13027773444000001
ACH-001192,-0.15738374198
ACH-001193,-0.036683337528900004
ACH-001196,-0.108921763821
ACH-001197,-0.030838452843499998
ACH-001205,-0.169611464943
ACH-001211,0.0988983453205
ACH-001212,-0.11869257659700001
ACH-001228,0.025603339347099997
ACH-001232,-0.0271592613062
ACH-001239,0.024138239597900003
ACH-001274,-0.0053523891423
ACH-001275,0.143817870102
ACH-001277,-0.46651039199199995
ACH-001278,0.115458420146
ACH-001280,-0.120737209318
ACH-001283,-0.0424695630509
ACH-001289,-0.07370246294430001
ACH-001295,-0.101540753661
ACH-001300,-0.198264606163
ACH-001301,-0.168133371182
ACH-001302,-0.0570912978663
ACH-001303,-0.0452910659958
ACH-001306,-0.08880709631179999
ACH-001318,0.0410866282163
ACH-001322,0.11751305732
ACH-001328,-0.181382508996
ACH-001332,-0.30434734805999997
ACH-001333,-0.235364314691
ACH-001336,0.05405008706759999
ACH-001340,0.005778785424000001
ACH-001346,0.155018654081
ACH-001353,-0.24897928873300001
ACH-001354,-0.0733573896033
ACH-001367,0.0375731478272
ACH-001368,-0.0305015340941
ACH-001374,-0.245070255254
ACH-001375,-0.0684750022489
ACH-001377,-0.11938384372300001
ACH-001380,0.0336084455083
ACH-001391,0.213307879964
ACH-001407,-0.0808678975211
ACH-001408,-0.173778995768
ACH-001413,0.07865249055210001
ACH-001430,0.11147170035000001
ACH-001431,-0.122113471568
ACH-001450,-0.209736485625
ACH-001496,-0.12045809188300001
ACH-001500,0.157690544152
ACH-001521,-0.018569250834900002
ACH-001523,0.0469761576368
ACH-001532,-0.010103790356799999
ACH-001536,-0.0898185130988
ACH-001550,0.0883334237521
ACH-001552,-0.17661396552499997
ACH-001554,-0.0979745539444
ACH-001645,0.00445150939085
ACH-001654,-0.188083369067
ACH-001715,0.13355951703
ACH-001735,-0.127361239937
ACH-001736,0.0134974208745
ACH-001737,-0.10201723077500001
ACH-001740,-0.0309411331091
ACH-001745,0.0498129824086
ACH-001750,-0.0623359518077
ACH-001765,0.00404141358501
ACH-001956,0.021199323119200003
ACH-001957,-8.20494649882e-05
