,ALDH3A1 (218)
ACH-000758,-0.0823746959566
ACH-000760,-0.14273097691199998
ACH-000763,-0.116887624923
ACH-000764,-0.0784155302091
ACH-000765,0.137785647206
ACH-000766,-0.167926407929
ACH-000767,-0.12189268543500001
ACH-000768,-0.0819481547125
ACH-000769,-0.17519403477899997
ACH-000770,-0.0801253876832
ACH-000771,-0.185786055038
ACH-000773,-0.039983885498800005
ACH-000776,-0.280083480216
ACH-000777,-0.457627653171
ACH-000778,-0.17317651528099998
ACH-000781,-0.213475119572
ACH-000782,-0.38782726911300003
ACH-000783,-0.0540355528889
ACH-000784,0.00686263895793
ACH-000785,-0.0202198903389
ACH-000787,-0.10577704112700001
ACH-000788,-0.0737860842022
ACH-000791,-0.295705818391
ACH-000792,-0.08640471431739999
ACH-000794,-0.0196382205512
ACH-000796,-0.147248342499
ACH-000799,-0.0286217185739
ACH-000800,-0.22946417149599999
ACH-000802,-0.27043715115
ACH-000804,-0.105360121712
ACH-000805,0.017265601498
ACH-000809,-0.08002375024639999
ACH-000810,-0.0280138146166
ACH-000811,-0.203670220128
ACH-000817,0.0143245742047
ACH-000819,-0.20154469974
ACH-000820,-0.311833352199
ACH-000821,-0.180956840188
ACH-000822,-0.232232832207
ACH-000823,0.00813420200361
ACH-000824,0.0037134744738200006
ACH-000827,-0.114598020747
ACH-000829,-0.119233272528
ACH-000831,-0.124389114711
ACH-000832,-0.178480891377
ACH-000833,-0.23803636269499998
ACH-000834,-0.276905981318
ACH-000835,-0.011688638204900001
ACH-000836,-0.0144558452452
ACH-000837,-0.137317330539
ACH-000838,-0.038299745866999996
ACH-000839,-0.09333039326419999
ACH-000840,-0.053793349945800005
ACH-000841,-0.06690984998869999
ACH-000843,-0.185147400867
ACH-000846,-0.10319496699
ACH-000847,-0.323774846641
ACH-000848,-0.51039937108
ACH-000849,-0.158798078757
ACH-000851,-0.22307122454
ACH-000855,-0.0971687479434
ACH-000856,-0.050137333147
ACH-000858,-0.0986307114817
ACH-000859,-0.220612789249
ACH-000861,-0.37302102218500005
ACH-000862,-0.161462941105
ACH-000865,-0.05302904198419999
ACH-000866,-0.0811736459095
ACH-000867,-0.198312006482
ACH-000869,-0.22504075501999996
ACH-000872,-0.29535389686700003
ACH-000873,-0.0358371191659
ACH-000876,-0.118513514584
ACH-000878,-0.0277592820082
ACH-000880,0.0700778403544
ACH-000881,-0.105850016737
ACH-000882,-0.148098751217
ACH-000884,0.0657039644995
ACH-000885,-0.110049191775
ACH-000887,-0.09280198345429999
ACH-000888,-0.0755927477253
ACH-000889,-0.298546783129
ACH-000890,-0.345135406968
ACH-000896,-0.11974707942099999
ACH-000898,-0.045120574087500004
ACH-000900,0.115980199728
ACH-000901,0.00318301606288
ACH-000905,-0.180799770447
ACH-000906,-0.13236725852
ACH-000907,0.132914984791
ACH-000910,-0.126191377351
ACH-000911,-0.188333257619
ACH-000912,-0.11421201212000001
ACH-000913,-0.21423558208700003
ACH-000915,-0.24506159154399998
ACH-000916,-0.48134877136200005
ACH-000917,-0.47488852554300004
ACH-000921,-0.0990352476208
ACH-000924,-0.0747923430501
ACH-000926,-0.20197437980799998
ACH-000928,-0.0059979779665000005
ACH-000929,0.154914633491
ACH-000932,0.06407466399119999
ACH-000935,-0.10335789929400001
ACH-000936,-0.112925693808
ACH-000937,-0.27871994080699997
ACH-000938,-0.0575250394721
ACH-000939,-0.196816506956
ACH-000941,-0.0374399275826
ACH-000943,-0.111404012571
ACH-000946,-0.0534601455234
ACH-000947,-0.210338380686
ACH-000948,-0.044524178221899996
ACH-000950,-0.062458714874300006
ACH-000953,-0.0427714295425
ACH-000957,-0.206446237065
ACH-000958,-0.11848860185900001
ACH-000960,-0.055243495095
ACH-000963,-0.151998304319
ACH-000968,-0.227729854787
ACH-000969,-0.211128512907
ACH-000973,-0.0371070895266
ACH-000974,-0.09970108568569999
ACH-000975,-0.0414908131487
ACH-000976,-0.252378980268
ACH-000978,-0.0942493215666
ACH-000980,-0.10742827787999999
ACH-000984,-0.163556227976
ACH-000986,-0.158352988833
ACH-000988,-0.137457654601
ACH-000993,-0.0418802751396
ACH-000994,0.00720899558242
ACH-000996,-0.181835680284
ACH-001001,-0.082794688409
ACH-001020,0.11324384911499999
ACH-001028,-0.08999691930749999
ACH-001031,-0.29620679842799996
ACH-001038,-0.201392211159
ACH-001048,-0.144917400711
ACH-001050,-0.0128357193333
ACH-001053,-0.37273890339500004
ACH-001054,-0.200221435112
ACH-001061,-0.158977531308
ACH-001067,-0.0456035960424
ACH-001075,-0.17824761799400002
ACH-001096,-0.160215715054
ACH-001128,-0.081709926337
ACH-001134,-0.0336089780755
ACH-001151,-0.146513253794
ACH-001163,-0.10615967080600001
ACH-001164,-0.11713380324000001
ACH-001173,-0.2144002195
ACH-001183,-0.000904925139812
ACH-001184,-0.128581921608
ACH-001190,-0.369298808014
ACH-001192,-0.23849360680999998
ACH-001193,-0.225246673719
ACH-001196,-0.215372880169
ACH-001197,-0.0384176944386
ACH-001205,0.0379884135124
ACH-001211,-0.14206439058599998
ACH-001212,-0.238157209637
ACH-001228,0.0418540668486
ACH-001232,-0.173091490984
ACH-001239,-0.0703010212229
ACH-001274,-0.16093315364299998
ACH-001275,-0.25039699966699996
ACH-001277,-0.391166879749
ACH-001278,0.0413056252384
ACH-001280,0.08617752695900001
ACH-001283,-0.172509675059
ACH-001289,0.144760403724
ACH-001295,-0.21140816876600002
ACH-001300,-0.33863180090499995
ACH-001301,-0.159378788483
ACH-001302,0.0550378980502
ACH-001303,0.006680277625770001
ACH-001306,-0.0247393769103
ACH-001318,-0.15725865910999998
ACH-001322,-0.193603598301
ACH-001328,-0.14032952404500001
ACH-001332,-0.250775842591
ACH-001333,-0.10330269907299999
ACH-001336,-0.024193481647099998
ACH-001340,-0.021372685082700002
ACH-001346,-0.0640009332029
ACH-001353,-0.17733943560100002
ACH-001354,-0.33734299434
ACH-001367,-0.154601674209
ACH-001368,-0.10143932313100001
ACH-001374,-0.26793964682300003
ACH-001375,-0.0893767252831
ACH-001377,-0.139979767211
ACH-001380,-0.0796829953087
ACH-001391,0.00298593379434
ACH-001407,-0.00691538934853
ACH-001408,-0.142997646271
ACH-001413,0.00206611410933
ACH-001430,-0.196438726483
ACH-001431,-0.26583945454700003
ACH-001450,-0.0889184362556
ACH-001496,-0.155283316212
ACH-001500,-0.0221923855535
ACH-001521,-0.24560859106
ACH-001523,-0.217832934634
ACH-001532,-0.135897060333
ACH-001536,-0.08900377296539999
ACH-001550,-0.0679846582371
ACH-001552,0.048478402781600004
ACH-001554,-0.18186982035100002
ACH-001645,-0.043790665454000004
ACH-001654,-0.053224284227099995
ACH-001715,-0.170888632009
ACH-001735,-0.126532779867
ACH-001736,-0.0908926934981
ACH-001737,-0.30345805514699997
ACH-001740,-0.0644371267566
ACH-001745,-0.0598628340262
ACH-001750,-0.225936398318
ACH-001765,-0.12312010919000002
ACH-001956,-0.09461422136119998
ACH-001957,-0.06808336565919999
