,C5AR2 (27202)
ACH-000204,0.11361002789
ACH-000206,0.030922727155800002
ACH-000207,0.22614743444200003
ACH-000211,0.16916090927000002
ACH-000215,0.171913905414
ACH-000221,0.10278919215299999
ACH-000222,0.10563177711
ACH-000223,0.25739319681
ACH-000226,0.0860245110282
ACH-000227,0.0578442761654
ACH-000228,0.280307007699
ACH-000231,0.22232096990699998
ACH-000232,0.23758791898200002
ACH-000233,0.08102663751839999
ACH-000234,0.00512377934411
ACH-000235,0.0897157378747
ACH-000237,0.196257438308
ACH-000238,0.15030884691
ACH-000243,0.197889494289
ACH-000244,0.146941726943
ACH-000246,0.0040556883842
ACH-000248,0.166504441658
ACH-000250,0.05063020255890001
ACH-000251,0.153158937752
ACH-000253,0.16875018306200001
ACH-000255,-0.00330925293264
ACH-000256,0.126848676037
ACH-000257,0.387294958156
ACH-000258,0.260469883184
ACH-000259,0.10865973821799998
ACH-000260,0.12368472065099999
ACH-000261,0.21507607535300002
ACH-000262,-0.0899746369125
ACH-000263,0.276367741459
ACH-000264,0.149103048643
ACH-000265,0.0032912892215599997
ACH-000266,0.12105184846599999
ACH-000272,0.334169522982
ACH-000273,0.103678210998
ACH-000274,0.242848650579
ACH-000277,0.319720430346
ACH-000278,0.007340664554859999
ACH-000279,0.168335184487
ACH-000280,0.0433322581414
ACH-000281,0.196629946143
ACH-000288,0.281141086512
ACH-000291,0.16034261934900002
ACH-000293,-0.0922469363123
ACH-000294,0.153187019638
ACH-000295,0.153286929383
ACH-000296,0.141669715471
ACH-000302,-0.10214190561799999
ACH-000304,0.197337068154
ACH-000307,0.205855975743
ACH-000308,0.12046722878699999
ACH-000310,0.272052404157
ACH-000311,0.12126466295600001
ACH-000312,0.12491288000600001
ACH-000315,0.0810038427068
ACH-000316,0.23819331753800002
ACH-000317,0.0892361099288
ACH-000318,0.11841812992100001
ACH-000319,0.063365549871
ACH-000320,0.33238753114
ACH-000322,0.24776339836300001
ACH-000323,0.0637417056864
ACH-000324,0.152508503882
ACH-000329,0.0777931960728
ACH-000330,0.0698714179379
ACH-000331,0.293608541146
ACH-000332,0.0658541561745
ACH-000334,-0.18788854345800002
ACH-000335,-0.0555771691384
ACH-000336,0.138056546665
ACH-000337,0.051925308945000005
ACH-000339,0.15883708008
ACH-000341,0.0441647664849
ACH-000348,0.201505341409
ACH-000350,0.0738553825085
ACH-000352,0.0975202633404
ACH-000356,0.11539136320599999
ACH-000361,0.0963734469655
ACH-000362,0.154872741584
ACH-000363,0.1331179068
ACH-000364,0.10578195378
ACH-000365,0.133046335657
ACH-000366,-0.08693755297830001
ACH-000368,0.115646592787
ACH-000374,0.251624412988
ACH-000375,-0.00302591308662
ACH-000376,0.139585863252
ACH-000381,0.045256799097499995
ACH-000383,0.0501652825483
ACH-000387,0.24588944095100002
ACH-000389,-0.0650141466796
ACH-000390,0.117415947224
ACH-000393,0.00959697071418
ACH-000395,0.100760318511
ACH-000397,-0.034278558067799995
ACH-000401,0.0939977912572
ACH-000402,0.12415556450899999
ACH-000403,0.21409197190600002
ACH-000404,0.227534844393
ACH-000406,0.168742490825
ACH-000407,0.14138959697200001
ACH-000408,0.0724668300585
ACH-000410,0.221151209489
ACH-000411,0.0808449816925
ACH-000414,0.0824671474771
ACH-000415,0.23029983295200002
ACH-000416,0.116645639255
ACH-000420,0.152035074537
ACH-000421,0.16025194487
ACH-000424,0.399500750416
ACH-000425,0.09752198243860001
ACH-000426,0.122539873804
ACH-000427,0.10502272436799999
ACH-000433,0.248914235359
ACH-000436,0.00217733895662
ACH-000444,0.0693220858171
ACH-000445,0.323877156702
ACH-000448,0.110401771866
ACH-000450,0.0878612387628
ACH-000452,0.201326348911
ACH-000454,0.197715206898
ACH-000458,0.321685905373
ACH-000459,0.175872992166
ACH-000460,0.143441082827
ACH-000461,0.153580268356
ACH-000463,-0.0667671961813
ACH-000464,0.202800253702
ACH-000466,-0.037639365484500004
ACH-000467,0.274032388315
ACH-000468,0.224579491195
ACH-000469,0.0352600875343
ACH-000470,0.0843602089439
ACH-000471,-0.0407914540584
ACH-000472,0.0759525346819
ACH-000473,0.266950571486
ACH-000475,0.17212233360100002
ACH-000476,-0.117272418479
ACH-000477,-0.08593468484030001
ACH-000480,0.161425777657
ACH-000481,0.0544095856936
ACH-000483,-0.0199678100075
ACH-000484,0.029375023209799997
ACH-000485,-0.031541422624
ACH-000486,0.013287579998700002
ACH-000487,0.00670226299919
ACH-000488,0.145156702111
ACH-000490,0.0495586546681
ACH-000491,0.0868662044389
ACH-000495,0.231723441718
ACH-000496,0.169254475727
ACH-000499,-0.023596700350599995
ACH-000500,0.397122670981
ACH-000502,0.116167296197
ACH-000503,0.22880282868700003
ACH-000505,0.118081848894
ACH-000507,-0.0384260195643
ACH-000510,0.0852889293279
ACH-000511,0.0172928379516
ACH-000512,0.374885726336
ACH-000516,0.124687554364
ACH-000517,0.13738047558299998
ACH-000518,0.1942045273
ACH-000520,0.0378921460296
ACH-000521,0.228971109873
ACH-000522,0.212603188393
