,BGLAP (632)
ACH-000721,-0.18839288366300003
ACH-000724,-0.261857839524
ACH-000725,-0.221474521015
ACH-000732,-0.177165679052
ACH-000734,-0.134054849962
ACH-000735,-0.118104565807
ACH-000736,-0.023575236397199998
ACH-000738,0.0512373312459
ACH-000746,0.0137943129038
ACH-000747,-0.09684733549510001
ACH-000748,-0.028294250953199998
ACH-000753,-0.21573546040199998
ACH-000756,-0.22450130535799998
ACH-000757,-0.27233767206099996
ACH-000758,-0.0699604387875
ACH-000760,0.0122252940259
ACH-000763,0.0531099896749
ACH-000764,-0.12656106148600002
ACH-000765,-0.0882173889184
ACH-000766,-0.07643842600060001
ACH-000767,-0.26116695371599996
ACH-000768,0.00023919581236599998
ACH-000769,-0.0311420354642
ACH-000770,-0.0318800559131
ACH-000771,-0.0455178364095
ACH-000773,0.0300829479532
ACH-000776,-0.168848001375
ACH-000777,-0.127793654648
ACH-000778,-0.0932627806107
ACH-000781,-0.0786266692063
ACH-000782,0.322065468006
ACH-000783,-0.229543575768
ACH-000784,0.0301422725967
ACH-000785,0.0026430473603000003
ACH-000787,0.021501830222900004
ACH-000788,-0.046347734368099996
ACH-000791,-0.14009150425300002
ACH-000792,-0.08400755976189998
ACH-000794,-0.0587015442908
ACH-000796,-0.161314590101
ACH-000799,0.1378704246
ACH-000800,0.170986942988
ACH-000802,-0.0288825730416
ACH-000804,-0.337915734472
ACH-000805,-0.15206437430400002
ACH-000809,0.0136187516989
ACH-000810,-0.237398244309
ACH-000811,-0.25287132344
ACH-000817,-0.08606887578710001
ACH-000819,-0.125753499732
ACH-000820,-0.022348625674400005
ACH-000821,-0.120161215546
ACH-000822,-0.176195625503
ACH-000823,-0.11477977783
ACH-000824,-0.256107619602
ACH-000827,-0.159619438902
ACH-000829,0.0499336752214
ACH-000831,0.039015818805800004
ACH-000832,-0.021230432262
ACH-000833,-0.169175828011
ACH-000834,0.0920294188641
ACH-000835,-0.0085200144331
ACH-000836,-0.178986283941
ACH-000837,-0.0302267784325
ACH-000838,-0.0387011313521
ACH-000839,-0.0274938375717
ACH-000840,0.213752974016
ACH-000841,0.0284605186964
ACH-000843,-0.0938568176046
ACH-000846,-0.0446252644059
ACH-000847,0.213202901615
ACH-000848,-0.0402508149852
ACH-000849,0.035427815281300006
ACH-000851,0.0221915056127
ACH-000855,-0.290011322368
ACH-000856,-0.044020548048
ACH-000858,-0.027518695014999997
ACH-000859,-0.0593397115309
ACH-000861,-0.100905820449
ACH-000862,0.054769990058000005
ACH-000865,-0.0910032460062
ACH-000866,-0.128527902457
ACH-000867,-0.129262524713
ACH-000869,-0.00751792747876
ACH-000872,0.110402067883
ACH-000873,-0.07100725047129999
ACH-000876,0.0996262432505
ACH-000878,0.0353298383181
ACH-000880,-0.36768387876900005
ACH-000881,-0.101712374934
ACH-000882,-0.0509096972664
ACH-000884,-0.049741149641199994
ACH-000885,0.0133031317857
ACH-000887,-0.16024845135
ACH-000888,-0.14054596847200002
ACH-000889,-0.12844467554400002
ACH-000890,0.10526124488
ACH-000896,-0.11282805688200001
ACH-000898,-0.0753561638791
ACH-000900,-0.401072484731
ACH-000901,-0.0728326433023
ACH-000905,-0.216273774788
ACH-000906,0.0204644079619
ACH-000907,-0.0767452088017
ACH-000910,-0.093512724911
ACH-000911,-0.074913274404
ACH-000912,-0.097806998946
ACH-000913,0.0253693713527
ACH-000915,-0.120043632654
ACH-000916,-0.410078320013
ACH-000917,-0.0831035818215
ACH-000921,-0.18987984522
ACH-000924,-0.0291308448061
ACH-000926,-0.21485551484
ACH-000928,-0.124903062789
ACH-000929,-0.334283086879
ACH-000932,0.015696184844
ACH-000935,-0.22258560779800002
ACH-000936,-0.135663148124
ACH-000937,-0.009130323009790001
ACH-000938,-0.112038303268
ACH-000939,0.00538673089227
ACH-000941,-0.189521187737
ACH-000943,-0.0376819378859
ACH-000946,0.0036684265262399997
ACH-000947,-0.10705145038999998
ACH-000948,-0.13657657339
ACH-000950,-0.0361953278735
ACH-000953,-0.30002413685
ACH-000957,-0.126340035659
ACH-000958,-0.327854255529
ACH-000960,-0.000830996681534
ACH-000963,0.126833307742
ACH-000968,0.009066124269990001
ACH-000969,-0.35102513227399995
ACH-000973,-0.114476453479
ACH-000974,-0.138045326415
ACH-000975,-0.132746274495
ACH-000976,0.0819881722711
ACH-000978,-0.281674359822
ACH-000980,-0.0402242343535
ACH-000984,-0.183994551062
ACH-000986,-0.21444917517099998
ACH-000988,0.053518097176099996
ACH-000993,-0.115153839048
ACH-000994,-0.181676035673
ACH-000996,-0.24498029814
ACH-001001,-0.0225417578211
ACH-001020,-0.08191044086680001
ACH-001028,-0.310053483437
ACH-001031,-0.035911878034699994
ACH-001038,-0.0924248051742
ACH-001048,-0.0210238303291
ACH-001050,0.00258721227935
ACH-001053,-0.0920737042062
ACH-001054,-0.0815083302662
ACH-001061,-0.16586781176100002
ACH-001067,-0.0337567669773
ACH-001075,-0.00039961361040900004
ACH-001096,-0.239908399104
ACH-001128,-0.0489911027568
ACH-001134,-0.0909680830593
ACH-001151,-0.0987251268847
ACH-001163,-0.20802507106899998
ACH-001164,-0.264264839169
ACH-001173,0.0375504855107
ACH-001183,0.0420638816189
ACH-001184,0.084165765483
ACH-001190,-0.0632724731061
ACH-001192,-0.18730462546799997
ACH-001193,0.0371308530493
ACH-001196,-0.0411139047776
ACH-001197,-0.29877353270199997
ACH-001205,-0.220385472479
ACH-001211,-0.184827826899
ACH-001212,-0.146673890248
ACH-001228,-0.18965005130600002
ACH-001232,0.027113698768400002
ACH-001239,-0.0323373929332
ACH-001274,0.0811136749459
ACH-001275,0.016923958492100002
ACH-001277,-0.338274010743
ACH-001278,-0.109842018213
ACH-001280,-0.22250302575999997
ACH-001283,-0.241369222099
ACH-001289,0.0543419161467
ACH-001295,0.05014661092159999
ACH-001300,0.055163350517499994
ACH-001301,-0.191756360264
ACH-001302,-0.147899060523
ACH-001303,-0.132733816754
ACH-001306,-0.185789975409
ACH-001318,-0.213631560377
ACH-001322,-0.243217476737
ACH-001328,-0.13319208066299998
ACH-001332,-0.299590123676
ACH-001333,-0.12232631867799999
ACH-001336,-0.23213680755600002
ACH-001340,-0.10187964565400001
ACH-001346,-0.169097180548
ACH-001353,-0.21173112073699998
ACH-001354,-0.0139192327682
ACH-001367,0.0738708555474
ACH-001368,-0.0853218618324
ACH-001374,-0.069166379313
ACH-001375,-0.148140718475
ACH-001377,-0.015097880140500002
ACH-001380,-0.07924167709680001
ACH-001391,0.162432370444
ACH-001407,0.00913834363078
ACH-001408,-0.06123974322240001
ACH-001413,-0.09724766901620001
ACH-001430,0.0657758257827
ACH-001431,-0.0253421592043
ACH-001450,0.120013686795
ACH-001496,-0.0764828577824
ACH-001500,-0.205518545699
ACH-001521,0.0396153538821
ACH-001523,-0.074889083001
ACH-001532,0.0153887701259
ACH-001536,-0.0248356233404
ACH-001550,0.055516535389800004
ACH-001552,-0.07244137088989999
ACH-001554,0.070062651941
ACH-001645,-0.062894940002
ACH-001654,0.0118298455045
ACH-001715,0.192974762191
ACH-001735,0.0289698237566
ACH-001736,-0.0455083408364
ACH-001737,0.35379084912500003
ACH-001740,-0.047626217451800006
ACH-001745,0.214154417863
ACH-001750,0.11503485977
ACH-001765,-0.184380722694
ACH-001956,-0.165409692507
ACH-001957,-0.110338812193
