,FZR1 (51343)
ACH-000619,0.110420431153
ACH-000620,-0.365272689233
ACH-000621,-0.896154731179
ACH-000622,-0.187747736854
ACH-000623,0.045651607715
ACH-000624,-0.607258827933
ACH-000627,-0.834026912096
ACH-000630,-0.687980705565
ACH-000632,-0.544460258754
ACH-000633,-0.197930830063
ACH-000637,-0.744082703505
ACH-000638,0.145459758435
ACH-000646,0.2976259619
ACH-000647,-0.240525763679
ACH-000648,-0.22220599944299999
ACH-000649,-0.29784876619600004
ACH-000651,-0.20342697191300002
ACH-000652,-0.069218924735
ACH-000653,-0.258683029196
ACH-000657,-0.38943671299800003
ACH-000658,-0.0632623354959
ACH-000661,0.286747555474
ACH-000662,-0.336455158719
ACH-000663,-0.314175877301
ACH-000665,-0.321303237513
ACH-000671,-0.13020168655300002
ACH-000673,-0.0614827406046
ACH-000676,-0.312135561814
ACH-000677,-0.0423367122214
ACH-000681,-0.0722167939526
ACH-000682,-0.43830462545000004
ACH-000683,0.073929380235
ACH-000684,-0.703972847692
ACH-000688,-1.12371729763
ACH-000693,-0.159912550833
ACH-000694,-0.09890606799139999
ACH-000695,-0.507083486655
ACH-000696,-0.29712601073399997
ACH-000697,-0.21315082772500002
ACH-000699,-0.567371563069
ACH-000701,0.262738244189
ACH-000706,0.0535673783677
ACH-000711,-0.306571540441
ACH-000713,-0.25311937742400004
ACH-000714,0.03147983828940001
ACH-000718,-0.0228490756648
ACH-000720,0.10534252296
ACH-000721,-0.8202467769600001
ACH-000724,-0.29283635700800004
ACH-000725,-0.7512053243369999
ACH-000732,-0.47235161476899995
ACH-000734,-0.42026651108999996
ACH-000735,0.309225357835
ACH-000736,-0.10465394002100001
ACH-000738,-0.390740505229
ACH-000746,-0.00859672292198
ACH-000747,-0.208364628048
ACH-000748,0.122961301587
ACH-000753,-0.332825684154
ACH-000756,-0.256675830052
ACH-000757,-0.340310709868
ACH-000758,-0.156070214718
ACH-000760,0.0985999581367
ACH-000763,0.0165579218962
ACH-000764,-0.34990920693800004
ACH-000765,0.0808292777868
ACH-000766,-0.325892908229
ACH-000767,0.415330450348
ACH-000768,-0.334493172296
ACH-000769,0.019472880828
ACH-000770,-0.15905419365700002
ACH-000771,-0.261601619728
ACH-000773,0.0366172132439
ACH-000776,-0.0420920585317
ACH-000777,-0.47396765567599997
ACH-000778,-0.136069685469
ACH-000781,-0.06933544701380001
ACH-000782,-0.234495691133
ACH-000783,-0.646810053864
ACH-000784,-0.542758485787
ACH-000785,-0.718834467437
ACH-000787,-0.580897358765
ACH-000788,0.141738517098
ACH-000791,-0.18554516206500002
ACH-000792,-0.51819910008
ACH-000794,-0.236593542986
ACH-000796,-0.282488932267
ACH-000799,-0.134215304832
ACH-000800,-0.302764492035
ACH-000802,-0.28010447573
ACH-000804,-0.650709977483
ACH-000805,-0.20829547094999998
ACH-000809,-0.313693294922
ACH-000810,0.111189915863
ACH-000811,-1.0129704640200001
ACH-000817,0.40503218693000004
ACH-000819,-0.719485681461
ACH-000820,-0.187931874956
ACH-000821,-0.16821943301
ACH-000822,0.0400996233022
ACH-000823,-0.23451724816
ACH-000824,-0.14034221174699998
ACH-000827,-0.0219090451679
ACH-000829,-0.55481581752
ACH-000831,-0.134526797985
ACH-000832,-0.464418303989
ACH-000833,-0.286349900632
ACH-000834,0.333503011621
ACH-000835,-0.23252562325399997
ACH-000836,-0.329938062656
ACH-000837,-0.338108070836
ACH-000838,0.4379176437100001
ACH-000839,-0.141390555719
ACH-000840,-0.406157007429
ACH-000841,-0.27445188285
ACH-000843,-0.50447205963
ACH-000846,-0.0989211556435
ACH-000847,-0.08834537964610001
ACH-000848,-0.2863606883
ACH-000849,0.0441130631214
ACH-000851,-0.7455315349609999
ACH-000855,-0.152728502447
ACH-000856,-0.614428191626
ACH-000858,0.0485418702116
ACH-000859,-0.229521521999
ACH-000861,-0.18419715235300002
ACH-000862,-0.583281315612
ACH-000865,-0.196728083257
ACH-000866,-0.605970761285
ACH-000867,-0.021450680654700002
ACH-000869,-0.269380098093
ACH-000872,-0.633489418156
ACH-000873,-0.231261949375
ACH-000876,-0.346403277765
ACH-000878,-0.647749360332
ACH-000880,-0.110997823074
ACH-000881,-0.100729214069
ACH-000882,-0.6484382093819999
ACH-000884,-0.388803397477
ACH-000885,-0.445610689317
ACH-000887,-0.07505500298550001
ACH-000888,-0.171694431782
ACH-000889,-0.260079713609
ACH-000890,-0.44559207968500003
ACH-000896,-0.08650189726749999
ACH-000898,-0.431542190161
ACH-000900,-0.619463049613
ACH-000901,-0.389858690975
ACH-000905,0.401814545109
ACH-000906,-0.6733823551739999
ACH-000907,-0.37349287269500003
ACH-000910,-0.17860000708299997
ACH-000911,-0.437179439365
ACH-000912,-0.378997891616
ACH-000913,0.40449708148900004
ACH-000915,-0.5168640646630001
ACH-000916,0.132475423729
ACH-000917,-0.0904893684402
ACH-000921,-0.501462628089
ACH-000924,0.199855648567
ACH-000926,0.052705741166699994
ACH-000928,-0.523400071998
ACH-000929,0.0415213259305
ACH-000932,-0.7539692020090001
ACH-000935,-0.783026488757
ACH-000936,-0.41484553047300005
ACH-000937,-0.24196605015500003
ACH-000938,0.00846999274152
ACH-000939,-0.440222838751
ACH-000941,-0.214365178809
ACH-000943,-0.397417780737
ACH-000946,-0.136363757789
ACH-000947,0.122942616664
ACH-000948,-0.211367270042
ACH-000950,-0.552412510342
ACH-000953,-0.7230584018289999
ACH-000957,0.154562621722
ACH-000958,0.15371335257000002
ACH-000960,-0.20575987001200002
ACH-000963,-0.0150858431976
ACH-000968,-0.397037411914
ACH-000969,-0.0913216726867
ACH-000973,0.0310246816878
ACH-000974,-0.431737473794
ACH-000975,-0.632772476536
ACH-000976,0.260964933622
ACH-000978,-0.396319518218
ACH-000980,-0.7272437257790001
ACH-000984,-0.425378157731
ACH-000986,-0.52904855612
ACH-000988,0.146962464118
ACH-000993,0.171769368482
ACH-000994,-0.420297460403
ACH-000996,-0.435089071489
ACH-001001,-0.008692216634870001
ACH-001020,-0.498860951818
ACH-001028,0.157990463308
ACH-001031,-0.138669709723
ACH-001038,-0.0805498574843
ACH-001048,-0.19871283187199998
ACH-001050,-0.592115473582
ACH-001053,-0.366741509044
ACH-001054,-0.252057002039
ACH-001061,-0.301242536065
ACH-001067,-0.473736935939
ACH-001075,-0.0479047522118
ACH-001096,-0.080458788781
ACH-001128,-0.452024282062
ACH-001134,-0.154263500818
ACH-001151,0.019039228079
ACH-001163,-0.017638870173
ACH-001164,0.15125173204000003
ACH-001173,-0.5031543132949999
ACH-001183,-0.21102936238699999
ACH-001184,-0.33981658877400006
ACH-001190,-0.11318193180299999
ACH-001192,0.28997946217
ACH-001193,-0.120369908236
ACH-001196,-0.0798034883409
ACH-001197,-0.378976352122
ACH-001205,-0.053450919911000004
ACH-001211,-0.315594475454
ACH-001212,-0.312176172553
ACH-001228,-0.263522768932
ACH-001232,-0.296785006147
ACH-001239,-0.306429552881
ACH-001274,-0.58390697092
ACH-001275,-0.347756488986
ACH-001277,0.047286075369899996
ACH-001278,-0.5926691979450001
ACH-001280,-0.814859107349
ACH-001283,-0.0419716410488
ACH-001289,-0.40707051124300003
ACH-001295,0.18505700954999998
ACH-001300,-0.37466574721
ACH-001301,-0.5583255505179999
ACH-001302,-0.45419070526999994
ACH-001303,-0.475365658906
ACH-001306,-0.635364426302
ACH-001318,-0.46686014978999996
ACH-001322,0.173473253606
ACH-001328,-0.29735578677499996
ACH-001332,0.08809009502779999
ACH-001333,-0.528334414986
ACH-001336,-0.132665900382
ACH-001340,-0.329490628048
ACH-001346,-0.0670294751274
ACH-001353,0.420442389447
ACH-001354,-0.22109318863000002
ACH-001367,0.0203882749643
ACH-001368,-0.307058326696
ACH-001374,-0.22270446585200002
ACH-001375,-0.208649052734
ACH-001377,-0.122233767884
ACH-001380,-0.14794218659800001
ACH-001391,-0.492383032055
ACH-001407,0.00720213738561
ACH-001408,-0.8143369864200001
ACH-001413,-0.473978142397
ACH-001430,-0.308337891847
ACH-001431,-0.260449237694
ACH-001450,-0.399038866506
ACH-001496,-0.361338310136
ACH-001500,-0.762478973982
ACH-001521,-0.218697531701
ACH-001523,-0.133511825518
ACH-001532,-0.0826799433121
ACH-001536,0.0259520171834
ACH-001550,0.16840287988299998
ACH-001552,-0.378748491069
ACH-001554,-0.0155543078741
ACH-001645,-0.26837528939800004
ACH-001654,-0.25117176986900003
ACH-001715,-0.620045911453
ACH-001735,-0.0910724928043
ACH-001736,-0.118794840062
ACH-001737,-0.293197978967
ACH-001740,-0.7001865068619999
ACH-001745,-0.40959542822300005
ACH-001750,-0.558000271421
ACH-001765,-0.768040084197
ACH-001956,-0.327160129617
ACH-001957,-0.0729535954782
