,HARBI1 (283254)
ACH-001328,-0.23295561774700002
ACH-001332,-0.34481165238600003
ACH-001333,-0.220291230436
ACH-001336,-0.152751677956
ACH-001340,-0.28285764348000003
ACH-001346,-0.0800412913338
ACH-001353,-0.125895323823
ACH-001354,-0.11382476013800001
ACH-001367,-0.302778577978
ACH-001368,-0.08041304616469999
ACH-001374,-0.138539555386
ACH-001375,-0.255358693295
ACH-001377,0.0157756519276
ACH-001380,-0.009072109231659999
ACH-001391,-0.12480904067700001
ACH-001407,-0.233871815614
ACH-001408,-0.191590239692
ACH-001413,-0.0280205796523
ACH-001430,0.229702333677
ACH-001431,-0.39052187760300006
ACH-001450,-0.118778234639
ACH-001496,-0.042279531392400004
ACH-001500,0.0163727186428
ACH-001521,-0.305803979773
ACH-001523,-0.03810411585430001
ACH-001532,-0.0618500715633
ACH-001536,0.0021480792244499996
ACH-001550,-0.21757379319200001
ACH-001552,0.0950865982673
ACH-001554,-0.166565364083
ACH-001645,-0.14249728177100002
ACH-001654,-0.149945176729
ACH-001715,-0.261778338258
ACH-001735,-0.132261070647
ACH-001736,-0.157638957625
ACH-001737,-0.131025949046
ACH-001740,-0.311930010094
ACH-001745,-0.429408613034
ACH-001750,-0.0168788023605
ACH-001765,-0.170843007744
ACH-001956,-0.275668550136
ACH-001957,-0.167749052978
