,AMH (268)
ACH-000537,0.0385921479148
ACH-000541,0.33902938614699996
ACH-000542,0.0970244157363
ACH-000544,0.10142203337899999
ACH-000545,0.0916850184045
ACH-000547,0.06759501418769999
ACH-000548,-0.052356502236000003
ACH-000549,-0.20536493649700002
ACH-000550,0.207123796723
ACH-000552,-0.0022878763920300004
ACH-000556,0.0683369454821
ACH-000557,0.0943823169166
ACH-000570,0.11521722651900002
ACH-000571,0.0027979271490300005
ACH-000573,-0.079814864552
ACH-000576,0.08665148387910002
ACH-000580,-0.021414385968
ACH-000584,0.0279599226927
ACH-000585,0.11361793611
ACH-000588,0.202805186289
ACH-000589,-0.106900157462
ACH-000591,0.0462693164199
ACH-000593,0.018651154069
ACH-000600,0.11491666985099999
ACH-000601,0.04089623968930001
ACH-000604,0.326756444087
ACH-000605,0.00209716897506
ACH-000606,-0.0683872768736
ACH-000608,0.0608203038695
ACH-000614,2.07782690062e-05
ACH-000616,0.178288476849
ACH-000618,0.0544912838845
ACH-000619,0.0639886999827
ACH-000620,-0.0542018026289
ACH-000621,0.0690768789234
ACH-000622,0.0491313352202
ACH-000623,0.00129569381825
ACH-000624,0.0232115593979
ACH-000627,0.0691752686254
ACH-000630,0.0516992329758
ACH-000632,-0.133546102306
ACH-000633,-0.08596193797059999
ACH-000637,0.11085451646700001
ACH-000638,0.0164761058366
ACH-000646,-0.20823881699400001
ACH-000647,0.0749814947582
ACH-000648,0.054033993910300004
ACH-000649,0.0677321317377
ACH-000651,0.05543262981909999
ACH-000652,0.125162665359
ACH-000653,0.0231546583197
ACH-000657,-0.0199131537542
ACH-000658,0.020637512714499998
ACH-000661,-0.0179723820124
ACH-000662,0.147597612414
ACH-000663,-0.106146801229
ACH-000665,-0.0898158493068
ACH-000671,0.0277054807439
ACH-000673,0.127176276104
ACH-000676,0.117241243666
ACH-000677,-0.0175607722355
ACH-000681,0.0685785308106
ACH-000682,-0.0294236362882
ACH-000683,-0.107425187391
ACH-000684,0.148887981123
ACH-000688,0.043089135214400005
ACH-000693,0.0110329925685
ACH-000694,-0.0239704558904
ACH-000695,-0.1327515247
ACH-000696,0.0553895584574
ACH-000697,-0.017403712959400002
ACH-000699,0.082665071924
ACH-000701,-0.012567107902500001
ACH-000706,-0.133474938103
ACH-000711,-0.00108173478145
ACH-000713,-0.06905174756139999
ACH-000714,-0.0642548048825
ACH-000718,0.180371091456
ACH-000720,0.0612730966088
ACH-000721,0.0794333761041
ACH-000724,0.0308583593788
ACH-000725,0.0663879914942
ACH-000732,-0.0663051081561
ACH-000734,-0.0667179149055
ACH-000735,-0.0650083228414
ACH-000736,-0.054494320680800006
ACH-000738,0.09318068373810001
ACH-000746,0.023934699898599997
ACH-000747,0.0403731037228
ACH-000748,0.00937429805055
ACH-000753,0.0167206047094
ACH-000756,0.0838761176655
ACH-000757,0.00376634645533
ACH-000758,-0.0107202074911
ACH-000760,0.016232743054500003
ACH-000763,0.201143283398
ACH-000764,0.224995227216
ACH-000765,0.027484815779
ACH-000766,0.0585422054682
ACH-000767,-0.129199964145
ACH-000768,-0.0046269771810500005
ACH-000769,-0.006511640638869999
ACH-000770,0.096260810267
ACH-000771,-0.009170402063950001
ACH-000773,0.050021469074099996
ACH-000776,0.0676293693904
ACH-000777,0.015324521303900001
ACH-000778,-0.020588270372500002
ACH-000781,-0.0191967932257
ACH-000782,0.175962008343
ACH-000783,0.0474028754453
ACH-000784,0.08108682496510002
ACH-000785,-0.0631939272836
ACH-000787,0.207831559859
ACH-000788,-0.23309663396699998
ACH-000791,0.0950315096354
ACH-000792,0.05029976578369999
ACH-000794,0.045209204326300004
ACH-000796,-0.021180558936299998
ACH-000799,0.070451156768
ACH-000800,-0.374513520254
ACH-000802,-0.0311455978849
ACH-000804,0.282519410302
ACH-000805,-0.0018770844374000001
ACH-000809,-0.0874938620565
ACH-000810,0.376063001689
ACH-000811,-0.051165552966400005
ACH-000817,0.188748519933
ACH-000819,-0.011766662065399999
ACH-000820,-0.105826345434
ACH-000821,-0.325848713718
ACH-000822,0.0893402834181
ACH-000823,0.0439558255241
ACH-000824,0.09863932791510001
ACH-000827,-0.026608610587
ACH-000829,0.19192156456300002
ACH-000831,-0.07209009994099999
ACH-000832,0.125453712072
ACH-000833,0.057740193495500004
ACH-000834,0.0178986292132
ACH-000835,-0.0579804705181
ACH-000836,-0.023074827365900004
ACH-000837,0.00624545268562
ACH-000838,0.0182286932503
ACH-000839,0.12344522321399999
ACH-000840,0.174705248761
ACH-000841,-0.117518645353
ACH-000843,0.0432483484184
ACH-000846,0.176661218328
ACH-000847,0.0342840315748
ACH-000848,0.019392264034099996
ACH-000849,0.0606423635855
ACH-000851,0.0726814042533
ACH-000855,0.0133404821645
ACH-000856,0.034196548686299996
ACH-000858,-0.06767719640240001
ACH-000859,-0.0774021699777
ACH-000861,-0.0653111303351
ACH-000862,0.09866127667449999
ACH-000865,-0.0057370978826299995
ACH-000866,0.0325658272731
ACH-000867,-0.015685779426200003
ACH-000869,-0.015777190442
ACH-000872,-0.0904607332783
ACH-000873,-0.131916253465
ACH-000876,0.0585895518061
ACH-000878,0.09849716817019999
ACH-000880,-0.0876277534828
ACH-000881,0.0647679103545
ACH-000882,-0.05100943077740001
ACH-000884,0.0923921937264
ACH-000885,0.1568594007
ACH-000887,-0.05245214580680001
ACH-000888,0.122407608757
ACH-000889,0.044616254753999995
ACH-000890,0.11061486011600001
ACH-000896,-0.0359273711578
ACH-000898,-0.106617064389
ACH-000900,-0.0858183570437
ACH-000901,0.026472821382499998
ACH-000905,0.14134894936200001
ACH-000906,0.0238936361985
ACH-000907,0.226445029625
ACH-000910,-0.012084930030499999
ACH-000911,0.060234821050800004
ACH-000912,0.070140562499
ACH-000913,-0.035078451346199996
ACH-000915,0.0183043895667
ACH-000916,0.0108858385829
ACH-000917,-0.0765728710859
ACH-000921,0.031752796907
ACH-000924,-0.0406692891075
ACH-000926,0.07491257622639999
ACH-000928,0.204453860905
ACH-000929,-0.131832278271
ACH-000932,-0.0406134534425
ACH-000935,0.0666260182829
ACH-000936,-0.0412114701481
ACH-000937,0.0068592784038800005
ACH-000938,0.102799142534
ACH-000939,0.117147095196
ACH-000941,-0.0890412412901
ACH-000943,0.048276767344100004
