,SOBP (55084)
ACH-000805,-0.181902526111
ACH-000809,-0.0771736956043
ACH-000810,-0.21251046070500001
ACH-000811,0.0474092976624
ACH-000817,-0.24117265180300002
ACH-000819,-0.12432971344499999
ACH-000820,-0.178373862353
ACH-000821,-0.274256730139
ACH-000822,-0.10346997905099999
ACH-000823,-0.034345309141
ACH-000824,0.0145095041729
ACH-000827,0.00585938161649
ACH-000829,-0.026432661345
ACH-000831,-0.0238701763105
ACH-000832,-0.109172297088
ACH-000833,0.101052728897
ACH-000834,-0.252339795293
ACH-000835,0.11259986556500001
ACH-000836,-0.040420502409099994
ACH-000837,-0.0484460061845
ACH-000838,-0.189834895644
ACH-000839,-0.179251941089
ACH-000840,-0.057659102525899994
ACH-000841,-0.08125427600360001
ACH-000843,0.0729306771223
ACH-000846,0.003938417492929999
ACH-000847,0.049542321578
ACH-000848,0.129275367982
ACH-000849,-0.0844556233516
ACH-000851,-0.17805822219599998
ACH-000855,0.106831458318
ACH-000856,-0.18401514962
ACH-000858,-0.00730836438858
ACH-000859,0.0776770471287
ACH-000861,-0.12058494037999999
ACH-000862,-0.0561959600751
ACH-000865,0.0120103723606
ACH-000866,0.052619373963199996
ACH-000867,-0.177295933015
ACH-000869,-0.09557027443160002
ACH-000872,-0.041289898589699996
ACH-000873,-0.0632189325531
ACH-000876,0.00517824662788
ACH-000878,-0.0243920397812
ACH-000880,0.18509723601300002
ACH-000881,-0.210027251527
ACH-000882,-0.102917057467
ACH-000884,-0.119518338731
ACH-000885,-0.19771513599100002
ACH-000887,-0.042016106745
ACH-000888,-0.139227319502
ACH-000889,-0.11175989674699999
ACH-000890,0.0599222453746
ACH-000896,0.0057572225486600005
ACH-000898,-0.214471733087
ACH-000900,0.05768516615669999
ACH-000901,0.0433277125316
ACH-000905,0.058717920888099996
ACH-000906,-0.060893803256900005
ACH-000907,0.10033333048800001
ACH-000910,0.0535699220835
ACH-000911,-0.11417672754899999
ACH-000912,-0.0218488805222
ACH-000913,-0.293433154357
ACH-000915,0.0699089175891
ACH-000916,0.561294570491
ACH-000917,-0.00064515938877
ACH-000921,0.00500147981344
ACH-000924,-0.0510965725378
ACH-000926,0.043024386090400005
ACH-000928,0.263198787004
ACH-000929,0.00325930387345
ACH-000932,0.154650710568
ACH-000935,-0.242058357537
ACH-000936,-0.0390389634199
ACH-000937,-0.0482340081385
ACH-000938,-0.114327078302
ACH-000939,-0.142742077817
ACH-000941,-0.14243640943900002
ACH-000943,-0.0378892932436
ACH-000946,0.103073263234
ACH-000947,-0.0468355094685
ACH-000948,0.0797886613272
ACH-000950,0.0159255391767
ACH-000953,0.0158528025072
ACH-000957,-0.0704097179207
ACH-000958,-0.288395391026
ACH-000960,0.011042373623799999
ACH-000963,-0.470831992016
ACH-000968,-0.194899224439
ACH-000969,-0.185703787018
ACH-000973,0.0151540564137
ACH-000974,-0.0405337515856
ACH-000975,0.07759545825469999
ACH-000976,-0.06360949976750001
ACH-000978,-0.164026183349
ACH-000980,-0.12965963892100002
ACH-000984,0.0388413051135
ACH-000986,-0.0671049949274
ACH-000988,-0.050476360906300005
ACH-000993,-0.13567335949
ACH-000994,-0.105258793431
ACH-000996,-0.143878257307
ACH-001001,-0.11335877239600001
ACH-001020,-0.0363053149764
ACH-001028,-0.0183945058155
ACH-001031,0.0899574035907
ACH-001038,-0.114256586411
ACH-001048,-0.067156159342
ACH-001050,0.0151802641646
ACH-001053,-0.018486058836599997
ACH-001054,0.18062971602000003
ACH-001061,0.0422783458146
ACH-001067,0.0473999717559
ACH-001075,0.24080574324
ACH-001096,0.04426781879509999
ACH-001128,-0.0775907388398
ACH-001134,-0.09791944925180002
ACH-001151,-0.017871092202299998
ACH-001163,-0.17865548973499998
ACH-001164,-0.011344817047899998
ACH-001173,0.0124870776957
ACH-001183,0.140963103604
ACH-001184,-0.119788839651
ACH-001190,0.00572414600444
ACH-001192,-0.110229912641
ACH-001193,0.010300268064799998
ACH-001196,-0.354740474773
ACH-001197,-0.0460721664106
ACH-001205,-0.11352135091900001
ACH-001211,0.0084903697299
ACH-001212,-0.00992487670406
ACH-001228,-0.378922236175
ACH-001232,-0.0189962061666
ACH-001239,0.0666472838535
ACH-001274,-0.0225408238447
ACH-001275,0.130480919231
ACH-001277,0.03855574217
ACH-001278,0.0699539838707
ACH-001280,0.0319610518664
ACH-001283,0.0210605547324
ACH-001289,-0.159585962195
ACH-001295,-0.121618261452
ACH-001300,-0.161852613455
ACH-001301,0.00562173809424
ACH-001302,0.0168467807753
ACH-001303,-0.0736220489806
ACH-001306,-0.034139725643199996
ACH-001318,0.0412017156641
ACH-001322,0.04867168586569999
ACH-001328,-0.0792607706898
ACH-001332,0.0600768164157
ACH-001333,-0.00743562233657
ACH-001336,-0.0688253099543
ACH-001340,-0.09100801347889999
ACH-001346,-0.018368779895099996
ACH-001353,-0.0902676787673
ACH-001354,-0.0338353553168
ACH-001367,0.22574371709899999
ACH-001368,-0.123632655075
ACH-001374,0.237425489472
ACH-001375,0.014862642958299999
ACH-001377,-0.0636663788081
ACH-001380,-0.046621465273400005
ACH-001391,-0.15083033466499998
ACH-001407,-0.0822752757652
ACH-001408,-0.0217664719289
ACH-001413,-0.0751312868439
ACH-001430,-0.36365906529299996
ACH-001431,0.200643046132
ACH-001450,-0.176389981928
ACH-001496,-0.0729532174318
ACH-001500,-0.0032529710114699998
ACH-001521,-0.0789814825279
ACH-001523,0.18631955683200002
ACH-001532,-0.134415806472
ACH-001536,-0.0603739837966
ACH-001550,-0.08549211726309999
ACH-001552,0.254924581248
ACH-001554,0.0772211534409
ACH-001645,-0.025661756532099997
ACH-001654,-0.0230589764893
ACH-001715,-0.185648518433
ACH-001735,-0.0249210547893
ACH-001736,-0.105870721755
ACH-001737,-0.40783844696000005
ACH-001740,0.031770619122
ACH-001745,-0.0170226141019
ACH-001750,-0.17701817889600002
ACH-001765,0.0338255296019
ACH-001956,-0.07811476080589999
ACH-001957,-0.0750802210038
