,SET (6418)
ACH-000227,-0.8833705163
ACH-000228,-0.505172535545
ACH-000231,-0.573595694715
ACH-000232,-0.550008480879
ACH-000233,-0.458598060858
ACH-000234,-0.72592448448
ACH-000235,-0.550825771655
ACH-000237,-0.60410392058
ACH-000238,-0.434604329748
ACH-000243,-0.164642482718
ACH-000244,-0.440549069902
ACH-000246,-0.753492064063
ACH-000248,-0.461000169138
ACH-000250,-0.654522113925
ACH-000251,-0.50550456514
ACH-000253,-0.324172265689
ACH-000255,-0.541482001609
ACH-000256,-0.5640559329779999
ACH-000257,-0.331812015017
ACH-000258,-0.515320494999
ACH-000259,-0.555568828217
ACH-000260,-0.470320593456
ACH-000261,-0.6269425022039999
ACH-000262,-0.553568262004
ACH-000263,-0.30848790962699996
ACH-000264,-0.5870247803459999
ACH-000265,-0.513457615063
ACH-000266,-0.539171694824
ACH-000272,-0.594088623009
ACH-000273,-0.40528000976499995
ACH-000274,-0.747989866082
ACH-000277,-0.603396494796
ACH-000278,-0.753264311012
ACH-000279,-0.49422330943400006
ACH-000280,-0.299694038552
ACH-000281,-0.16937579487799997
ACH-000288,-0.276907764602
ACH-000291,-0.479594126734
ACH-000293,-0.508959177528
ACH-000294,-0.0114420313529
ACH-000295,-0.279182252258
ACH-000296,-0.325097024237
ACH-000302,-0.271755302863
ACH-000304,-0.847394292355
ACH-000307,-0.22633796868
ACH-000308,-0.693667187412
ACH-000310,-0.7060945786759999
ACH-000311,-0.7140693223899999
ACH-000312,-0.432820257931
ACH-000315,-0.435385007582
ACH-000316,-0.55708902557
ACH-000317,-0.426699336734
ACH-000318,-0.563241007522
ACH-000319,-0.46504792895
ACH-000320,-0.438041346967
ACH-000322,-0.48770717504100003
ACH-000323,-0.801741177676
ACH-000324,-0.551159348066
ACH-000329,-0.554423703759
ACH-000330,-0.21817479269499998
ACH-000331,-0.343003269376
ACH-000332,-0.614853509627
ACH-000334,-0.555242817141
ACH-000335,-0.586034864597
ACH-000336,-0.38969706654700004
ACH-000337,-0.497741140543
ACH-000339,-0.53627590011
ACH-000341,-0.46320198551799996
ACH-000348,-0.506280975283
ACH-000350,-0.392347225762
ACH-000352,-0.47003251231700005
ACH-000356,-0.390895317778
ACH-000361,-0.494458205818
ACH-000362,-0.642181497999
ACH-000363,-0.5795653447029999
ACH-000364,-0.556428038657
ACH-000365,-0.552189092633
ACH-000366,-0.525845071945
ACH-000368,-0.41026530057099997
ACH-000374,-0.70354206594
ACH-000375,-0.127530308225
ACH-000376,-0.527857153127
ACH-000381,-0.531889136721
ACH-000383,-0.346274565642
ACH-000387,-0.5506380455659999
ACH-000389,-0.642215162101
ACH-000390,-0.391810026673
ACH-000393,-0.350688436773
ACH-000395,-0.5102704469470001
ACH-000397,-0.4048351611
ACH-000401,-0.39513247223700004
ACH-000402,-0.345932679979
ACH-000403,-0.619667494647
ACH-000404,-0.572725802501
ACH-000406,-0.263559617452
ACH-000407,-0.475308442843
ACH-000408,-0.22311753992
ACH-000410,-0.46214426018999993
ACH-000411,-0.784431541108
ACH-000414,-0.5813807996329999
ACH-000415,-0.280038359152
ACH-000416,-0.503721263992
ACH-000420,-0.325631100256
ACH-000421,-0.380133173339
ACH-000424,-0.367384175696
ACH-000425,-0.597387143504
ACH-000426,-0.190955406156
ACH-000427,-0.658054877636
ACH-000433,-0.13871509615
ACH-000436,-0.52123495046
ACH-000444,-0.409834416461
ACH-000445,-0.44159889791
ACH-000448,-0.523470863873
ACH-000450,-0.622511070149
ACH-000452,-0.45882314417099995
ACH-000454,-0.266459591186
ACH-000458,-0.417288567992
ACH-000459,-0.15777232353
ACH-000460,-0.572480807354
ACH-000461,-0.7548017743150001
ACH-000463,-0.482585308093
ACH-000464,-0.5765051783290001
ACH-000466,-0.5462170307249999
ACH-000467,-0.7014633278919999
ACH-000468,-0.329412752646
ACH-000469,-0.7803513960490001
ACH-000470,-0.6819424105419999
ACH-000471,-0.32007715925999997
ACH-000472,-0.459877485953
ACH-000473,-0.16819129303
ACH-000475,-0.665769357673
ACH-000476,-0.328094758336
ACH-000477,-0.574022104283
ACH-000480,-0.454875028078
ACH-000481,-0.6495511120449999
ACH-000483,-0.261392087841
ACH-000484,-0.35107312101599997
ACH-000485,-0.49469699273999995
ACH-000486,-0.42923209406900004
ACH-000487,-0.669296370839
ACH-000488,-0.360116547192
ACH-000490,-0.581333887059
ACH-000491,-0.64232357912
ACH-000495,-0.657076816563
ACH-000496,-0.406302873226
ACH-000499,-0.31021818611900004
ACH-000500,-0.5893491409839999
ACH-000502,-0.38599931743500004
ACH-000503,-0.44292083204300003
ACH-000505,-0.504323564945
ACH-000507,-0.564430600795
ACH-000510,-0.435953259534
ACH-000511,-0.422427881068
ACH-000512,-0.334958528109
ACH-000516,-0.765750380035
ACH-000517,-0.647683028027
ACH-000518,-0.40308457828500005
ACH-000520,-0.5273084251
ACH-000521,-0.523881997127
ACH-000522,-0.544257968024
ACH-000524,-0.47358897883199996
ACH-000527,-0.481748386513
ACH-000528,-0.36421750983400003
ACH-000537,-0.37033219836
ACH-000541,-1.00060488731
ACH-000542,-0.49484429167599997
ACH-000544,-0.512058900877
ACH-000545,-0.438247681968
ACH-000547,-0.5566484455430001
ACH-000548,-0.331566819566
ACH-000549,-0.661474440273
ACH-000550,-0.46429004905500004
ACH-000552,-0.475107758788
ACH-000556,-0.436640704299
ACH-000557,-0.571057502775
ACH-000570,-0.544703240427
ACH-000571,-0.370632059547
ACH-000573,-0.241726628603
ACH-000576,-0.722462701359
ACH-000580,-0.413845231266
ACH-000584,-0.37841866701800003
ACH-000585,-0.253652502306
ACH-000588,0.0160424725093
ACH-000589,-0.474047151028
ACH-000591,-0.32175131393899997
ACH-000593,-0.367725111796
ACH-000600,-0.582692535841
ACH-000601,-0.53052948433
ACH-000604,-0.40404946265
ACH-000605,-0.551369557603
ACH-000606,-0.43500146615
ACH-000608,-0.658834382716
ACH-000614,-0.8468534746520001
ACH-000616,-0.567055963112
ACH-000618,-0.46047181438699997
ACH-000619,-0.45473338067900004
ACH-000620,-0.283254884343
ACH-000621,-0.507366302421
ACH-000622,-0.575417514633
ACH-000623,-0.37411413890600004
ACH-000624,-0.379827854287
ACH-000627,-0.32555081786699996
ACH-000630,-0.43123107812600003
ACH-000632,-0.37224988963600003
ACH-000633,-0.217211869563
ACH-000637,-0.30824836318000004
ACH-000638,-0.505907531784
ACH-000646,-0.474355626352
ACH-000647,-0.566456123751
ACH-000648,-0.7365194479080001
ACH-000649,-0.491708766228
ACH-000651,-0.46336098441000007
ACH-000652,-0.38595005071000005
ACH-000653,-0.654435476345
ACH-000657,-0.44626693175399995
ACH-000658,-0.587849122004
ACH-000661,-0.509064028318
ACH-000662,-0.48850494351999996
ACH-000663,-0.491147281659
ACH-000665,-0.46856801193000003
ACH-000671,-0.351870713779
ACH-000673,-0.46827912815899997
ACH-000676,-0.32760280936
ACH-000677,-0.643184634921
ACH-000681,-0.437310662671
ACH-000682,-0.506806596357
ACH-000683,-0.524397105935
ACH-000684,-0.52059987423
ACH-000688,-0.475527699874
ACH-000693,-0.27870333171
ACH-000694,-0.32070649975000004
ACH-000695,-0.524313804227
ACH-000696,-0.501301130826
ACH-000697,-0.784962690564
ACH-000699,-0.44041669541199996
ACH-000701,-0.7341259656389999
ACH-000706,-0.379126814944
ACH-000711,-0.537704188717
ACH-000713,-0.48112971113499997
ACH-000714,-0.684387778302
ACH-000718,-0.708857142819
ACH-000720,-0.483760120339
ACH-000721,-0.477072514986
ACH-000724,-0.464411707455
ACH-000725,-0.674754868392
ACH-000732,-0.570746680367
ACH-000734,-0.33539338496300003
ACH-000735,-0.41360227923500004
ACH-000736,-0.307788019269
ACH-000738,-0.437030733234
ACH-000746,-0.245013041578
ACH-000747,-0.493678550547
ACH-000748,-0.376001931066
ACH-000753,-0.228470769256
ACH-000756,-0.5885706623579999
ACH-000757,-0.419114728441
ACH-000758,-0.38376044899899997
ACH-000760,-0.382937319731
ACH-000763,-0.750035054068
ACH-000764,-0.289601837593
ACH-000765,-0.40096590807
ACH-000766,-0.671342204658
ACH-000767,-0.6183257560509999
ACH-000768,-0.388832639858
ACH-000769,-0.355921437526
ACH-000770,-0.403857277323
ACH-000771,-0.35111863567
ACH-000773,-0.46078228131899995
ACH-000776,-0.682453565096
ACH-000777,-0.500677674752
ACH-000778,-0.2499413825
ACH-000781,-0.40783909038099997
ACH-000782,-0.568887549314
ACH-000783,-0.792523872919
ACH-000784,-0.24724999966400002
ACH-000785,-0.903714737433
ACH-000787,-0.370401375679
ACH-000788,-0.541912643942
ACH-000791,-0.802217413634
ACH-000792,-0.455664751188
ACH-000794,-0.523524544449
ACH-000796,-0.843100565029
ACH-000799,-0.574930919878
ACH-000800,-0.596277648892
ACH-000802,-0.14880171225400002
ACH-000804,-0.85147323947
ACH-000805,-0.409162634072
ACH-000809,-0.47009823386000005
ACH-000810,-0.640981354754
ACH-000811,-0.21519347909000003
ACH-000817,-0.348321116157
ACH-000819,-0.29124110587499996
ACH-000820,-0.5114195373839999
ACH-000821,-0.588484101319
ACH-000822,-0.793200171731
ACH-000823,-0.329016934055
ACH-000824,-0.661818163494
ACH-000827,-0.462659785048
ACH-000829,-0.456247765517
ACH-000831,-0.446376097312
ACH-000832,-0.648597308213
ACH-000833,-0.253844423526
ACH-000834,-0.295495027762
ACH-000835,-0.509032663574
ACH-000836,-0.056008935726
ACH-000837,-0.228798877702
ACH-000838,-0.5371930904309999
ACH-000839,-0.532444243731
ACH-000840,-0.432341428839
ACH-000841,-0.519467106739
ACH-000843,-0.308145397898
ACH-000846,-0.813407334062
ACH-000847,-0.353246541737
ACH-000848,-0.55357932023
ACH-000849,-0.6820727442910001
ACH-000851,-0.48840211245399995
ACH-000855,-0.348227785576
ACH-000856,-0.19782503782299998
ACH-000858,-0.268724720453
ACH-000859,-0.337577774686
ACH-000861,-0.519773064101
ACH-000862,-0.489050647254
ACH-000865,-0.262986941175
ACH-000866,-0.45727080576000007
ACH-000867,-0.592165431337
ACH-000869,-0.262542653989
ACH-000872,-0.37625271065800003
ACH-000873,-0.564401001435
ACH-000876,-0.43837280100299997
ACH-000878,-0.359133830364
ACH-000880,-0.686871707534
ACH-000881,-0.406595037694
ACH-000882,-0.44855255796599997
ACH-000884,-0.612407975513
ACH-000885,-0.440265113358
ACH-000887,-0.612446664791
ACH-000888,-0.5340519286509999
ACH-000889,-0.44360102492700004
ACH-000890,-0.6649332430780001
ACH-000896,-0.469401217605
ACH-000898,-0.546294353232
ACH-000900,-0.475254083555
ACH-000901,-0.5146446594740001
ACH-000905,-0.351923280497
ACH-000906,-0.493784174751
ACH-000907,-0.46569641581
ACH-000910,-0.257004853367
ACH-000911,-0.487758050233
ACH-000912,-0.378538473127
ACH-000913,-0.530912744963
ACH-000915,-0.38825154399499995
ACH-000916,-0.894377497662
ACH-000917,-0.173836101514
ACH-000921,-0.33106150797600004
ACH-000924,-0.28341551692
ACH-000926,-0.490171921959
ACH-000928,-0.725454249603
ACH-000929,-0.42769380142999996
ACH-000932,-0.532649719922
ACH-000935,-0.452007391272
ACH-000936,-0.579664159663
ACH-000937,-0.710094562808
ACH-000938,-0.440919194102
ACH-000939,0.08575481415760002
ACH-000941,-0.254353328265
ACH-000943,-0.39972408387599995
ACH-000946,-0.412116772612
ACH-000947,-0.439878869872
ACH-000948,-0.546357669207
ACH-000950,-0.576745964881
ACH-000953,-0.521369262644
ACH-000957,-0.546420035752
ACH-000958,-0.52889651228
ACH-000960,-0.51800909645
ACH-000963,-0.59561545555
ACH-000968,-0.273531412414
ACH-000969,-0.5553163263399999
ACH-000973,-0.6565058474859999
ACH-000974,-0.5222085067109999
ACH-000975,-0.57628669097
ACH-000976,-0.433727616955
ACH-000978,-0.874809564346
ACH-000980,-0.276259987304
ACH-000984,-0.596956391849
ACH-000986,-0.47693339898599996
ACH-000988,-0.216499588508
ACH-000993,-0.383512785851
ACH-000994,-0.754652305275
ACH-000996,-0.25396343907900004
ACH-001001,-0.365572352125
ACH-001020,-0.007272272935359999
ACH-001028,-0.624410202608
ACH-001031,-0.456984890857
ACH-001038,-0.680012135378
ACH-001048,-0.415521817415
ACH-001050,-0.6750132910690001
ACH-001053,-0.38252370185900003
ACH-001054,-0.215043829923
ACH-001061,-0.38675275720200003
ACH-001067,-0.545397214104
ACH-001075,-0.558171975769
ACH-001096,-0.441841591492
ACH-001128,0.362029990643
ACH-001134,-0.617816183488
ACH-001151,-0.499153241784
ACH-001163,-0.556806888031
ACH-001164,-0.242508983622
ACH-001173,-0.470768298138
ACH-001183,-0.184584221953
ACH-001184,-0.491526554586
ACH-001190,-0.532813384492
ACH-001192,-0.495554169713
ACH-001193,-0.612613929065
ACH-001196,-0.544575877776
ACH-001197,-0.5703462993789999
ACH-001205,-0.6873868638539999
ACH-001211,-0.38377571567
ACH-001212,-0.468859477056
ACH-001228,-0.677967653468
ACH-001232,-0.584783444878
ACH-001239,-0.59740920303
ACH-001274,-0.496834949073
ACH-001275,-0.505784067446
ACH-001277,-0.5184499054280001
ACH-001278,-0.230391627564
ACH-001280,-0.40031367204
ACH-001283,-0.330267556761
ACH-001289,-0.41005336672
ACH-001295,-0.6666224912950001
ACH-001300,-0.40044781649899996
ACH-001301,-0.565655111176
ACH-001302,-0.575456930531
ACH-001303,-0.660656155248
ACH-001306,-0.325577000262
ACH-001318,-0.442956984782
ACH-001322,-0.268049381536
ACH-001328,-0.681831794751
ACH-001332,-0.195567155854
ACH-001333,-0.30056843343199996
ACH-001336,-0.49373630031599997
ACH-001340,-0.591631958711
ACH-001346,-0.37804072690800006
ACH-001353,-0.880987722087
ACH-001354,-0.450811892694
ACH-001367,-0.371954462453
ACH-001368,-0.5460144258349999
ACH-001374,-0.319046646596
ACH-001375,-0.524718311872
ACH-001377,-0.557823532687
ACH-001380,-0.509151760397
ACH-001391,-0.49049779667800003
ACH-001407,-0.517597721902
ACH-001408,-0.576453567596
ACH-001413,-0.6172688312100001
ACH-001430,-0.8077791668150001
ACH-001431,-0.477436092606
ACH-001450,-0.510872015075
ACH-001496,-0.257761280101
ACH-001500,-0.341179119894
ACH-001521,-0.521048974611
ACH-001523,-0.38693134113399996
ACH-001532,-0.6032655826300001
ACH-001536,-0.634955973086
ACH-001550,-0.0047824542856000005
ACH-001552,-0.45745981988300005
ACH-001554,-0.6465599297219999
ACH-001645,-0.442797671835
ACH-001654,-0.501847041757
ACH-001715,-0.527137273454
ACH-001735,-0.49584312425800003
ACH-001736,-0.6356155908209999
ACH-001737,-0.758575843749
ACH-001740,-0.459755531516
ACH-001745,-0.63788486885
ACH-001750,-0.341285674939
ACH-001765,-0.30458560203
ACH-001956,-0.49300515511200005
ACH-001957,-0.335261487472
