,SAP30BP (29115)
ACH-000311,-1.38819975587
ACH-000312,-1.55534836697
ACH-000315,-1.6110927943399997
ACH-000316,-1.24389607061
ACH-000317,-1.24379976536
ACH-000318,-1.59838426541
ACH-000319,-1.59822396204
ACH-000320,-1.5944592528600001
ACH-000322,-1.44453502362
ACH-000323,-1.31540915604
ACH-000324,-1.4125391547600001
ACH-000329,-1.58204407541
ACH-000330,-1.5802915506200002
ACH-000331,-1.42841214527
ACH-000332,-1.3299315329
ACH-000334,-1.67840689434
ACH-000335,-1.5983842852399999
ACH-000336,-1.34977430537
ACH-000337,-1.19720857064
ACH-000339,-1.4416461397799998
ACH-000341,-1.38101342125
ACH-000348,-1.69875890123
ACH-000350,-1.47265531155
ACH-000352,-1.37492592605
ACH-000356,-1.20796547391
ACH-000361,-1.3160274508499998
ACH-000362,-1.5512676573500002
ACH-000363,-1.57098734167
ACH-000364,-1.4098408410499998
ACH-000365,-1.71901586116
ACH-000366,-1.62806387824
ACH-000368,-1.0781903593200002
ACH-000374,-1.26369908501
ACH-000375,-1.39583626303
ACH-000376,-1.13481185318
ACH-000381,-1.6130693946799999
ACH-000383,-1.5709365629899998
ACH-000387,-1.5333418233200002
ACH-000389,-1.08254136787
ACH-000390,-1.4527466469699999
ACH-000393,-1.33587450769
ACH-000395,-1.3270733720899999
ACH-000397,-1.24765659729
ACH-000401,-1.3815957745200003
ACH-000402,-1.70002746012
ACH-000403,-1.46345782623
ACH-000404,-1.46057559463
ACH-000406,-1.5813443428100002
ACH-000407,-1.08252373883
ACH-000408,-1.2334043546
ACH-000410,-1.3246991336799998
ACH-000411,-1.3533163720299999
ACH-000414,-1.73591265365
ACH-000415,-1.46114483739
ACH-000416,-1.6915561330700002
ACH-000420,-1.54629434412
ACH-000421,-1.31482676712
ACH-000424,-1.0618573492399999
ACH-000425,-1.45549335347
ACH-000426,-1.48826033457
ACH-000427,-1.6709786848500001
ACH-000433,-1.27562056035
ACH-000436,-1.79407016149
ACH-000444,-1.3535159208200003
ACH-000445,-1.56907743141
ACH-000448,-1.33328211353
ACH-000450,-1.41540338689
ACH-000452,-1.44528808546
ACH-000454,-1.21393555584
ACH-000458,-1.39216777122
ACH-000459,-1.5699049216299998
ACH-000460,-1.4209331679600001
ACH-000461,-1.88023076026
ACH-000463,-1.45132176697
ACH-000464,-1.6218963697100002
ACH-000466,-1.47422792492
ACH-000467,-1.4138176984
ACH-000468,-1.39203077814
ACH-000469,-1.60399119127
ACH-000470,-1.75645669523
ACH-000471,-1.2622219555399998
ACH-000472,-1.4898716124200002
ACH-000473,-1.6870131195299998
ACH-000475,-1.42881147976
ACH-000476,-1.30193583991
ACH-000477,-1.50690160554
ACH-000480,-1.5343373388600001
ACH-000481,-1.8602788771599998
ACH-000483,-1.4039799666
ACH-000484,-1.7558850927599998
ACH-000485,-1.50976355507
ACH-000486,-1.29873964401
ACH-000487,-1.5057098036399998
ACH-000488,-1.4740490706
ACH-000490,-1.48148797692
ACH-000491,-1.6617319351800002
ACH-000495,-1.27913458953
ACH-000496,-1.5997090386200001
ACH-000499,-1.53332544806
ACH-000500,-1.7059986023299998
ACH-000502,-1.3555316443799998
ACH-000503,-0.941749723734
ACH-000505,-1.43026965341
ACH-000507,-1.4387005536000002
ACH-000510,-1.29222096658
ACH-000511,-1.28734407292
ACH-000512,-1.6426618058700002
ACH-000516,-1.48409672697
ACH-000517,-1.52371991849
ACH-000518,-1.5773441965700001
ACH-000520,-1.32890918866
ACH-000521,-1.71830292311
ACH-000522,-1.2397569014
ACH-000524,-1.9261215384200001
ACH-000527,-1.3163771378
ACH-000528,-1.58614929337
ACH-000537,-1.29176281534
ACH-000541,-1.8723350111500001
ACH-000542,-1.2080147959799998
ACH-000544,-1.57955637155
ACH-000545,-1.37874122106
ACH-000547,-1.3365018412
ACH-000548,-1.59965011454
ACH-000549,-1.4653905289500002
ACH-000550,-1.3458330515299999
ACH-000552,-1.40433092239
ACH-000556,-1.34946952199
ACH-000557,-1.8322749039700001
ACH-000570,-1.34743485229
ACH-000571,-1.57214090061
ACH-000573,-1.76575758157
ACH-000576,-1.58327183037
ACH-000580,-1.54521151756
ACH-000584,-1.45809152592
ACH-000585,-1.4481368131999999
ACH-000588,-1.61539146648
ACH-000589,-1.6130169927000002
ACH-000591,-1.42512582313
ACH-000593,-1.29154304338
ACH-000600,-1.63419545244
ACH-000601,-1.52959358586
ACH-000604,-1.396006825
ACH-000605,-1.3895646280899998
ACH-000606,-1.16766856084
ACH-000608,-2.00091480337
ACH-000614,-1.25668147881
ACH-000616,-1.02539818793
ACH-000618,-1.42920472058
ACH-000619,-1.60043797773
ACH-000620,-1.12120639174
ACH-000621,-1.17726796576
ACH-000622,-1.6943534319999998
ACH-000623,-1.38143284716
ACH-000624,-1.41838067522
ACH-000627,-1.13629885047
ACH-000630,-1.2312353872
ACH-000632,-1.42828113155
ACH-000633,-1.573688545
ACH-000637,-1.6506163146500001
ACH-000638,-1.37987258996
ACH-000646,-2.00103793483
ACH-000647,-1.50217849951
ACH-000648,-0.996829636591
ACH-000649,-1.34579004138
ACH-000651,-1.5081946409
ACH-000652,-1.5706872618599999
ACH-000653,-1.47470009058
ACH-000657,-1.53397515819
ACH-000658,-1.48749671558
ACH-000661,-1.58591001501
ACH-000662,-1.6565533872999998
ACH-000663,-1.5328260645700003
ACH-000665,-1.34103762729
ACH-000671,-1.4701095980899999
ACH-000673,-1.5149384835799997
ACH-000676,-1.56965367775
ACH-000677,-1.45973294724
ACH-000681,-1.33188542997
ACH-000682,-1.39473300889
ACH-000683,-1.26242741495
ACH-000684,-1.01988821935
ACH-000688,-1.7998974110599997
ACH-000693,-1.58201125106
ACH-000694,-1.47612982255
ACH-000695,-1.42751140125
ACH-000696,-1.4659654609600001
ACH-000697,-1.24881170726
ACH-000699,-1.6075231465000002
ACH-000701,-1.42344645942
ACH-000706,-1.52500615111
ACH-000711,-1.3657746165
ACH-000713,-1.13688261249
ACH-000714,-1.4613250946899998
ACH-000718,-1.5221331786
ACH-000720,-1.54780856636
ACH-000721,-1.33534411802
ACH-000724,-2.08974791671
ACH-000725,-1.3683695468000001
ACH-000732,-1.4482012200299998
ACH-000734,-1.2788274689599999
ACH-000735,-1.3299392380500001
ACH-000736,-1.67713830898
ACH-000738,-1.4654823825799999
ACH-000746,-1.22575216752
ACH-000747,-1.39903215611
ACH-000748,-1.3540337157100002
ACH-000753,-1.4998216302899998
ACH-000756,-1.22120221338
ACH-000757,-1.42955184223
ACH-000758,-1.34722426976
ACH-000760,-1.3456872819299999
ACH-000763,-1.49472896259
ACH-000764,-1.15550833581
ACH-000765,-1.43083703625
ACH-000766,-1.34216540926
ACH-000767,-1.7854659175099998
ACH-000768,-1.25671119721
ACH-000769,-1.29974151592
ACH-000770,-1.59032856678
ACH-000771,-1.46593198991
ACH-000773,-1.68984785333
ACH-000776,-1.33456801615
ACH-000777,-1.4124057353900001
ACH-000778,-1.8075943082700001
ACH-000781,-1.5197528290900002
ACH-000782,-1.2846355357400001
ACH-000783,-1.6485433569499999
ACH-000784,-1.51997758796
ACH-000785,-1.70477803087
ACH-000787,-1.16440930269
ACH-000788,-1.31188659759
ACH-000791,-1.40774528408
ACH-000792,-1.4875714758
ACH-000794,-1.2863032987899998
ACH-000796,-1.61473349113
ACH-000799,-1.2748970715899999
ACH-000800,-1.7338326132
ACH-000802,-1.48050463313
ACH-000804,-1.4508153424
ACH-000805,-1.19193150404
ACH-000809,-1.5711014775
ACH-000810,-1.42729634929
ACH-000811,-1.66170268701
ACH-000817,-1.46721302101
ACH-000819,-1.36355579416
ACH-000820,-1.18885607065
ACH-000821,-1.92382304971
ACH-000822,-1.58528534447
ACH-000823,-1.45806760637
ACH-000824,-1.54525710023
ACH-000827,-1.3740632420399999
ACH-000829,-1.52886570238
ACH-000831,-1.2659980551799999
ACH-000832,-1.5822375060799998
ACH-000833,-1.65178926146
ACH-000834,-1.39695954712
ACH-000835,-1.3803721227599999
ACH-000836,-1.49382975081
ACH-000837,-1.5991055167700001
ACH-000838,-1.6805387876299998
ACH-000839,-1.4962540980799999
ACH-000840,-1.72080220833
ACH-000841,-1.58182766861
ACH-000843,-1.27938999485
ACH-000846,-1.54812410081
ACH-000847,-1.1407869558200001
ACH-000848,-1.4186062319600001
ACH-000849,-1.4082948979899998
ACH-000851,-1.3838598129
ACH-000855,-1.5948151959
ACH-000856,-1.6039320406600002
ACH-000858,-1.3637701440999999
ACH-000859,-1.0505116745
ACH-000861,-1.18838726282
ACH-000862,-1.7788661294299999
ACH-000865,-1.63841314472
ACH-000866,-1.64203796348
ACH-000867,-1.6941083154700003
ACH-000869,-1.6407169612099999
ACH-000872,-1.32479317901
ACH-000873,-1.33962591275
ACH-000876,-1.8724714913599998
ACH-000878,-1.3451036471200002
ACH-000880,-1.42178535796
ACH-000881,-1.37843354183
ACH-000882,-1.68493804484
ACH-000884,-1.45950393265
ACH-000885,-1.56798863986
ACH-000887,-1.4903779936500001
ACH-000888,-1.4777705225400002
ACH-000889,-1.5653621439899998
ACH-000890,-1.57254363856
ACH-000896,-1.4264260756799998
ACH-000898,-1.5630527449200002
ACH-000900,-1.48864441815
ACH-000901,-1.46083160936
ACH-000905,-1.14625915073
ACH-000906,-1.54876822269
ACH-000907,-1.36737033211
ACH-000910,-1.64711107922
ACH-000911,-1.57455991252
ACH-000912,-1.44400626687
ACH-000913,-1.57821446791
ACH-000915,-1.42942091044
ACH-000916,-1.6474802578
ACH-000917,-1.5473565609
ACH-000921,-1.45184392223
ACH-000924,-1.50470627428
ACH-000926,-1.6121757218900001
ACH-000928,-1.27191348443
ACH-000929,-1.59424622972
ACH-000932,-1.6634739567200003
ACH-000935,-1.2050902152299998
ACH-000936,-1.4354828585600001
ACH-000937,-1.5135338140099999
ACH-000938,-1.34905275213
ACH-000939,-1.59490536754
ACH-000941,-1.5560797665900001
ACH-000943,-1.59244841896
ACH-000946,-1.55644189076
ACH-000947,-1.5321046462099999
ACH-000948,-1.4816663886700001
ACH-000950,-1.26198801115
ACH-000953,-1.17264466621
ACH-000957,-1.76589878808
ACH-000958,-1.54557936655
ACH-000960,-1.3693182658899998
ACH-000963,-1.3914596622
ACH-000968,-1.5291184691600002
ACH-000969,-1.48704756984
ACH-000973,-1.6709495167200001
ACH-000974,-1.38000997474
ACH-000975,-1.6086728228799998
ACH-000976,-1.4052096469400002
ACH-000978,-1.24353895731
ACH-000980,-1.49741914178
ACH-000984,-1.49285771381
ACH-000986,-1.35573925382
ACH-000988,-1.46132567506
ACH-000993,-1.64188581051
ACH-000994,-1.6664482635799998
ACH-000996,-1.6182660188100002
ACH-001001,-1.6262734161
ACH-001020,-1.4824237646599998
ACH-001028,-1.50496712285
ACH-001031,-1.55934380939
ACH-001038,-1.3830129322799998
ACH-001048,-1.15299883434
ACH-001050,-0.878243086215
ACH-001053,-1.21872341939
ACH-001054,-1.3573441795299999
ACH-001061,-1.4268828762399999
ACH-001067,-1.4955248870299997
ACH-001075,-1.48278586968
ACH-001096,-1.61524728257
ACH-001128,-1.6774318204499998
ACH-001134,-1.2012376053
ACH-001151,-1.56974206383
ACH-001163,-1.40727074898
ACH-001164,-1.65605842045
ACH-001173,-1.3913723908200002
ACH-001183,-1.3831535496399998
ACH-001184,-1.35900355801
ACH-001190,-1.67782154282
ACH-001192,-1.53108852248
ACH-001193,-1.62899726486
ACH-001196,-1.5641557578799998
ACH-001197,-1.46384553746
ACH-001205,-1.60403412676
ACH-001211,-1.45280214305
ACH-001212,-1.3433435007199999
ACH-001228,-1.3649032918700001
ACH-001232,-1.4162361972400002
ACH-001239,-1.6150123434299999
ACH-001274,-1.44169847463
ACH-001275,-1.4787557941
ACH-001277,-1.60840830255
ACH-001278,-1.4767910779
ACH-001280,-1.61202309148
ACH-001283,-1.3587121468599999
ACH-001289,-1.6643572819299999
ACH-001295,-1.39604997796
ACH-001300,-1.2691894877299998
ACH-001301,-1.3607626892700002
ACH-001302,-1.5475331816100002
ACH-001303,-1.71556947639
ACH-001306,-1.4775768361200001
ACH-001318,-1.65345893867
ACH-001322,-1.5758762659799999
ACH-001328,-1.37139354965
ACH-001332,-1.39331011782
ACH-001333,-1.5924530120500002
ACH-001336,-1.21619566653
ACH-001340,-1.466711267
ACH-001346,-1.77204278678
ACH-001353,-1.50308857972
ACH-001354,-1.08283946682
ACH-001367,-1.16988875101
ACH-001368,-1.53225880979
ACH-001374,-0.985025663642
ACH-001375,-1.66608102776
ACH-001377,-1.29905214619
ACH-001380,-1.34647905139
ACH-001391,-1.5044809680200002
ACH-001407,-1.27542030351
ACH-001408,-1.3968369873700002
ACH-001413,-1.1182787686799998
ACH-001430,-1.63507931354
ACH-001431,-1.4946120756999999
ACH-001450,-1.2136238964700001
ACH-001496,-1.6433064068599998
ACH-001500,-1.4604554133399998
ACH-001521,-1.20178513043
ACH-001523,-1.63946018171
ACH-001532,-1.39771607351
ACH-001536,-1.4785568256400001
ACH-001550,-1.8528644223400004
ACH-001552,-1.5597092590000001
ACH-001554,-1.32697645168
ACH-001645,-1.5087289550799998
ACH-001654,-1.47590536232
ACH-001715,-1.3830105838
ACH-001735,-1.49059018839
ACH-001736,-1.5529897309600003
ACH-001737,-1.55967708546
ACH-001740,-1.4422368719
ACH-001745,-1.65797346968
ACH-001750,-1.60686395783
ACH-001765,-1.72027756115
ACH-001956,-1.6962861347799998
ACH-001957,-1.33235243214
