,SLAMF8 (56833)
ACH-000500,-0.324064751244
ACH-000502,0.16020543704
ACH-000503,-0.102938059651
ACH-000505,0.0526702661925
ACH-000507,0.0557305258588
ACH-000510,0.0268380502797
ACH-000511,-0.034615392393199995
ACH-000512,-0.165635429939
ACH-000516,0.121098714233
ACH-000517,-0.017760525151099996
ACH-000518,0.107806798742
ACH-000520,0.308410269885
ACH-000521,0.0559406472243
ACH-000522,-0.046421482820800004
ACH-000524,0.11751890339099999
ACH-000527,0.15956585913
ACH-000528,0.0879825552277
ACH-000537,0.21068986487
ACH-000541,0.23949220886599998
ACH-000542,0.143675551974
ACH-000544,0.0630559126804
ACH-000545,-0.00746372333827
ACH-000547,-0.20259095508299999
ACH-000548,0.060450890112899995
ACH-000549,0.132160128754
ACH-000550,0.286332317555
ACH-000552,0.0590512307034
ACH-000556,-0.16176618787
ACH-000557,0.145143797544
ACH-000570,0.134008674301
ACH-000571,0.0646075582731
ACH-000573,0.137443359562
ACH-000576,-0.103646745202
ACH-000580,-0.126937782869
ACH-000584,0.0908991339416
ACH-000585,0.09645784073889999
ACH-000588,0.07117292946789999
ACH-000589,0.024568741441000002
ACH-000591,0.23021041110999999
ACH-000593,-0.12110420128499999
ACH-000600,0.29642048981400004
ACH-000601,0.0660728234726
ACH-000604,0.235948673932
ACH-000605,-0.0537977293716
ACH-000606,0.022706307850999998
ACH-000608,0.18080875244300001
ACH-000614,0.08600453794320001
ACH-000616,0.06906577312130001
ACH-000618,0.14780201756300002
ACH-000619,-0.049247189551099996
ACH-000620,0.18802626747600001
ACH-000621,0.245686920698
ACH-000622,0.22134068972100002
ACH-000623,0.034741670432300004
ACH-000624,0.05270746655119999
ACH-000627,0.118358747335
ACH-000630,0.0556571070532
ACH-000632,0.133097225842
ACH-000633,0.184341991536
ACH-000637,0.0024151886682399998
ACH-000638,0.007573259996989999
ACH-000646,0.0186665214941
ACH-000647,-0.09513178819460001
ACH-000648,0.132078614732
ACH-000649,0.0605899983632
ACH-000651,0.0413765852446
ACH-000652,0.211721724782
ACH-000653,0.0014861305173499999
ACH-000657,-0.0315712231325
ACH-000658,-0.0408632044024
ACH-000661,0.0514758728825
ACH-000662,0.0394518788085
ACH-000663,0.216951826764
ACH-000665,0.10955559831900001
ACH-000671,0.029940539436
ACH-000673,0.202614511966
ACH-000676,0.0271289773778
ACH-000677,0.189168970715
ACH-000681,0.109856923879
ACH-000682,0.09094207151049999
ACH-000683,-0.24804993801800002
ACH-000684,0.00271984641924
ACH-000688,0.20348561496
ACH-000693,0.0739844719018
ACH-000694,0.134654758967
ACH-000695,0.400921764904
ACH-000696,0.0631919646799
ACH-000697,-0.0196749766513
ACH-000699,0.155428253761
ACH-000701,0.0912053568075
ACH-000706,-0.014933421043200001
ACH-000711,0.0150828584577
ACH-000713,-0.184884006991
ACH-000714,-0.22500096906599998
