,WDR60 (55112)
ACH-000693,0.34732223354599995
ACH-000694,0.376732939146
ACH-000695,0.448136222592
ACH-000696,0.23173792012299999
ACH-000697,0.705728477001
ACH-000699,0.401986609708
ACH-000701,0.51181922287
ACH-000706,0.33846398974799996
ACH-000711,0.422799854639
ACH-000713,0.42346375781999995
ACH-000714,0.292835568256
ACH-000718,0.194852787129
ACH-000720,0.273917644543
ACH-000721,0.300026550894
ACH-000724,0.30338781603500004
ACH-000725,0.106629134255
ACH-000732,0.322310449321
ACH-000734,0.357391090419
ACH-000735,0.363003006874
ACH-000736,0.461159050493
ACH-000738,0.228543908483
ACH-000746,0.246017696228
ACH-000747,0.330502696222
ACH-000748,0.370714947075
ACH-000753,0.298248752624
ACH-000756,0.347264271176
ACH-000757,0.08142399138410002
ACH-000758,0.365198503637
ACH-000760,0.175704112097
ACH-000763,0.38349444904200003
ACH-000764,0.191922616048
ACH-000765,0.234586281763
ACH-000766,0.252342979616
ACH-000767,0.345495572862
ACH-000768,0.41405656639300004
ACH-000769,0.400528514304
ACH-000770,0.125486447302
ACH-000771,0.284611346851
ACH-000773,0.47746239650300004
ACH-000776,0.373345924885
ACH-000777,0.330495000695
ACH-000778,0.493540967127
ACH-000781,0.160484006809
ACH-000782,0.142724637414
ACH-000783,0.213026096769
ACH-000784,0.203829585058
ACH-000785,-0.018647466148000003
ACH-000787,0.235146693754
ACH-000788,0.311924619103
ACH-000791,0.29840536323600003
ACH-000792,0.240882939813
ACH-000794,0.39444948271799996
ACH-000796,0.310803881683
ACH-000799,0.164816901425
ACH-000800,0.30475691394
ACH-000802,0.41500406220200003
ACH-000804,0.45402634964599997
ACH-000805,0.00809167093683
ACH-000809,0.24629823542100002
ACH-000810,0.168368704308
ACH-000811,0.245649468114
ACH-000817,0.27881346442899996
ACH-000819,0.35296592168799995
ACH-000820,0.48418551374700003
ACH-000821,0.326305647078
ACH-000822,0.104123144992
ACH-000823,0.245295750348
ACH-000824,0.23695522972
ACH-000827,0.196425131321
ACH-000829,0.34377731775
ACH-000831,0.46453440076200003
ACH-000832,0.418900096747
ACH-000833,0.515080855318
ACH-000834,0.24368059442200002
ACH-000835,0.354024931581
ACH-000836,0.31489811037300003
ACH-000837,0.190033236359
ACH-000838,0.27669191649999997
ACH-000839,0.33665513606499997
ACH-000840,0.235610150196
ACH-000841,0.22063798144900001
ACH-000843,0.212392933898
ACH-000846,0.36147051723000007
ACH-000847,0.320763198686
ACH-000848,0.212157706138
ACH-000849,0.302711496863
ACH-000851,0.323034930579
ACH-000855,0.277671154959
ACH-000856,0.140420414192
ACH-000858,0.247041682157
ACH-000859,0.362472154534
ACH-000861,0.383286724645
ACH-000862,0.363835287879
ACH-000865,0.388914235221
ACH-000866,0.290822427531
ACH-000867,0.327926364709
ACH-000869,0.290241175197
ACH-000872,0.373043101848
ACH-000873,0.368536503564
ACH-000876,0.34011315463799996
ACH-000878,0.686177456648
ACH-000880,0.0461465956336
ACH-000881,0.346093947788
ACH-000882,0.28247287119000003
ACH-000884,0.318689272664
ACH-000885,0.207895054386
ACH-000887,0.256158270287
ACH-000888,0.277318322436
ACH-000889,0.182708988057
ACH-000890,0.157054954903
ACH-000896,0.502344321017
ACH-000898,0.41209670544200006
ACH-000900,0.469373687475
ACH-000901,0.297320574282
ACH-000905,0.37251734064099995
ACH-000906,0.257687128371
ACH-000907,0.0518190667043
ACH-000910,0.14138551214199999
ACH-000911,0.462369885989
ACH-000912,0.297604097168
ACH-000913,0.318526108849
ACH-000915,0.33460797536
ACH-000916,0.47548712638999996
ACH-000917,0.44596143502700003
ACH-000921,0.34747224394299997
ACH-000924,0.19001806458099998
ACH-000926,0.25015318884
ACH-000928,0.33396842201
ACH-000929,0.367264870819
ACH-000932,0.35805989234700003
ACH-000935,0.346002636334
ACH-000936,0.46435775138700003
ACH-000937,0.29858088546100003
ACH-000938,0.293543854574
ACH-000939,0.29979821542199997
ACH-000941,0.27222320525
ACH-000943,0.45997681739699997
ACH-000946,0.41957473832099995
ACH-000947,0.330881252758
ACH-000948,0.350439851819
ACH-000950,0.231679355772
ACH-000953,0.297573004115
ACH-000957,0.23988449067200002
ACH-000958,-0.184605884141
ACH-000960,0.193703294163
