,HDAC10 (83933)
ACH-000576,0.045067569596300004
ACH-000580,0.0486771468492
ACH-000584,0.154984724833
ACH-000585,0.147689273755
ACH-000588,0.0776311254066
ACH-000589,-0.0794441640054
ACH-000591,-0.0823015711054
ACH-000593,0.08765356409700001
ACH-000600,0.181636577417
ACH-000601,0.0763769626423
ACH-000604,0.312266039414
ACH-000605,0.064323756399
ACH-000606,0.172791590336
ACH-000608,-0.0316936770229
ACH-000614,0.0760707487126
ACH-000616,0.21066072696
ACH-000618,0.137033870628
ACH-000619,0.163785162157
ACH-000620,0.201090161139
ACH-000621,0.0837360826352
ACH-000622,0.0747882880602
ACH-000623,-0.09881108069189999
ACH-000624,0.09890235374949999
ACH-000627,0.15759125193
ACH-000630,0.153086148689
ACH-000632,0.09214958031030002
ACH-000633,0.119583430997
ACH-000637,0.0559522829897
ACH-000638,0.14860368319800002
ACH-000646,-0.04533111761630001
ACH-000647,0.11409702411900001
ACH-000648,0.19205653991799998
ACH-000649,0.17471194477899998
ACH-000651,0.21468755607700002
ACH-000652,0.10337535329900001
ACH-000653,0.150428651302
ACH-000657,0.021469640167400002
ACH-000658,0.126108737357
ACH-000661,0.30381679673399997
ACH-000662,0.08006684709869999
ACH-000663,0.246635828031
ACH-000665,0.0230072725311
ACH-000671,0.20480481716499999
ACH-000673,0.0103186346051
ACH-000676,0.146676311746
ACH-000677,0.17799591899300002
ACH-000681,0.09911377746120001
ACH-000682,0.0012153886952399999
ACH-000683,0.135656497148
ACH-000684,-0.0603218065984
ACH-000688,0.13330633692299998
ACH-000693,0.0418399770877
ACH-000694,0.167485384028
ACH-000695,0.09370482556639999
ACH-000696,0.109597825186
ACH-000697,0.231724915697
ACH-000699,0.129467326914
ACH-000701,0.23063076697700002
ACH-000706,0.133708880217
ACH-000711,0.0983520502582
ACH-000713,0.113090211065
ACH-000714,0.024264403799299998
ACH-000718,0.17200690950800002
ACH-000720,0.111069423102
ACH-000721,0.07885965518310001
ACH-000724,0.22576639871100002
ACH-000725,-0.139566075558
ACH-000732,0.182259739906
ACH-000734,0.19364875373100002
ACH-000735,0.20439791364999998
ACH-000736,0.151879308138
ACH-000738,0.19812365158700002
ACH-000746,0.09101356744989998
ACH-000747,0.17502275244000004
ACH-000748,0.08672581817569999
ACH-000753,0.16738734955499998
ACH-000756,0.189874007274
ACH-000757,0.139081243114
ACH-000758,0.05527879073480001
ACH-000760,0.190898371286
ACH-000763,0.09873471012730001
ACH-000764,0.23121134973000002
ACH-000765,0.196503480803
ACH-000766,0.0215169113593
ACH-000767,0.0448505609007
ACH-000768,0.25164033453400003
ACH-000769,-0.05608607411040001
ACH-000770,0.09586918419110001
ACH-000771,0.111099493333
ACH-000773,0.0128177023543
ACH-000776,0.0386492308506
ACH-000777,0.150423062804
ACH-000778,0.0855387585335
ACH-000781,0.0927909353757
ACH-000782,0.18332924351100002
ACH-000783,-0.08588947241900001
ACH-000784,0.193902132737
ACH-000785,0.0974283712504
ACH-000787,-0.07670782199710001
ACH-000788,0.09402806979869999
ACH-000791,-0.0048587946914399995
ACH-000792,0.310270470836
ACH-000794,0.0634956974466
ACH-000796,0.16470296527699999
ACH-000799,0.113412818417
ACH-000800,0.179679190592
ACH-000802,0.18540991508299998
ACH-000804,0.117411388199
ACH-000805,-0.0398984430634
ACH-000809,0.167182983496
ACH-000810,0.12393904225400001
ACH-000811,0.08488270737610001
ACH-000817,0.190002182651
ACH-000819,0.12694853546499998
ACH-000820,0.40548566083000004
ACH-000821,0.177601175422
ACH-000822,0.149632013944
ACH-000823,0.0823182335552
ACH-000824,-0.00040277251994800005
ACH-000827,0.101454114942
ACH-000829,0.0614386463958
ACH-000831,0.057763600942799996
ACH-000832,0.20463101177
ACH-000833,0.027368159702
ACH-000834,0.209020567505
ACH-000835,0.150825076641
ACH-000836,0.319618690386
ACH-000837,0.10860363545700001
ACH-000838,0.13965090412999998
ACH-000839,0.28834912584000005
ACH-000840,0.328125602399
ACH-000841,0.0385928690735
ACH-000843,0.21077055742800002
ACH-000846,-0.101508859918
ACH-000847,0.157638932936
ACH-000848,0.14762737602499998
ACH-000849,0.147846428215
ACH-000851,0.10331740445399999
ACH-000855,0.271175504565
ACH-000856,0.0156454915041
ACH-000858,0.145872018302
ACH-000859,-0.15980600936
ACH-000861,0.140412041905
ACH-000862,0.160411595133
ACH-000865,0.037977062857400004
ACH-000866,0.14570112245
ACH-000867,0.12100894605999998
ACH-000869,0.017430595867400003
ACH-000872,0.0333751401888
ACH-000873,0.286508141614
ACH-000876,0.21139153179200001
ACH-000878,0.191560044027
ACH-000880,0.135523951246
ACH-000881,0.0649030937902
ACH-000882,0.120840936577
ACH-000884,0.108650128387
ACH-000885,0.015420460319700001
ACH-000887,0.12423643659000001
ACH-000888,0.185879336644
ACH-000889,0.0976777879536
ACH-000890,0.08738284703980001
ACH-000896,0.0987817252748
ACH-000898,0.322095932772
ACH-000900,-0.0404443032203
ACH-000901,0.140480617686
ACH-000905,0.213328954965
ACH-000906,0.027146921776900004
ACH-000907,0.10638227597899999
ACH-000910,0.0259305461393
ACH-000911,0.126953464253
ACH-000912,0.0378648210684
ACH-000913,0.0154099453957
ACH-000915,0.32242668486299997
ACH-000916,-0.137813666368
